year,peut_VERB éveiller_VERB,peut_VERB eveiller_VERB,peut_VERB réveiller_VERB
1800,1.8864987794131594e-08,0.0,7.860410988769218e-08
1801,2.3811825400343878e-08,0.0,5.2386017301842e-08
1802,3.5805442166747525e-08,0.0,9.175144555229053e-08
1803,9.751696339321825e-09,0.0,1.3067273130218382e-07
1804,4.943701981119375e-08,2.4718509461507665e-09,1.408955085935304e-07
1805,2.55858996212055e-08,0.0,8.52863308864471e-08
1806,3.7461699520235925e-08,0.0,1.123850950079941e-07
1807,7.402083213037258e-08,5.693910232196231e-09,1.1672516109229036e-07
1808,2.945896149242344e-08,0.0,1.0197333244477136e-07
1809,4.0662548883574345e-08,0.0,5.1957702140725814e-08
1810,1.6380887757350138e-08,0.0,1.2168659679900884e-07
1811,1.0028307073639553e-08,0.0,7.77193824852418e-08
1812,4.267533171287141e-08,2.6672082320544632e-09,9.601949813031752e-08
1813,1.4378708002027452e-08,0.0,1.2078115219082974e-07
1814,1.0698702368472368e-07,0.0,1.2586708564299443e-08
1815,5.394447111228828e-09,0.0,1.3755840200246894e-07
1816,1.8540831092650478e-08,0.0,1.5759707139295642e-07
1817,3.113746771532533e-08,0.0,7.472992535895173e-08
1818,5.0068944545955674e-08,0.0,4.172412104708201e-08
1819,9.315945348475907e-09,1.035105001712111e-09,1.1075623262968293e-07
1820,1.0679833017945839e-08,0.0,5.57724622041178e-08
1821,4.6348993976153e-08,0.0,8.57949515875589e-08
1822,2.3058916553964082e-08,0.0,1.1529458276982041e-07
1823,1.3835761869529506e-08,0.0,5.731958552246397e-08
1824,2.6105450245950124e-08,0.0,7.326367779114662e-08
1825,4.490776106536032e-08,0.0,5.195211372210906e-08
1826,3.170874407487645e-08,0.0,6.870228119737476e-08
1827,3.7790819362726324e-08,0.0,9.125100319806734e-08
1828,3.8523666034961934e-08,0.0,4.127535407905114e-08
1829,3.600733933240008e-08,0.0,5.143905534854554e-08
1830,2.7135772739939057e-08,0.0,6.053365098068753e-08
1831,3.1182413096075834e-08,0.0,2.8064171431196883e-08
1832,2.1647950987357945e-08,0.0,6.494385473843067e-08
1833,5.79181431703546e-08,5.791814139399776e-09,1.216281013682874e-07
1834,6.254136053485126e-08,0.0,7.094243326122296e-08
1835,5.445423312266939e-08,7.563087933704082e-10,5.067268915581735e-08
1836,3.5619976301859424e-08,0.0,6.384712597506947e-08
1837,5.0096815584765864e-08,0.0,5.2879970402486265e-08
1838,2.5248647617104325e-08,0.0,7.44835075838779e-08
1839,3.425822825420255e-08,0.0,7.061389784013272e-08
1840,5.796416857606346e-08,0.0,4.713569756731317e-08
1841,4.751206006403663e-08,0.0,6.869986890478685e-08
1842,6.507016792056675e-08,0.0,6.171603672555648e-08
1843,4.902736350231862e-08,0.0,5.729703778101225e-08
1844,6.092302839988406e-08,0.0,6.750930392485088e-08
1845,3.794555070157912e-08,0.0,6.249855549755878e-08
1846,5.620321275046081e-08,0.0,4.742145920388907e-08
1847,3.289866512545814e-08,0.0,5.824681714727831e-08
1848,3.459445352405055e-08,0.0,5.873011943435813e-08
1849,8.128032646936845e-08,0.0,1.0222886004385145e-07
1850,4.820187271548093e-08,0.0,3.53027802546535e-08
1851,5.0305622778523684e-08,0.0,5.868989250146228e-08
1852,8.463709377792838e-08,0.0,3.190167419120371e-08
1853,3.2845626662947325e-08,0.0,5.733054542211846e-08
1854,6.182840905921694e-08,0.0,6.702407451264492e-08
1855,4.2455496895854594e-08,0.0,5.5722839675809155e-08
1856,5.487820686767009e-08,0.0,5.591364415913347e-08
1857,5.0767695825015835e-08,0.0,4.8815091746590156e-08
1858,4.257498176230001e-08,0.0,4.991549551469632e-08
1859,5.754155907311542e-08,0.0,4.328347302795521e-08
1860,6.774232019779447e-08,0.0,6.179198241973438e-08
1861,7.592701933845092e-08,0.0,6.272231756199176e-08
1862,5.1956842384015545e-08,0.0,4.563166206006386e-08
1863,4.994620894649415e-08,0.0,6.04349139621263e-08
1864,6.808513575151665e-08,0.0,6.568777166648943e-08
1865,5.695281757311932e-08,0.0,5.130460323243824e-08
1866,3.454585240092456e-08,0.0,7.15245129789821e-08
1867,4.949867715708933e-08,4.85281148598915e-10,5.338092634588065e-08
1868,9.08936854671083e-08,4.93987406535723e-10,3.853101659956337e-08
1869,7.81363098667498e-08,0.0,3.955650607068151e-08
1870,5.504686839685746e-08,5.734048791339319e-10,3.7844722911017925e-08
1871,3.504988654867702e-08,0.0,3.080141297573391e-08
1872,7.317280648067026e-08,0.0,4.535504416480762e-08
1873,5.088103804951061e-08,0.0,4.6690836252860635e-08
1874,7.169531102135807e-08,0.0,3.883495836021211e-08
1875,7.724061390490533e-08,0.0,3.718992641621455e-08
1876,8.1621202241422e-08,0.0,6.046014666694077e-08
1877,6.246663986075873e-08,0.0,6.432208721207644e-08
1878,8.273551799220513e-08,3.0195443923020093e-09,9.904105269242791e-08
1879,6.109325312309011e-08,0.0,3.665595116331133e-08
1880,7.893950737525302e-08,0.0,4.685027832351807e-08
1881,9.552335455964567e-08,0.0,3.2770785196589713e-08
