year,pourront_VERB accompagner_VERB
1800,1.5720821977538435e-08
1801,9.524730337773235e-09
1802,4.475680270843441e-09
1803,5.851017448321727e-09
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,2.0171682990621775e-08
1807,1.4234775136401367e-08
1808,2.039466551195801e-08
1809,1.581321384946932e-08
1810,0.0
1811,4.763445815569867e-08
1812,2.1337665856435706e-08
1813,2.5881675469463516e-08
1814,0.0
1815,1.0788894222457657e-08
1816,3.244645441213834e-08
1817,1.0898113522728181e-08
1818,2.026600220972341e-08
1819,1.449147024601416e-08
1820,8.306536791735653e-09
1821,7.88919063410276e-09
1822,6.015369535816717e-09
1823,2.9648061783404955e-09
1824,0.0
1825,6.163809906922779e-09
1826,3.2589543508265706e-08
1827,1.1060727445055818e-08
1828,0.0
1829,2.571952872898464e-09
1830,4.174734336004349e-09
1831,1.5591206548037917e-08
1832,2.705993873419743e-09
1833,8.108539617524002e-09
1834,1.3068342852307069e-08
1835,7.563087933704082e-10
1836,1.1425274948351216e-08
1837,1.6698937344017395e-08
1838,3.1560809521380406e-09
1839,4.894032734625853e-09
1840,2.5478754661634184e-09
1841,6.420548537278137e-09
1842,4.695785538189057e-09
1843,2.953455480181333e-09
1844,6.037417232818143e-09
1845,5.022205318283568e-09
1846,5.854501328173001e-10
1847,2.1572894581822766e-09
1848,3.218088684420195e-09
1849,0.0
1850,1.3577992064028876e-09
1851,1.2898877521649865e-09
1852,1.6927417689771573e-08
1853,4.180352064508952e-09
1854,5.195664343204953e-09
1855,4.776243400783642e-09
1856,4.659470143053568e-09
1857,5.857811125054013e-09
1858,5.3830437884982985e-09
1859,8.147477359443656e-09
1860,1.1442959468865865e-08
1861,1.744906619194353e-08
1862,8.132375661773494e-09
1863,1.4484400345793347e-08
1864,1.0548401263577034e-08
1865,1.1296426905005319e-08
1866,1.897589108068587e-08
1867,8.73506067478047e-09
1868,7.409810987013543e-09
1869,9.767038733343725e-09
1870,2.465641024684828e-08
1871,8.496941816815706e-09
1872,5.442605477412599e-09
1873,1.2570609442263958e-08
1874,8.961913877669758e-09
1875,9.154443425529735e-09
1876,4.836811839936672e-09
1877,1.2369632429454214e-08
1878,7.2469061862534545e-09
1879,2.7491964260661916e-08
1880,1.0910338410496934e-08
1881,1.673401861523871e-08
1882,1.5307385581309063e-08
1883,3.159669414998234e-09
1884,6.601696966868076e-09
1885,3.2228177904158883e-09
1886,3.2267319927115068e-09
1887,1.3710741875172516e-08
1888,5.706553452000662e-09
1889,4.385595886446936e-09
1890,5.243509182406569e-09
1891,9.561330394092238e-09
1892,1.8805537127519756e-09
1893,8.005941687372342e-09
1894,6.301539290376468e-10
1895,3.0093072478365457e-09
1896,1.179405795248556e-09
1897,5.2440420894583895e-09
1898,5.092519295146758e-09
1899,1.9346524382513053e-08
1900,7.786579381274805e-09
1901,1.1177477832191585e-09
1902,4.910283735171106e-09
1903,1.0800440541913758e-09
1904,4.299700151477737e-09
1905,7.2250627702885595e-09
1906,3.600929110447737e-09
1907,0.0
1908,3.437972351250096e-09
1909,5.500983557560346e-10
1910,7.481810726517324e-09
1911,1.0640748282497725e-09
1912,3.646594803896619e-09
1913,3.71209285532359e-09
1914,8.036092680185902e-09
1915,2.3561523843085297e-09
1916,2.0876177231343718e-08
