year,tout_ADV empli_VERB,tout_ADV rempli_VERB
1800,0.0,4.150297066018993e-07
1801,0.0,2.9526664246937173e-07
1802,2.2378401354217203e-09,4.2518962573012686e-07
1803,0.0,3.666637837795861e-07
1804,0.0,5.858286513671374e-07
1805,0.0,2.956592819458592e-07
1806,0.0,4.207236870001907e-07
1807,2.8469551160981155e-09,2.9893029207528343e-07
1808,0.0,6.367668134998894e-07
1809,0.0,4.224387133433538e-07
1810,0.0,4.5632472378542843e-07
1811,0.0,5.390215189748915e-07
1812,0.0,4.2141889977642677e-07
1813,0.0,3.8822512671288223e-07
1814,0.0,4.090680203461261e-07
1815,0.0,4.1537243600231477e-07
1816,0.0,5.029200309536463e-07
1817,0.0,4.141283191927414e-07
1818,0.0,3.850540331029606e-07
1819,0.0,3.9333990642376193e-07
1820,0.0,4.1651348858806614e-07
1821,0.0,5.108250924479307e-07
1822,0.0,3.2984277709147136e-07
1823,0.0,4.634980150797219e-07
1824,0.0,5.25477412693931e-07
1825,0.0,6.172615343302823e-07
1826,0.0,5.011742949534437e-07
1827,0.0,4.6547229182181127e-07
1828,0.0,4.74207968892415e-07
1829,0.0,5.332515380374048e-07
1830,0.0,4.22691847745682e-07
1831,0.0,4.490267246914925e-07
1832,0.0,4.3160602380964974e-07
1833,0.0,4.830373221409445e-07
1834,0.0,4.937966853191256e-07
1835,0.0,5.717694762097381e-07
1836,0.0,6.230135163320938e-07
1837,0.0,5.858544041004166e-07
1838,0.0,5.365337401030956e-07
1839,0.0,5.733009400543665e-07
1840,0.0,5.051162945690635e-07
1841,1.2841097074556274e-09,7.248799427372887e-07
1842,0.0,6.835722050624327e-07
1843,0.0,7.767588190432662e-07
1844,2.195424508855126e-09,7.486397493039476e-07
1845,1.1160455892778032e-09,5.909461222586287e-07
1846,0.0,6.668276988364141e-07
1847,0.0,5.226033916727602e-07
1848,0.0,5.156987388232892e-07
1849,0.0,3.963463282019575e-07
1850,0.0,4.3313793351984486e-07
1851,6.449438760824933e-10,6.120517443974904e-07
1852,6.510545436100301e-10,6.30871870299643e-07
1853,0.0,7.345476369380322e-07
1854,0.0,6.723190058011141e-07
1855,0.0,6.808800563362638e-07
1856,0.0,8.630374637164095e-07
1857,1.9526036343364694e-09,7.956859944258099e-07
1858,9.787352039936081e-10,7.668390562542982e-07
1859,0.0,7.51604805060424e-07
1860,0.0,8.623414755604131e-07
1861,0.0,7.168265128143503e-07
1862,0.0,7.224260247795655e-07
1863,0.0,6.183340595100617e-07
1864,1.4384183844029508e-09,7.988016967885869e-07
1865,1.4120533631256649e-09,6.443670148570391e-07
1866,1.4596839292835284e-09,7.502775360990199e-07
1867,0.0,6.18248158446022e-07
1868,1.0867722721741302e-08,5.799411990636827e-07
