year,pourrait_VERB ouvrir_VERB,pourrait_VERB rouvrir_VERB
1800,4.7162465932615305e-08,0.0
1801,5.714838380299625e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,2.9255089017965474e-08,0.0
1804,4.943701981119375e-08,0.0
1805,2.55858996212055e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,9.064295625194063e-08,2.2660739951163578e-09
1809,4.969867006821005e-08,2.259030518203531e-09
1810,6.084329839950442e-08,0.0
1811,6.518399686683551e-08,0.0
1812,5.3344166417446104e-08,0.0
1813,6.039057609541487e-08,1.1502966579257645e-08
1814,6.293354459785405e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,3.7081662185300956e-08,0.0
1817,3.42512151974006e-08,0.0
1818,2.384235386898581e-08,3.5763532135746345e-09
1819,3.519356894798875e-08,0.0
1820,5.22125169766241e-08,0.0
1821,1.972297702934611e-08,0.0
1822,3.8097340393505874e-08,0.0
1823,2.075364236020505e-08,0.0
1824,4.8000341479337294e-08,1.2631669044083083e-08
1825,3.522177394188475e-08,2.641632912414593e-09
1826,6.958307352533666e-08,2.642395191543301e-09
1827,4.2399456390285195e-08,0.0
1828,5.961995697134626e-08,3.668920500743411e-09
1829,1.0716470200122785e-07,6.001223074036943e-09
1830,6.262101237552997e-08,2.0873671680021744e-09
1831,5.76874619184764e-08,1.7150327380477393e-08
1832,4.464889968858188e-08,4.058990921151917e-09
1833,5.444305273272221e-08,2.3167257001688313e-09
1834,7.747660646373333e-08,9.334530925997342e-10
1835,5.596685070941021e-08,0.0
1836,4.435695188931277e-08,4.032449929525228e-09
1837,6.470838798122713e-08,1.3915781860163179e-09
1838,4.9234863297442644e-08,1.8936485712828244e-09
1839,3.705481788074394e-08,1.3982950353153e-09
1840,7.45253601053264e-08,4.458782232319436e-09
1841,7.897274656443187e-08,1.926164561183441e-09
1842,5.567860128508073e-08,6.708265054555795e-10
1843,5.3752891915337386e-08,5.906911071384968e-10
1844,5.598332464273881e-08,2.195424508855126e-09
1845,6.194053270291988e-08,1.674068439427856e-09
1846,5.21050615986951e-08,1.7563503984519002e-09
1847,6.849393940910886e-08,0.0
1848,2.574470947536156e-08,1.6090443422100975e-09
1849,7.29009101974043e-08,0.0
1850,4.3449574604892405e-08,4.073397619208663e-09
1851,5.6755062871616246e-08,6.449438760824933e-10
1852,6.705861466116403e-08,0.0
1853,6.808001984381917e-08,0.0
1854,5.6632742939655145e-08,0.0
1855,5.041590256382733e-08,1.0613874223963649e-09
1856,2.9509978460851016e-08,7.248064815001953e-09
1857,8.103305049189657e-08,3.4170564155999728e-09
1858,6.557525722428181e-08,0.0
1859,3.360834455179429e-08,0.0
1860,6.362285631666964e-08,1.373155145145688e-09
1861,6.932466334319543e-08,0.0
1862,4.472806480748659e-08,9.035972525772706e-10
1863,7.392038980924553e-08,2.9967726078439227e-09
1864,5.3221480555976086e-08,1.4384183844029508e-09
