year,peut_VERB assurer_VERB,peut_VERB rassurer_VERB
1800,2.465024863340659e-06,1.5720821977538435e-08
1801,2.3549896468466613e-06,3.809892135109294e-08
1802,2.8912895686517004e-06,1.1412984690650774e-07
1803,2.071260269076447e-06,7.996391104825307e-08
1804,2.0219740690663457e-06,7.168367943677367e-08
1805,1.7711128066366655e-06,6.538618890772341e-08
1806,1.9652984519780148e-06,8.06867319624871e-08
1807,2.337350224479451e-06,7.686778502602465e-08
1808,2.1686328182113357e-06,2.4926814390369145e-08
1809,2.207072839155444e-06,4.292158095609011e-08
1810,1.6965918803180102e-06,7.488405628919281e-08
1811,2.0006473278044723e-06,4.262030373070047e-08
1812,1.605659349479538e-06,5.867858021701977e-08
1813,1.9411256744206185e-06,4.026038169513413e-08
1814,2.3411278107232647e-06,3.776012391654149e-08
1815,2.0660731934185605e-06,5.3944472000466703e-08
1816,1.8540831661084667e-06,1.9236112791531923e-07
1817,1.869804918896989e-06,1.1832237589715078e-07
1818,2.1195853605604498e-06,2.384235386898581e-08
1819,1.990506916627055e-06,9.00541365922436e-08
1820,1.884397192952747e-06,6.763894333516873e-08
1821,1.7691510265649413e-06,8.283650032581136e-08
1822,1.854738911788445e-06,1.804610860745015e-08
1823,1.6217488791880896e-06,2.9648060007048116e-08
1824,1.394536297993909e-06,3.536867154707579e-08
1825,1.3956627071820549e-06,4.3146670236637874e-08
1826,1.5132117141547496e-06,1.0569580766173203e-08
1827,1.539284653517825e-06,4.424290978022327e-08
1828,1.507926299382234e-06,3.210305266065916e-08
1829,1.6932023072513402e-06,2.4004892296147773e-08
1830,1.4267154710978502e-06,2.5048406016026092e-08
1831,1.5637979231541976e-06,4.8332740476553226e-08
1832,1.3056420584689477e-06,2.4353944638733083e-08
1833,1.2035390000164625e-06,2.4325620628928846e-08
1834,1.2965663245267933e-06,1.4935249481595747e-08
1835,1.2653046042032656e-06,2.4958190181223472e-08
1836,1.160673491540365e-06,2.688300071440608e-08
1837,1.3414813793133362e-06,2.99189295560609e-08
1838,1.1961546988459304e-06,2.840472923537618e-08
1839,1.1032548172806855e-06,3.425822825420255e-08
1840,1.0949494253509329e-06,2.1019973317493168e-08
1841,1.2256826948942035e-06,3.0818632978935057e-08
1842,1.3403113143795053e-06,3.957876515414682e-08
1843,1.3379153642745223e-06,2.9534556134080958e-08
1844,1.1207641819055425e-06,3.1833653935109396e-08
1845,1.1177196483913576e-06,2.622707206967334e-08
1846,1.1937328281419468e-06,3.8639708321852595e-08
1847,1.1336555871821474e-06,3.55952778363644e-08
1848,1.007261744234711e-06,3.781254065415851e-08
1849,8.588900186623505e-07,1.8434713311421547e-08
1850,8.778171718404337e-07,2.2403686017469226e-08
1851,9.751551033332362e-07,2.1283147688677673e-08
1852,9.147316291091556e-07,5.729280161403949e-08
1853,7.805314794495644e-07,3.3442816516071616e-08
1854,8.988499757833779e-07,4.72805474771576e-08
1855,8.008167924344889e-07,2.7065379271107304e-08
1856,7.895213798292389e-07,4.141751475117417e-08
1857,7.429657102875353e-07,3.758761835115365e-08
1858,8.877128152562364e-07,4.893675864536817e-08
1859,9.227018153978861e-07,3.971895168319861e-08
1860,7.941413855405699e-07,5.767251565202969e-08
1861,8.677372989041032e-07,5.7063161307269183e-08
1862,7.974245477271324e-07,3.162590545002786e-08
1863,8.760565037846391e-07,3.8958042125614156e-08
1864,8.467489465147082e-07,1.3904711160250827e-08
1865,7.978101166372653e-07,2.2592853810010638e-08
1866,8.509957183377992e-07,2.6274308950746672e-08
1867,7.706264568696497e-07,2.2808213984149006e-08
1868,8.471884029859211e-07,2.2723421366777075e-08
1869,8.751266022954951e-07,3.955650385023546e-08
1870,7.654954856661789e-07,8.199689460752779e-08
1871,8.348245614797634e-07,1.4869648623516696e-08
1872,7.728499440418091e-07,2.3584624031514068e-08
1873,8.452238375866727e-07,4.070482972906575e-08
1874,7.038089506750111e-07,4.839433387360259e-08
1875,7.798441288286995e-07,3.318485752856759e-08
1876,8.942055842453556e-07,3.143927784776679e-08
1877,8.71440590799466e-07,3.401648740464225e-08
1878,8.062183383117372e-07,4.227361927178208e-08
1879,7.929904199954763e-07,2.6270098985037293e-08
1880,8.105739652819466e-07,3.9790645445236805e-08
1881,6.958562721592898e-07,3.137628468152798e-08
1882,7.640381909368443e-07,1.6638463051776853e-08
1883,8.057157288021699e-07,6.19295192905156e-08
1884,7.077019290591124e-07,3.630933420595284e-08
1885,6.580993954230507e-07,4.640857653726016e-08
1886,6.937473813195538e-07,2.0651084398082276e-08
1887,7.442973810611875e-07,2.285123557044244e-08
