year,tout_DET envoi_NOUN,tout_DET renvoi_NOUN
1800,1.4148739779784592e-07,0.0
1801,5.238601819002042e-08,1.904946067554647e-08
1802,7.608656460433849e-08,2.2378401354217203e-08
1803,4.6808139586573816e-08,0.0
1804,3.9549615138412264e-08,0.0
1805,4.548604315424143e-08,5.685755422035754e-09
1806,5.187004248341509e-08,0.0
1807,3.9857372513552036e-08,3.701041606518629e-08
1808,3.6257183033683305e-08,6.798221985349073e-09
1809,8.132510131986237e-08,2.0331274441787173e-08
1810,2.3401267590372754e-08,0.0
1811,7.77193824852418e-08,1.2535384286138651e-08
1812,4.000812392490616e-08,3.467370746079723e-08
1813,8.627224934443234e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,1.3486117556027466e-08,0.0
1816,0.0,0.0
1817,5.1376822796100896e-08,0.0
1818,3.099506029613508e-08,3.5763532135746345e-09
1819,3.9333988510747986e-08,8.280840013696888e-09
1820,1.542642635854463e-08,1.542642635854463e-08
1821,3.4515210245444905e-08,7.88919063410276e-09
1822,3.709477880420309e-08,1.0025615893027862e-09
1823,1.2847492847356534e-08,0.0
1824,8.421112696055388e-09,1.6842225392110777e-09
1825,1.937197424695114e-08,8.805443485471187e-09
1826,5.989429352482034e-08,3.170874363078724e-08
1827,1.6591091167583727e-08,1.1060727445055818e-08
1828,2.9351363395324626e-08,1.7427371545863934e-08
1829,4.37231992833631e-08,1.714635211591542e-09
1830,4.17473438041327e-08,2.0873671680021744e-09
1831,7.327867024287116e-08,1.2472964883158966e-08
1832,3.92369123858316e-08,2.3000948701223933e-08
1833,6.71850450828515e-08,0.0
1834,2.8003592333902816e-08,8.401078055442213e-09
1835,5.294161553592858e-08,6.050470346963266e-09
1836,4.0324501737742935e-08,4.704525213838906e-09
1837,7.166627424837202e-08,3.061471864906906e-08
1838,4.607878167917079e-08,3.1560809521380406e-09
1839,4.894032734625853e-08,5.5931801412612e-09
1840,6.305991639976583e-08,1.6561189752906103e-08
1841,6.869986890478685e-08,8.988768396278601e-09
1842,9.458653593696909e-08,6.708265054555795e-09
1843,6.852016909419945e-08,7.678984559333912e-09
1844,5.2690189988879865e-08,2.7442805805577564e-09
1845,2.399498022498392e-08,1.1718478465372328e-08
1846,3.5127008857216424e-08,1.7563503984519002e-09
1847,6.95725841382e-08,2.1033573105455616e-08
1848,4.022610766707402e-08,8.04522137798358e-09
1849,2.8490011683146577e-08,3.854530916669319e-08
1850,6.313766487409112e-08,4.073397619208663e-09
1851,1.0577079834206415e-07,3.4826968864365426e-08
1852,5.5339636872986375e-08,5.208436570924846e-09
1853,5.2553000173816145e-08,6.569125243771623e-09
1854,1.179415853869159e-07,1.6626126253527218e-08
1855,3.078023524949458e-08,1.2736649068756378e-08
1856,2.8992258815918603e-08,2.2261912924204097e-08
1857,6.0530714662832e-08,8.298565390418844e-09
1858,6.361779081309749e-08,1.468102750479261e-09
1859,8.656695005271331e-08,1.5785737605966688e-08
1860,6.865775947773045e-08,1.1442959468865865e-08
1861,3.914249724346064e-08,1.8863854922557266e-09
1862,8.810073470755242e-08,5.873382252774562e-09
1863,9.4897798064153e-08,8.490855574194711e-09
1864,6.329040935781904e-08,1.0068928579798353e-08
1865,5.695281801720853e-08,3.294791106611683e-09
1866,6.179328515543148e-08,1.0217787060895489e-08
1867,5.338092634588065e-08,9.220341823379385e-09
1868,3.8037029859161464e-08,1.975949626142892e-09
1869,4.5416729932412636e-08,6.836926913500463e-09
1870,4.529898367522378e-08,1.0321287824410774e-08
1871,5.2043767517773176e-08,5.3105884134652115e-09
1872,6.833493415570047e-08,6.0473394070115205e-09
1873,1.1612848815900634e-07,1.1373408159709442e-08
1874,9.499628905729196e-08,1.1949218670093131e-08
1875,1.4647109480847575e-07,2.0597497485397298e-08
1876,9.129482059222482e-08,3.08346761457301e-08
1877,7.792868172984413e-08,1.051418752062716e-08
1878,1.5158112631752374e-07,1.9325084421595307e-08
1879,1.1424438639551227e-07,1.9549840857280287e-08
1880,9.049163374186264e-08,2.0537108902374257e-08
1881,9.133984768538994e-08,2.3706524965305675e-08
1882,6.921600359532931e-08,1.3310770263785798e-08
1883,8.720687461050147e-08,1.4534479397809719e-08
1884,1.1486952899986136e-07,5.281357573494461e-09
1885,9.281715485087716e-08,8.37932623287685e-09
1886,6.905206362262106e-08,2.774989382725579e-08
1887,1.3384295627361098e-07,2.546280564175163e-08
1888,1.0208389333854484e-07,1.2047167929907232e-08
1889,8.645888627256682e-08,7.51816386923565e-09
1890,6.685474085443843e-08,1.9007721174801873e-08
1891,9.37010371515612e-08,4.0157584813016456e-08
1892,1.5984706536187332e-07,2.382034658410248e-08
1893,1.1023565527068513e-07,2.7712873995611176e-08
1894,9.641355092071535e-08,3.1507697118016154e-08
1895,1.2217787492829757e-07,2.5880041887305083e-08
1896,9.081424678925032e-08,2.181900660147562e-08
1897,1.3051838010369465e-07,2.6802882802101635e-08
1898,1.301421619359644e-07,9.053368055234046e-09
1899,1.514556533521727e-07,2.3215829259015663e-08
1900,1.0901211844327463e-07,1.8168686666264477e-08
1901,6.930036100527559e-08,1.788396475355114e-08
1902,9.378641863122539e-08,4.664769481799169e-08
1903,1.2798522419643632e-07,3.9421606423672984e-08
1904,1.2092906231941924e-07,2.741058757749215e-08
1905,2.1520365578453493e-07,2.1675188532910283e-08
1906,1.4455158492410192e-07,2.417766697959678e-08
1907,1.666281193024588e-07,2.108565722025446e-08
1908,1.2524042425354764e-07,1.3260750719723546e-08
1909,1.0726917665238034e-07,3.795678704676675e-08
1910,1.0153886265129586e-07,2.2979848246507117e-08
1911,1.4577825169226344e-07,1.5961122645791193e-08
1912,1.1356538109907888e-07,2.6047105361470813e-08
1913,9.545381551845367e-08,2.3863454323702626e-08
1914,1.1250529752260263e-07,2.276892852037804e-08
1915,1.7553334785702646e-07,9.424609426211816e-09
1916,1.911818445776703e-07,8.789969418998567e-09
1917,2.0068556771946078e-07,7.676497326691845e-09
1918,1.642551881175791e-07,1.378365155346728e-08
1919,1.335138009039838e-07,1.4732557618302167e-08
1920,1.5371630723848284e-07,1.514446301698058e-08
1921,1.7265864649118612e-07,1.8931869016913794e-08
1922,1.8592397132977112e-07,2.5084980315170924e-08
1923,2.0701098435438325e-07,1.4862327812892318e-08
1924,1.3665122278183617e-07,3.093989930924579e-08
1925,1.6387285128871554e-07,2.969508106076546e-08
1926,2.2738122140708583e-07,2.229227646921572e-08
1927,1.5162946098712382e-07,3.3447674852027376e-08
