year,doivent_VERB assurer_VERB,doivent_VERB rassurer_VERB
1800,1.8550569791386806e-07,5.345079756580162e-08
1801,2.905042890688492e-07,4.286128785224719e-08
1802,1.5888664961494214e-07,6.937304419807333e-08
1803,1.3847407842604298e-07,5.265916058760922e-08
1804,1.9033252840472414e-07,1.2359254952798437e-08
1805,1.02343598484822e-07,5.1171799242411e-08
1806,1.930718269704812e-07,2.5935023018064385e-08
1807,1.1672516109229036e-07,5.97860605466849e-08
1808,1.155697759713803e-07,7.024829073998262e-08
1809,9.487928309681593e-08,2.25903047379461e-08
1810,1.1232608443378922e-07,7.488405628919281e-08
1811,8.273353557797236e-08,3.760615285841595e-08
1812,1.3336041604361526e-07,2.6672083208723052e-08
1813,9.489947672136623e-08,3.4508900625951355e-08
1814,1.7306724942045548e-07,4.090680150170556e-08
1815,1.591361922237411e-07,7.821948599939788e-08
1816,1.2051540920765547e-07,3.244645441213834e-08
1817,8.718490818182545e-08,3.7364962679475866e-08
1818,2.038521387248693e-07,4.410835785506606e-08
1819,2.1426673413316166e-07,3.415846450138815e-08
1820,1.9461029410194897e-07,6.882559233645225e-08
1821,1.9131287842810707e-07,3.4515210245444905e-08
1822,1.4737655362750957e-07,3.8097340393505874e-08
1823,9.78386012207011e-08,1.8777104315859106e-08
1824,1.0863235644364977e-07,3.705289586264371e-08
1825,1.1182912373897125e-07,2.993850500843109e-08
1826,8.455664612938563e-08,4.315912249808207e-08
1827,1.5300673794627073e-07,6.452091128039683e-08
1828,1.0731592681167967e-07,2.8434133270138773e-08
1829,1.8860987438529264e-07,9.430493719264632e-09
1830,1.6072726793936454e-07,2.1917355041978226e-08
1831,1.0757932500382594e-07,5.6128342862393765e-08
1832,1.97537559643024e-07,1.7588959622116818e-08
1833,1.0656938087549861e-07,1.50587169400751e-08
1834,2.2962946388815908e-07,3.827157613045529e-08
1835,1.005890695182643e-07,4.0840674842002045e-08
1836,9.946710122221702e-08,2.2178475944656384e-08
1837,1.273294003567571e-07,3.6876823372722356e-08
1838,1.2434958307494526e-07,2.209256599883247e-08
1839,1.5590990187774878e-07,2.027527834513876e-08
1840,2.0765185126947472e-07,3.248541347034006e-08
1841,1.6500810318120784e-07,2.8250413564023802e-08
1842,1.6032753080708062e-07,4.360372329870188e-08
1843,1.3999378722928668e-07,3.18973185642335e-08
1844,1.679499774809301e-07,3.2382512671347286e-08
1845,1.3336745041669928e-07,3.348136701220028e-08
1846,1.4928978941952664e-07,2.751615646445771e-08
1847,2.0386384846915462e-07,4.1527822958187244e-08
1848,1.9388984640045237e-07,1.528592186161859e-08
1849,1.8183330041665613e-07,9.217356655710773e-09
1850,1.9484419055970648e-07,2.1045888587423178e-08
