year,veut_VERB amener_VERB,veut_VERB ramener_VERB
1800,8.803660733747165e-08,1.3519907327008696e-07
1801,5.476719877606229e-08,6.667310969987739e-08
1802,5.147032311469957e-08,1.0070280609397742e-07
1803,3.900678446910888e-09,8.386458461018265e-08
1804,5.438072037122765e-08,6.673997887673977e-08
1805,8.52863308864471e-08,7.391481915419718e-08
1806,1.729001475325731e-08,4.8988376022407465e-08
1807,5.693910054560547e-08,4.27043254092041e-08
1808,1.8128591960930862e-08,7.251436784372345e-08
1809,5.1957702140725814e-08,1.4909601020463015e-07
1810,1.6380887757350138e-08,1.708292529656319e-07
1811,4.512738271955641e-08,8.524060746140094e-08
1812,1.0668832928217853e-08,5.3344166417446104e-08
1813,1.1502966579257645e-08,1.7254450312975678e-08
1814,8.810695817373926e-08,6.293354459785405e-08
1815,8.091670444798638e-09,5.1247248222807684e-08
1816,4.1716869958463576e-08,1.6918508549679245e-07
1817,1.401186100480345e-08,5.7604317760251433e-08
1818,3.695565098382758e-08,8.583247534943439e-08
1819,4.140419918030602e-08,1.1075623262968293e-07
1820,3.559944161679596e-08,9.255855104584043e-08
1821,2.859831660373402e-08,9.467028405651945e-08
1822,4.3110148340019805e-08,1.0927921323400369e-07
1823,5.0401702367253165e-08,9.190898708766326e-08
1824,5.3053010873327366e-08,6.568468080558887e-08
1825,7.484626252107773e-08,1.0478477463493618e-07
1826,4.1397527184017235e-08,1.4797413427913853e-07
1827,5.069500019772022e-08,8.572063592282575e-08
1828,4.861319524707142e-08,1.3299836609803606e-07
1829,4.715246859632316e-08,9.773420828196322e-08
1830,1.982998831806526e-08,5.322786122974321e-08
1831,1.2472964883158966e-08,4.8332740476553226e-08
1832,3.92369123858316e-08,6.22378593106987e-08
1833,3.59092489077284e-08,8.456049016558609e-08
1834,6.907552574375586e-08,1.652211949476623e-07
1835,4.310960122211327e-08,1.0512692227848675e-07
1836,5.107770206791429e-08,7.661655132551459e-08
1837,4.383471363667013e-08,6.192522761239161e-08
1838,3.3454458758797045e-08,9.846972659488529e-08
1839,4.9639474752893875e-08,8.319855737681792e-08
1840,6.497082694068013e-08,1.0573683084658114e-07
1841,4.044945711711989e-08,9.309795245826535e-08
1842,6.372852112690452e-08,1.0800306426972384e-07
1843,4.784597962270709e-08,1.1164061675117409e-07
1844,5.3239045172404076e-08,1.0812465944809446e-07
1845,4.0177642546268544e-08,1.3280941857374273e-07
1846,4.4494210982293225e-08,7.083946940156238e-08
1847,3.343798482546845e-08,8.790954808546303e-08
1848,6.516629724728773e-08,7.401604307233356e-08
