year,pourront_VERB ajouter_VERB
1800,2.5153315874604232e-08
1801,2.6193008650921e-08
1802,3.1329761895904085e-08
1803,1.3652374342143503e-08
1804,1.4831105232815389e-08
1805,3.695740957709859e-08
1806,6.339671898558663e-08
1807,2.8469550272802735e-08
1808,1.5862518409903714e-08
1809,4.51806094758922e-08
1810,1.1700633351097167e-08
1811,1.7549536934780008e-08
1812,2.400487453257938e-08
1813,2.5881675469463516e-08
1814,1.5733386149463513e-08
1815,0.0
1816,2.0858434979231788e-08
1817,2.1796227045456362e-08
1818,1.3113295338484932e-08
1819,5.2790355198339967e-08
1820,1.779972080839798e-08
1821,2.6626018723163725e-08
1822,5.81485721795616e-08
1823,1.680056804787e-08
1824,2.6105450245950124e-08
1825,3.3460683113162304e-08
1826,1.2331177856594877e-08
1827,1.1060727445055818e-08
1828,3.760643352279658e-08
1829,2.5719527840806222e-08
1830,2.400472176589119e-08
1831,1.870944643656003e-08
1832,4.058990654698391e-08
1833,2.548398292390175e-08
1834,2.42697808516823e-08
1835,2.571449897459388e-08
1836,1.1425274948351216e-08
1837,5.427154903259179e-08
1838,2.7142295522253335e-08
1839,1.8876983531868063e-08
1840,1.8472096741106725e-08
1841,3.4028907691663335e-08
1842,2.4820581145945653e-08
1843,2.1855571574747046e-08
1844,2.7442807137845193e-08
1845,3.4039391749729475e-08
1846,4.859236213405893e-08
1847,4.368511241636952e-08
1848,3.781254065415851e-08
1849,5.111443002192573e-08
1850,2.987158254086353e-08
1851,1.870337307252612e-08
1852,2.669323606596663e-08
1853,2.269334054005867e-08
1854,3.636965217879151e-08
1855,1.6451505047143655e-08
1856,1.9155599773057475e-08
1857,3.368241152656992e-08
1858,1.6149130033227266e-08
1859,1.323965115318515e-08
1860,1.830873586072812e-08
1861,2.0750240636857598e-08
1862,1.8071945717679228e-08
1863,1.8480097452311384e-08
1864,1.7740493518658695e-08
1865,2.4004906507002488e-08
1866,2.4814625021463144e-08
1867,1.2132028714972876e-08
1868,2.4699369660652337e-08
