year,pouvait_VERB éveiller_VERB,pouvait_VERB réveiller_VERB
1800,2.5153315874604232e-08,1.2576657937302116e-08
1801,3.5717739876872656e-08,1.6668277424969347e-08
1802,1.3427040812530322e-08,8.951360541686881e-09
1803,1.950339223455444e-09,1.3652374342143503e-08
1804,1.4831105232815389e-08,7.4155526164076946e-09
1805,5.685755422035754e-09,0.0
1806,1.4408345627714425e-08,0.0
1807,0.0,4.839823830593559e-08
1808,1.3596443970698147e-08,1.3596443970698147e-08
1809,2.259030518203531e-09,1.581321384946932e-08
1810,0.0,3.042164919975221e-08
1811,0.0,3.5099073869560016e-08
1812,1.8670457180292033e-08,3.200649700829672e-08
1813,5.751483289628823e-09,1.1502966579257645e-08
1814,9.440030979135372e-09,2.2026739543434815e-08
1815,2.6972236000233352e-08,2.4275012222574333e-08
1816,0.0,2.7811246638975717e-08
1817,1.556873407970727e-09,8.251429051142622e-08
1818,1.1921177378582115e-09,2.384235386898581e-08
1819,6.210630232317271e-09,3.726378139390363e-08
1820,1.3053129244156025e-08,4.2719332071783356e-08
1821,1.8736827200882544e-08,3.8459806006585495e-08
1822,2.0051231786055723e-09,1.2030739071633434e-08
1823,2.9648061783404955e-09,4.941343334508019e-08
1824,1.1789557774477544e-08,7.915846111927749e-08
1825,1.0566531649658373e-08,3.169959583715354e-08
1826,1.8496766784892316e-08,5.2847905607222856e-08
1827,3.041700225026034e-08,3.041700225026034e-08
1828,2.0179061976932644e-08,3.760643352279658e-08
1829,1.8860987438529264e-08,5.1439055681612444e-08
1830,1.2524203008013046e-08,5.0096812032052185e-08
1831,6.236482441579483e-09,6.080570358335535e-08
1832,2.570694235259907e-08,2.976593194148336e-08
1833,9.266902800675325e-09,4.9809603552830595e-08
1834,1.9602515166639023e-08,6.907552574375586e-08
1835,2.0420337421001022e-08,2.8739734148075513e-08
1836,1.6129799718100912e-08,3.36037508930076e-08
1837,2.5048407792382932e-08,5.148839221646995e-08
1838,2.019891809368346e-08,3.66105403770689e-08
1839,3.146163862766116e-08,2.3771015378315496e-08
1840,2.356784811752277e-08,3.821813265858509e-08
1841,1.6693427085101575e-08,4.751206006403663e-08
1842,1.8112315203211438e-08,4.024958855097793e-08
1843,4.016699506337318e-08,4.0757687003178944e-08
1844,3.677336124496833e-08,4.50062032086862e-08
1845,3.4039391749729475e-08,7.14269177137794e-08
1846,3.8639708321852595e-08,3.454155717008689e-08
1847,2.6426796750911308e-08,4.314578916364553e-08
1848,3.620349886546137e-08,1.448139919091318e-08
1849,4.608678239037545e-08,2.5976186535103807e-08
1850,1.9009188889640427e-08,3.733947906425783e-08
1851,3.031236062156495e-08,6.06247212431299e-08
1852,2.539112742283578e-08,2.539112742283578e-08
