year,voudront_VERB acheter_VERB,voudront_VERB racheter_VERB
1800,9.432493897065797e-09,6.288328968651058e-09
1801,2.1430643926123594e-08,0.0
1802,0.0,0.0
1803,3.315576790896557e-08,0.0
1804,1.2359254952798437e-08,9.887403784603066e-09
1805,2.842877755426798e-08,0.0
1806,5.76333825108577e-09,3.1698359492793315e-08
1807,8.540865792383556e-09,0.0
1808,1.5862518409903714e-08,9.064295980465431e-09
1809,6.7770917766551975e-09,0.0
1810,2.574139479349924e-08,7.020380277111826e-09
1811,2.2563691359778204e-08,1.504245972228091e-08
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,0.0,8.627225156487839e-09
1814,3.1466771410748606e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,2.7811246638975717e-08,2.3176038865813098e-09
1817,0.0,2.0239355080775567e-08
1818,8.344824387052086e-09,7.152706427149269e-09
1819,2.5877625375869684e-08,8.280840013696888e-09
1820,5.933240565525466e-09,1.1866481131050932e-09
1821,1.0847637454958203e-08,0.0
1822,1.9048670196752937e-08,0.0
1823,1.581229902569703e-08,1.9765373782121287e-09
1824,5.894778887238772e-09,7.57900142644985e-09
1825,4.4027217427355936e-09,1.2327619813845558e-08
1826,2.642395191543301e-09,1.7615968683770689e-09
1827,2.6730091917670507e-08,8.295545583791863e-09
1828,1.1006761724274838e-08,4.586150570418113e-09
1829,4.9724420136953995e-08,2.571952872898464e-09
1830,2.0873670791843324e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,0.0,0.0
1833,1.1583628278799551e-08,3.4750886612755494e-09
1834,1.120143711119681e-08,1.7735608537350345e-08
1835,6.050470346963266e-09,9.075705520444899e-09
1836,1.8146025126952736e-08,4.032449929525228e-09
1837,1.6003149028165353e-08,3.478945576063097e-09
1838,3.1560809521380406e-09,8.2058102535143e-09
1839,3.076248944466897e-08,6.9914749545318955e-09
1840,7.64362617644565e-09,1.2739377330817092e-09
1841,1.0914932957462042e-08,3.2102742686390684e-09
1842,1.1404051036834062e-08,6.037438549100216e-09
1843,7.088293507706567e-09,5.31621990873532e-09
1844,1.0977122322231025e-08,5.488561161115513e-09
1845,1.674068350610014e-08,4.464182357111213e-09
1846,2.751615646445771e-08,5.854501328173001e-10
1847,3.343798482546845e-08,8.629157832729106e-09
1848,2.413566457803995e-09,0.0
1849,1.1731181359664333e-08,9.217356655710773e-09
1850,2.0366988096043315e-09,6.788996032014438e-10
1851,1.3543821175687754e-08,7.739326512989919e-09
1852,1.1718981340891332e-08,9.114764054629632e-09
1853,1.6721408258035808e-08,0.0
1854,4.676098175337984e-09,4.676098175337984e-09
1855,9.021793090369101e-09,0.0
1856,1.0354378465748937e-09,7.248064815001953e-09
1857,1.513267733344037e-08,5.857811125054013e-09
1858,2.5447114637699997e-08,8.31924928945682e-09
1859,3.258990943777462e-08,6.110608019582742e-09
1860,1.4646988510946812e-08,3.204028820036342e-09
1861,8.960331143725853e-09,2.8295783494058924e-09
1862,1.626475132354699e-08,9.035972858839614e-09
1863,1.748117206545885e-08,8.990317823531768e-09
1864,1.2466292886870178e-08,2.8768367688059016e-09
1865,2.8241067262513297e-09,9.41368871743009e-10
1866,1.702964524952222e-08,4.865612801552288e-09
1867,4.367530337390235e-09,0.0
1868,1.2843672791973404e-08,9.87974813071446e-10
1869,8.790334682373668e-09,1.4650557433881772e-09
1870,2.8670243956696595e-09,1.7202146374017957e-09
1871,2.1242354542039266e-09,0.0
1872,1.3304146229131675e-08,1.2094678591978436e-09
1873,5.9860045809045914e-09,0.0
1874,1.7923827755339516e-08,5.974609140757536e-10
1875,5.149374260327022e-09,0.0
1876,1.0882827083946722e-08,6.04601479992084e-10
