year,devaient_VERB allumer_VERB,devaient_VERB rallumer_VERB
1800,1.5720821977538435e-08,0.0
1801,2.1430643926123594e-08,0.0
1802,0.0,0.0
1803,1.5602713565598947e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,1.9928686256776018e-08
1808,4.5321479902327155e-09,0.0
1809,1.8072244145628247e-08,6.7770917766551975e-09
1810,0.0,0.0
1811,2.0056614147279106e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,1.4378708002027452e-08,0.0
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,1.622322720606917e-08,4.6352077731626196e-09
1817,6.227493631882908e-09,0.0
1818,5.960588467246453e-09,5.960588467246453e-09
1819,1.035105001712111e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,2.9584465544019167e-08,0.0
1822,1.0025615893027862e-09,3.0076847679083585e-09
1823,9.882686891060644e-10,0.0
1824,7.57900142644985e-09,0.0
1825,3.522177216552791e-09,0.0
1826,1.3211976845894924e-08,7.927186018719112e-09
1827,2.1199728861276412e-08,0.0
1828,1.1006761502230233e-08,9.172301251858528e-10
1829,3.429270423183084e-09,8.57317605795771e-10
1830,3.1310507520032616e-09,0.0
1831,9.354723218280014e-09,0.0
1832,0.0,0.0
1833,5.791814139399776e-09,0.0
1834,4.667265462998671e-09,0.0
1835,9.832014313815307e-09,1.5126175867408165e-09
1836,3.36037508930076e-09,2.688300027031687e-09
1837,6.262101504006523e-09,0.0
1838,1.2624323808552163e-09,1.3255539776935166e-08
1839,8.389769989847196e-09,4.194885327990505e-09
1840,1.0828470564661075e-08,3.821813088222825e-09
1841,8.988767952189392e-09,1.926164561183441e-09
1842,4.024959032733477e-09,1.0733224087289273e-08
1843,2.3627644840651385e-09,1.1813822142769936e-09
1844,1.920996434146005e-08,0.0
1845,7.812319346989227e-09,3.348136878855712e-09
1846,1.1123552301484096e-08,1.1709002656346001e-09
1847,1.3483059113639229e-08,4.314578916364553e-09
1848,8.045221711050488e-10,8.84974404868899e-09
1849,4.1897072478036534e-09,8.379414939696517e-10
1850,4.073397619208663e-09,0.0
1851,7.094382636907426e-09,6.449438760824933e-10
1852,8.463709066930392e-09,6.510545436100301e-09
1853,0.0,0.0
1854,3.6369652289813814e-09,4.1565315633818045e-09
1855,5.306937111981824e-10,0.0
1856,6.730345780692204e-09,5.177189232874468e-10
1857,6.8341126091553406e-09,1.4644527812635033e-09
1858,7.340513863418607e-09,2.4468380654951716e-09
1859,1.5276520048956854e-09,7.638259802433822e-09
1860,5.950338888283113e-09,2.288591982591015e-09
1861,1.3676294763342867e-08,0.0
1862,1.0843167252971853e-08,0.0
1863,1.2486552236623538e-08,0.0
1864,1.2466292886870178e-08,0.0
1865,1.3179164537469035e-08,4.706844358715045e-10
1866,4.865612912574591e-10,4.865612912574591e-10
1867,3.88224918879132e-09,0.0
1868,1.185569808992426e-08,2.9639244392143382e-09
1869,2.4417595723136287e-09,0.0
1870,9.17447851023212e-09,0.0
1871,2.1242353653860846e-08,0.0
1872,4.23313739617015e-09,0.0
1873,1.0774807712721213e-08,0.0
1874,1.0156835372754358e-08,5.974609140757536e-10
1875,2.2886108563824337e-09,2.2886108563824337e-09
1876,1.0882827083946722e-08,0.0
1877,1.8554447978047506e-09,1.2369631985365004e-09
1878,1.0266450800600069e-08,0.0
1879,5.498392852132383e-09,0.0
1880,1.2835692508872398e-09,0.0
1881,1.324776466304911e-08,0.0
1882,3.3276925659464496e-09,0.0
1883,1.8958017378167824e-09,0.0
1884,3.9610181801208455e-09,6.601696966868076e-10
1885,5.80107206715752e-09,0.0
1886,1.2906927748801422e-09,0.0
1887,1.1752064210668323e-08,0.0
1888,5.07249175996094e-09,0.0
1889,5.6386229019267375e-09,0.0
1890,3.2771931834929546e-09,0.0
1891,5.099376032546843e-09,5.736798147637501e-09
1892,7.522214851007902e-09,0.0
1893,7.390100087434348e-09,6.158416554491453e-10
1894,5.041231432301174e-09,0.0
1895,3.611168697403855e-09,3.611168697403855e-09
1896,2.358811590497112e-09,0.0
1897,2.9133566670225264e-09,0.0
1898,1.6975064687230201e-09,0.0
1899,9.949641111006713e-09,0.0
1900,6.748368974740515e-09,0.0
1901,3.912117296778206e-09,0.0
1902,4.419255628107521e-09,0.0
1903,5.400220270956879e-10,0.0
1904,6.987012746151322e-09,0.0
1905,5.676835002077496e-09,1.0321518084666081e-09
1906,5.658602919567102e-09,1.0288369045596824e-09
1907,5.142843373384665e-10,1.5428529565042481e-09
1908,6.875944702500192e-09,2.9468334439286537e-09
1909,3.300590023513905e-09,0.0
1910,3.740905363258662e-09,2.67207544979442e-09
1911,2.128149656499545e-09,0.0
1912,1.0418842455450772e-09,2.6047106693738442e-09
1913,5.302989602995467e-09,5.30298971401777e-10
1914,1.3393487430235496e-09,0.0
1915,2.4739600590351074e-08,0.0
