year,voulait_VERB appeler_VERB,voulait_VERB rappeler_VERB
1800,9.432493897065797e-09,2.829747991484055e-08
1801,2.3811825844433088e-09,3.809892135109294e-08
1802,2.2378401354217203e-08,1.1189200677108602e-08
1803,1.1702034896643454e-08,5.070882025393075e-08
1804,2.4718509461507665e-09,3.9549615138412264e-08
1805,3.1271653710973624e-08,8.528632911009026e-09
1806,2.881669125542885e-09,2.881669125542885e-09
1807,1.4234775136401367e-08,6.547996633798903e-08
1808,1.1330369531492579e-08,4.985362878073829e-08
1809,3.840352036377226e-08,2.25903047379461e-08
1810,1.6380887757350138e-08,4.680253518074551e-09
1811,2.0056614147279106e-08,3.259199843341776e-08
1812,1.0668832928217853e-08,3.467370746079723e-08
1813,5.176335093892703e-08,2.5881675469463516e-08
1814,9.754699448194515e-08,3.776012391654149e-08
1815,1.0788894222457657e-08,2.966945977789237e-08
1816,3.0128852301913867e-08,3.7081662185300956e-08
1817,2.9580593974287694e-08,1.0898113522728181e-08
1818,5.722165141719415e-08,5.6029534789558966e-08
1819,7.866798057420965e-08,4.140420006848444e-09
1820,3.9159388620646496e-08,2.3732962262101864e-08
1821,6.212737702071536e-08,4.339054981983281e-08
1822,2.5064039732569654e-08,4.110502516141423e-08
1823,6.423746157224741e-08,2.174191138237802e-08
1824,2.6105450245950124e-08,3.621078548121659e-08
1825,2.905796137042671e-08,4.0505039322624725e-08
1826,7.0463874735082754e-09,2.906634755106552e-08
1827,5.2538457140371975e-08,3.6869092667757286e-08
1828,4.861319524707142e-08,2.935136400594729e-08
1829,3.3435387791769244e-08,4.115124596637543e-08
1830,2.6092090266160994e-08,3.444155893816969e-08
1831,8.263339168479433e-08,6.236482441579483e-09
1832,1.7588959622116818e-08,1.6235963684607668e-08
1833,3.243415847009601e-08,2.0850531967653296e-08
1834,5.880754372356023e-08,4.760610750054184e-08
1835,4.5378527602224494e-08,8.092504089063368e-08
1836,5.9142600150607905e-08,2.8227150394855016e-08
1837,3.1310509740478665e-08,3.6181031504156635e-08
1838,1.7042836475411605e-08,4.102905393210676e-08
1839,5.103776956616457e-08,3.985140750728533e-08
1840,7.325142092895476e-08,4.1402977046800515e-08
1841,4.687000298986277e-08,5.714288064950779e-08
1842,4.561620414733625e-08,4.561620414733625e-08
1843,4.6073907356003474e-08,2.539971788451112e-08
1844,5.4885614275690386e-08,3.567564732520623e-08
1845,5.022205229465726e-08,4.910600637231255e-08
1846,8.898842196458645e-08,7.435216531348487e-08
1847,7.5505127483666e-08,3.937053350000497e-08
1848,5.309846429213394e-08,5.551202875153649e-08
1849,3.9383248662261394e-08,7.29009101974043e-08
1850,1.0862393651223101e-08,3.326607966869233e-08
1851,5.095056465620473e-08,4.6435957301582675e-08
1852,5.208436348880241e-08,2.4740073101270355e-08
1853,4.538668108011734e-08,3.1054046445433414e-08
1854,4.46827144173767e-08,4.416314780542052e-08
1855,4.351688431825096e-08,3.555647865027822e-08
1856,3.468716869292621e-08,4.4523826403519706e-08
1857,3.9540225316159194e-08,3.7099468386259105e-08
1858,5.2851699905431815e-08,2.5447114637699997e-08
1859,4.6338776371612767e-08,2.800695320104296e-08
1860,5.126446112058147e-08,3.3871160098897235e-08
1861,5.94211435611669e-08,4.8574428035408346e-08
1862,7.454677586338221e-08,2.6656119089807362e-08
1863,4.6449972757045543e-08,2.5472566278494924e-08
1864,2.205574922697906e-08,2.589153069720851e-08
1865,5.17752880568878e-08,3.0594488720225854e-08
1866,3.8924902412418305e-08,3.600553455385125e-08
1867,4.464586567110018e-08,2.426405742994575e-08
1868,3.112120694481746e-08,2.5193358510477992e-08
1869,4.199826619810665e-08,4.3463320054115684e-08
1870,4.529898589566983e-08,4.9886224928741285e-08
1871,5.3105885911008954e-08,7.009977309735405e-08
1872,3.3260366905096816e-08,1.9956219787786722e-08
1873,4.4895035244962855e-08,1.9155214303623325e-08
1874,2.0313670745508716e-08,4.660195074279727e-08
1875,2.9751941355016243e-08,6.122034079680816e-08
1876,4.6554312405078235e-08,2.1765654167893445e-08
1877,3.401648740464225e-08,2.9068635498674666e-08
1878,2.536417298415472e-08,4.468925496325937e-08
1879,5.070739916845923e-08,3.5434087664043545e-08
1880,3.016387850607316e-08,3.7223507831640745e-08
1881,4.462404845639867e-08,1.673401861523871e-08
1882,4.2594464844114555e-08,1.3976308999019693e-08
1883,2.464542170343975e-08,4.044376922252013e-08
1884,5.8755102116947455e-08,2.5086448474098688e-08
1885,5.02759576193057e-08,3.287274097374393e-08
1886,6.066255764380912e-08,2.3877817056927597e-08
1887,4.8966935395355904e-08,2.0892558794116667e-08
1888,4.818867083145051e-08,2.282621380800265e-08
1889,4.0723389105323804e-08,1.628935564212952e-08
1890,2.0974036729626278e-08,2.8839300725280737e-08
1891,2.8683990294098294e-08,1.5935549768641977e-08
1892,2.4447198043731078e-08,1.191017329205124e-08
1893,3.7566341148931315e-08,3.571881634911733e-08
1894,3.213785149114301e-08,3.213785149114301e-08
1895,1.8055843042930064e-08,2.347259631108045e-08
1896,2.299841384001411e-08,3.3023361822870356e-08
1897,3.204692333724779e-08,1.981082675683865e-08
1898,2.772593887812036e-08,2.546259736391221e-08
1899,3.427098604902312e-08,3.4823742112166656e-08
1900,2.906989848838748e-08,2.2321527737290126e-08
1901,4.135666742399735e-08,2.4031576728589243e-08
1902,1.7677022512430085e-08,9.329538919189417e-09
1903,2.3220946943069976e-08,1.1880484152015924e-08
1904,3.0097901060344157e-08,1.9886112312406112e-08
1905,1.4966200723165457e-08,3.4061010012464976e-08
1906,2.1605574218597212e-08,1.9547901075611662e-08
1907,3.188563013623025e-08,2.674278576364486e-08
1908,2.8486056180554442e-08,1.620758460774141e-08
1909,2.2003934674330594e-08,1.3752458727367411e-08
1910,3.847788576649691e-08,1.60324518105881e-08
1911,2.926205766584644e-08,2.2345570727111408e-08
1912,1.2502610502451716e-08,1.719108944087111e-08
1913,1.9090762748419365e-08,1.6439267724877027e-08
1914,3.8171439342704616e-08,2.0090231700464756e-08
1915,4.005459075528961e-08,2.3561524287174507e-08
1916,2.7468654906215306e-08,2.4172416956957932e-08
1917,2.3029491202919417e-08,2.631941953268324e-08
1918,3.5607765624945387e-08,1.9526840588923733e-08
1919,3.4069039145379065e-08,8.287063479883727e-09
1920,2.8774479687854182e-08,1.9687803387569147e-08
1921,2.9533714140939082e-08,2.499006690470651e-08
1922,3.6151885041135756e-08,1.770704471937279e-08
1923,2.5478275489376756e-08,1.9108707505210987e-08
1924,2.707241186783449e-08,2.3204924204378585e-08
