year,pouvant_VERB amener_VERB,pouvant_VERB ramener_VERB
1800,1.5720821977538435e-08,0.0
1801,9.524730337773235e-09,4.7623651688866175e-09
1802,2.2378401354217203e-09,6.713520406265161e-09
1803,1.3652374342143503e-08,0.0
1804,1.2359254952798437e-08,4.943701892301533e-09
1805,1.421438877713399e-08,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,4.555128185756985e-08,2.8469550272802735e-08
1808,1.8128591960930862e-08,2.039466551195801e-08
1809,5.1957702140725814e-08,3.840352036377226e-08
1810,1.6380887757350138e-08,0.0
1811,1.353821517113829e-07,0.0
1812,1.600324850414836e-08,1.0668832928217853e-08
1813,6.614205716459765e-08,5.751483289628823e-09
1814,1.8880061958270744e-08,6.293354282149721e-09
1815,1.6183340889597275e-08,1.8880564667256294e-08
1816,2.0858434979231788e-08,1.1588019432906549e-08
1817,2.80237220096069e-08,3.113746815941454e-09
1818,5.960588467246453e-09,9.536941902865692e-09
1819,1.5526575580793178e-08,1.2421260464634543e-08
1820,4.6279275522920216e-08,5.933240565525466e-09
1821,1.4792232327920374e-08,1.3806083387635226e-08
1822,2.5064039732569654e-08,2.606660132187244e-08
1823,4.842516432290722e-08,1.4824030003524058e-08
1824,2.7789671008804362e-08,5.052667617633233e-09
1825,8.805443485471187e-09,7.044354433105582e-09
1826,6.165588928297439e-08,1.3211976401805714e-08
1827,4.7008093417844066e-08,1.1982455028203276e-08
1828,2.7516904310687096e-08,3.668920500743411e-09
1829,3.429270378774163e-08,1.971830521085849e-08
1830,3.652892388572582e-08,6.262101504006523e-09
1831,3.741889287312006e-08,3.1182412207897414e-09
1832,3.2471927369215337e-08,0.0
1833,5.09679658478035e-08,6.950177322551099e-09
1834,6.440826183506942e-08,5.600718555598405e-09
1835,5.445423312266939e-08,1.8907719834260206e-08
1836,5.5782226837663984e-08,6.72075017860152e-09
1837,8.210311364109657e-08,6.957891152126194e-09
1838,4.1660268124132926e-08,1.0730675015224733e-08
1839,6.641901251214222e-08,4.894032734625853e-09
1840,5.86011346115356e-08,2.4841785517537573e-08
1841,4.8796167106957e-08,1.4125206782011901e-08
1842,8.653661609514529e-08,6.708265054555795e-10
1843,9.214781471200695e-08,5.906910960362666e-09
1844,7.519329159322297e-08,1.920996517412732e-08
1845,7.92392356174787e-08,5.9150416120701266e-08
1846,6.088681203664237e-08,2.9272506640865004e-09
1847,5.123562374365065e-08,1.77976389181822e-08
1848,7.723412664972784e-08,8.04522137798358e-09
1849,1.0977033326753372e-07,3.3517659758786067e-09
1850,7.467895812851566e-08,1.6293590476834652e-08
1851,1.1737978411474614e-07,4.514607354622058e-09
1852,8.659025496626782e-08,7.161600201754936e-09
1853,6.389966955566706e-08,2.030456869306363e-08
1854,6.28675422831293e-08,4.676098175337984e-09
1855,7.53585069901419e-08,1.751289246954002e-08
1856,7.558696069054349e-08,1.0872097000458325e-08
1857,7.419893677251821e-08,2.9289055625270066e-09
1858,9.151174396038186e-08,1.3212924976357954e-08
1859,9.82789458703337e-08,1.476730293603623e-08
1860,9.703629899604493e-08,0.0
1861,1.12711532551657e-07,2.357981809808507e-09
1862,8.900433101644012e-08,3.6143890103090826e-09
1863,1.0888273749287691e-07,5.9935452156878455e-09
1864,6.808513575151665e-08,2.8768367688059016e-09
1865,1.0825741725284388e-07,5.6482134525026595e-09
1866,1.2650593816943e-07,3.4059290943133647e-09
1867,1.358787216076962e-07,2.91168689159349e-09
1868,1.2942470561938535e-07,7.409810987013543e-09
1869,1.2794819781447586e-07,1.1720445947105418e-08
1870,1.364703621220542e-07,1.204150201772336e-08
1871,1.083360103848463e-07,3.18635318130589e-09
1872,1.245751946044038e-07,1.3304146229131675e-08
1873,1.7419273490304477e-07,0.0
1874,1.487677678824184e-07,2.0911132381229436e-08
1875,1.1900776542006497e-07,1.1443054503956773e-08
1876,1.5840558376112313e-07,1.0882827083946722e-08
1877,1.3853987468337436e-07,7.421779191219002e-09
1878,1.9204301793251943e-07,3.0195443923020093e-09
1879,1.3990354830184515e-07,6.109325489944695e-09
1880,1.6365507349291875e-07,4.492492600149944e-09
1881,2.1754223666903272e-07,1.1853263259808955e-08
1882,1.6106031353047e-07,7.986462158271479e-09
1883,2.0474658413149882e-07,8.21514056781325e-09
1884,1.8022632275460637e-07,1.0562715146988921e-08
