year,petit_ADJ emplacement_NOUN
1800,3.458580977167003e-08
1801,1.6668277424969347e-08
1802,6.713520406265161e-09
1803,5.851017448321727e-09
1804,1.9774807569206132e-08
1805,2.55858996212055e-08
1806,3.458002950651462e-08
1807,3.701041606518629e-08
1808,2.4926814390369145e-08
1809,3.6144488291256494e-08
1810,2.3401267590372754e-09
1811,2.2563691359778204e-08
1812,2.9339290108509886e-08
1813,1.4378708002027452e-08
1814,0.0
1815,1.0788894222457657e-08
1816,2.5493642752394408e-08
1817,7.784366928831332e-09
1818,2.5034472272977837e-08
1819,3.2088255608186955e-08
1820,4.746592452420373e-09
1821,1.4792232327920374e-08
1822,4.110502516141423e-08
1823,1.087095569118901e-08
1824,2.4421225930382207e-08
1825,8.805443485471187e-09
1826,2.554315514657901e-08
1827,1.8434546333878643e-08
1828,2.0179061976932644e-08
1829,1.7146351893870815e-08
1830,2.922314124020886e-08
1831,3.1182412207897414e-09
1832,2.705993829010822e-08
1833,3.938433579264711e-08
1834,2.333632664885954e-08
1835,3.025235173481633e-08
1836,1.6129799718100912e-08
1837,6.262101948095733e-09
1838,1.8936486156917454e-08
1839,1.8177836125232716e-08
1840,1.0191501864653674e-08
1841,1.6051371787284552e-08
1842,1.542900918138912e-08
1843,1.4176587015413133e-08
1844,2.085653250105679e-08
1845,1.6182660544927785e-08
1846,2.3418005312692003e-08
1847,1.6718992412734224e-08
1848,6.43617736884039e-09
1849,1.1731181359664333e-08
1850,1.425689166723032e-08
1851,5.8044946626978344e-09
1852,2.7344290387532055e-08
1853,1.970737528722566e-08
1854,1.2469595134234623e-08
1855,9.552486801567284e-09
1856,2.2261913201759853e-08
1857,1.8549734193129552e-08
1858,8.808616946964776e-09
1859,6.110608019582742e-09
1860,1.5562426014525954e-08
1861,1.131831339762357e-08
1862,1.3102160245637151e-08
1863,2.2475793670651e-08
1864,5.274200631788517e-09
1865,9.413688495385486e-09
1866,1.1677471434268227e-08
1867,2.4749338578544666e-08
1868,2.6181332657415624e-08
1869,5.9578933786497146e-08
1870,8.027668307875047e-09
1871,1.4869648623516696e-08
1872,7.256807155187062e-09
1873,1.496501056408306e-08
1874,1.5533982988813477e-08
1875,1.2015206607429718e-08
1876,1.874264654588842e-08
1877,8.658742167710898e-09
1878,1.2078177569208037e-08
1879,8.55305515301552e-09
1880,7.059631101924424e-09
1881,4.183504653809678e-09
1882,6.655385131892899e-09
1883,1.2006744043446815e-08
1884,3.1027976632458376e-08
1885,1.6114089618213256e-08
1886,6.4534639854230136e-09
1887,3.4603299781110763e-08
1888,2.2192152115962926e-08
1889,2.6940087494153886e-08
1890,7.865263995654459e-09
1891,2.103492668936724e-08
1892,1.56712811616444e-08
1893,1.7859408174558666e-08
1894,2.6466464575491955e-08
1895,1.5046536461227333e-08
1896,1.533227589334274e-08
1897,1.981082675683865e-08
1898,2.772593887812036e-08
1899,2.04520400615138e-08
1900,1.972600216504361e-08
1901,1.117747761014698e-08
1902,2.553347577816112e-08
1903,2.592105730059302e-08
1904,1.5586412160928376e-08
1905,1.0837593933388234e-08
1906,1.4918134283448126e-08
1907,2.5199932807140613e-08
1908,6.875944702500192e-09
1909,1.6502950117569526e-08
1910,1.870452770447173e-08
1911,7.980561100850991e-09
1912,5.2094213387476884e-09
1913,2.6514948014977335e-09
1914,1.1384464038144415e-08
1915,2.238344798399794e-08
1916,2.4172416956957932e-08
1917,1.6449636319748606e-08
1918,1.378365155346728e-08
1919,7.366278698128781e-09
1920,1.514446346106979e-08
1921,1.2116395886607734e-08
1922,5.902348387820666e-09
1923,3.1847844361720945e-09
1924,1.5469948877466777e-08
1925,1.2097995494286806e-08
1926,1.114613823460786e-08
1927,8.919379901328739e-09
1928,9.14083297942625e-09
1929,1.1140405931087116e-08
1930,2.6259009189288918e-08
1931,9.124285327288817e-09
1932,1.4247397928102146e-08
1933,3.4411986593596566e-09
1934,8.38710612072191e-09
1935,1.4361940969820353e-08
1936,1.6974599503782883e-08
1937,1.2591118370153254e-08
1938,3.8895642262559704e-09
1939,1.070583532936098e-08
1940,1.2678914806940611e-08
1941,1.1806010391524069e-08
1942,9.102635090130207e-09
1943,2.9032351633873077e-08
1944,1.927911696952833e-08
1945,1.742803235060819e-08
1946,1.2528993842408909e-08
1947,8.344609447874518e-09
1948,7.610321262063735e-09
1949,1.1780409536754632e-08
1950,6.381216888229346e-09
1951,9.595261474260042e-09
1952,1.4762725264461096e-08
1953,1.1851209791302608e-08
1954,1.3681550115052232e-08
1955,4.6928039232341234e-09
1956,6.976913269340912e-09
1957,2.6505113659425206e-09
1958,4.9633461784992505e-09
1959,5.425523585955716e-09
1960,8.305000243069571e-09
1961,4.16889545107324e-09
1962,7.610347907416326e-09
1963,8.405868889838075e-09
1964,9.734349326606662e-09
1965,3.2832261354087677e-09
1966,3.8773522170743036e-09
1967,4.437302081328198e-09
1968,7.635406973349745e-09
1969,5.904285060864822e-09
1970,1.0117195081704722e-08
1971,6.166076982339064e-09
1972,1.0260293947794707e-08
1973,2.4258095976392724e-08
1974,3.3753431161187564e-09
1975,6.8537762132336866e-09
1976,3.9994687561772935e-09
1977,7.052138428775834e-09
1978,8.910887139279566e-09
1979,1.404473604083023e-08
1980,9.664756106531058e-09
1981,9.488323904349727e-09
1982,8.069752865935698e-09
1983,1.3893695083311286e-08
1984,1.0438215625185876e-08
1985,7.820225356169885e-09
1986,5.395036861699509e-09
1987,1.0388388815840699e-08
1988,4.797243047249822e-09
1989,7.134558721588746e-09
1990,5.993515905799995e-09
1991,2.989347080983862e-08
1992,9.91789939064347e-09
1993,8.308811416668505e-09
1994,9.494868002946077e-09
1995,3.253470381991974e-09
1996,9.60856638698715e-09
1997,4.315404922294874e-09
1998,6.198567881199324e-09
1999,1.0054442611817649e-08
2000,3.97622823555821e-09
2001,9.20054432640427e-09
2002,8.762443215459825e-09
2003,2.9168460979889232e-09
2004,7.488145215006625e-09
2005,9.007498746882447e-09
2006,5.353256948836815e-09
2007,7.190063211481856e-09
2008,8.940623352771127e-09
2009,7.629108011997232e-09
2010,6.140930874920514e-09
2011,9.177532511728259e-09
2012,1.1574459612972987e-08
2013,1.3945625099154313e-08
2014,1.3642305063399363e-08
2015,1.4629397249166232e-08
2016,1.6156452176119274e-08
2017,1.3081178806828575e-08
2018,1.3939920329164579e-08
2019,1.1734544003161318e-08
