year,devant_VERB aller_VERB
1800,8.803660733747165e-08
1801,3.095537337571841e-08
1802,4.0281122437590966e-08
1803,1.3652374342143503e-08
1804,3.707776485839531e-08
1805,6.254330742194725e-08
1806,1.123850950079941e-07
1807,3.131650672116848e-08
1808,3.172503681980743e-08
1809,6.325285362152044e-08
1810,7.488405628919281e-08
1811,4.763445815569867e-08
1812,5.3344164197000055e-08
1813,6.039057609541487e-08
1814,3.4613449440001887e-08
1815,6.743059044467259e-08
1816,3.9399267848239106e-08
1817,4.514932783195036e-08
1818,2.980294322441068e-08
1819,2.070209959015301e-08
1820,4.390598107306687e-08
1821,7.889190323240314e-08
1822,4.6117833107928163e-08
1823,8.696764686177971e-08
1824,5.136878655775945e-08
1825,4.138558207245069e-08
1826,1.523781354428877e-07
1827,9.12510014217105e-08
1828,6.787503059602074e-08
1829,6.94427257919017e-08
1830,8.766941750337764e-08
1831,5.6128341086036926e-08
1832,6.629684734527075e-08
1833,5.6759781430493206e-08
1834,5.1339918982762356e-08
1835,5.672315950278062e-08
1836,5.645430034562082e-08
1837,3.965997708021973e-08
1838,4.79724298063644e-08
1839,4.474544201826802e-08
1840,4.9046603667335376e-08
1841,6.099521066005309e-08
1842,2.951636579595629e-08
1843,2.3036953678001737e-08
1844,4.171306544620279e-08
1845,5.9150417008879685e-08
1846,4.2737857919306066e-08
1847,2.7505440591824026e-08
1848,2.8962798603870965e-08
1849,5.781796375003978e-08
1850,3.2587180065490884e-08
1851,3.9986521205293e-08
1852,1.6276363812295358e-08
1853,5.374738498709064e-08
1854,4.2084880469417385e-08
1855,3.449509122788186e-08
1856,4.2970671465525356e-08
1857,5.7601807101903546e-08
1858,5.774537870095742e-08
1859,5.194016838849791e-08
1860,8.284703123528914e-08
1861,5.989273899054126e-08
1862,4.2017273438332836e-08
1863,4.345320014920162e-08
1864,6.904407989782868e-08
1865,5.601144970057703e-08
1866,7.152451009240224e-08
1867,6.260126816926004e-08
1868,2.7169308136620884e-08
1869,4.3951670858355385e-08
1870,4.1285152629910726e-08
1871,4.2484709306123136e-08
1872,4.4145577415832804e-08
1873,5.746564146758004e-08
1874,4.839433209724575e-08
1875,3.718992641621455e-08
1876,5.622793874948684e-08
1877,5.1952453450354596e-08
1878,4.7708799522094836e-08
1879,5.009646819598146e-08
1880,5.134276981344499e-08
1881,6.623881887435346e-08
1882,5.0580927002386034e-08
1883,6.256145468341856e-08
1884,4.885255844300218e-08
1885,5.8655285517517086e-08
1886,5.2273056327933887e-08
1887,5.876032194152003e-08
1888,6.657645590379957e-08
1889,6.57839365203472e-08
1890,7.799720247447794e-08
1891,6.119251416691895e-08
1892,6.393882578947796e-08
1893,6.89742665205273e-08
1894,7.18375510189162e-08
1895,4.2732163141323554e-08
1896,5.01247474637978e-08
1897,5.127508018176741e-08
1898,6.733442114992272e-08
1899,6.301439370304251e-08
1900,5.294874094730062e-08
1901,3.297356032661014e-08
1902,5.0575925336637795e-08
1903,6.372259875320196e-08
1904,4.030968803192536e-08
1905,5.62522739500082e-08
1906,8.127811401692497e-08
1907,6.222840553959941e-08
1908,6.679489183980536e-08
1909,8.966603370907933e-08
1910,7.161161574842367e-08
1911,5.852411710804972e-08
1912,4.8968558985507116e-08
1913,5.780258849341635e-08
1914,4.218948390644073e-08
1915,7.539687629787295e-08
1916,8.130721873556013e-08
1917,5.70254080622945e-08
1918,6.662098250842519e-08
1919,5.432630589830012e-08
1920,5.14911762117265e-08
1921,3.407736237637238e-08
1922,7.230376564137941e-08
1923,5.73261198510977e-08
1924,5.0277335628123865e-08
1925,6.598906732158127e-08
1926,6.018914433525424e-08
1927,5.686104742608222e-08
1928,6.969885102403595e-08
1929,5.7930112706827686e-08
1930,5.0417296337812445e-08
1931,5.36051762978218e-08
1932,5.589363860636354e-08
1933,5.850037565480193e-08
1934,7.069132301751324e-08
1935,6.582556189016486e-08
1936,6.06235719402548e-08
1937,5.288269544490021e-08
1938,4.019216370831913e-08
1939,3.976453033516236e-08
1940,1.7750480196809804e-08
1941,2.066051774107791e-08
1942,5.461581054078124e-08
1943,5.225823351828751e-08
1944,6.42637232317611e-08
1945,5.010559434026618e-08
1946,5.4292305762260185e-08
1947,7.152522618625312e-08
1948,4.457474189756283e-08
1949,3.6322930441201606e-08
1950,3.616022903329963e-08
1951,6.823297438174336e-08
1952,5.4832980267427445e-08
1953,8.188109035245361e-08
1954,5.277169390360825e-08
1955,4.974372336263855e-08
1956,4.8838393329475593e-08
1957,4.152467669715776e-08
1958,4.2188442295199025e-08
1959,4.2629114460623896e-08
1960,7.128458179295194e-08
1961,4.794229990778831e-08
1962,7.356669495806045e-08
1963,3.2330265575808426e-08
1964,5.658090684868e-08
1965,3.5021078703678654e-08
1966,4.818995047450869e-08
1967,4.535908759706331e-08
1968,4.266844988443097e-08
1969,4.723428048691858e-08
1970,4.8746484626605024e-08
1971,5.960541238358985e-08
1972,4.206720505273154e-08
1973,5.017015336505892e-08
1974,5.344292963727071e-08
1975,3.3126585918807905e-08
1976,4.799362485208292e-08
1977,3.2909979463813244e-08
1978,5.0495026382435526e-08
1979,3.3941446986318624e-08
1980,4.661823571616708e-08
1981,5.250206225326792e-08
1982,4.8418519416060235e-08
1983,4.294414779337785e-08
1984,4.349256199631668e-08
1985,6.617114145512915e-08
1986,3.3569117374732116e-08
1987,3.6664901170713193e-08
1988,4.8572086741582865e-08
1989,5.872290675945635e-08
1990,5.2307048470368045e-08
1991,4.1616401269539693e-08
1992,3.9671599560975324e-08
1993,4.6529343045165206e-08
1994,4.219941363015067e-08
1995,4.175287315888454e-08
1996,5.0178065036377006e-08
1997,2.7810388103510775e-08
1998,5.054216822841795e-08
1999,3.427650829834761e-08
2000,4.329670710845335e-08
2001,3.943090542968264e-08
2002,4.2059727589638385e-08
2003,4.62528459976852e-08
2004,4.2726473470366955e-08
2005,3.6029997985131956e-08
2006,5.023825577765706e-08
2007,4.553706678400715e-08
2008,4.172290796189415e-08
2009,5.674149194945244e-08
2010,3.967986073050156e-08
2011,3.2503761238089623e-08
2012,2.4510619200945882e-08
2013,2.8449075428760295e-08
2014,3.897801459373795e-08
2015,2.8150507036528438e-08
2016,4.204820380770968e-08
2017,3.29545102317752e-08
2018,3.7431268085086344e-08
2019,2.653027220134163e-08
