year,fallait_VERB entrer_VERB,fallait_VERB rentrer_VERB
1800,3.144164395507687e-08,3.772997558826319e-08
1801,1.6668277424969347e-08,9.524730337773235e-09
1802,1.5664880947952042e-08,2.2378401354217203e-09
1803,9.751696339321825e-09,2.3404069793286908e-08
1804,2.2246657849223084e-08,4.943701892301533e-09
1805,1.9900143755080535e-08,5.685755422035754e-09
1806,4.8988376022407465e-08,2.881669125542885e-09
1807,1.2526602688467392e-07,2.8469551160981155e-09
1808,3.852325747288887e-08,6.798221985349073e-09
1809,1.581321384946932e-08,1.3554183553310395e-08
1810,4.212228077449254e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,5.3344166417446104e-08,3.200649700829672e-08
1813,1.552900528167811e-07,1.7254450312975678e-08
1814,1.8880061958270744e-08,6.293354282149721e-09
1815,1.0788894222457657e-08,5.394447111228828e-09
1816,6.952811304472561e-08,2.7811246638975717e-08
1817,2.9580593974287694e-08,7.784366928831332e-09
1818,4.768470773797162e-08,1.3113295338484932e-08
1819,5.900098543065724e-08,4.140420006848444e-09
1820,5.3399165977907614e-08,2.1359666035891678e-08
1821,8.185035227370463e-08,1.7750679148775816e-08
1822,4.3110148340019805e-08,2.606660132187244e-08
1823,2.4706716672540097e-08,1.1859224713361982e-08
1824,5.4737231636181605e-08,1.0947446504872005e-08
1825,5.195211372210906e-08,3.3460683113162304e-08
1826,6.165588928297439e-08,9.688783109140786e-09
1827,9.585964022562621e-08,2.3964910056406552e-08
1828,3.485474309172787e-08,1.1006761724274838e-08
1829,8.573176302206775e-08,1.8860987438529264e-08
1830,9.288783786587373e-08,2.1917355041978226e-08
1831,9.978371906527173e-08,4.677361609140007e-09
1832,3.3824925083081325e-08,3.3824925083081325e-08
1833,1.1236119945579048e-07,2.89590715851773e-08
1834,7.187588835222414e-08,1.213489042584115e-08
1835,6.126101226300307e-08,2.647080776796429e-08
1836,5.2421849972006385e-08,2.688300071440608e-08
1837,1.0088941593267009e-07,3.061472142462662e-08
