year,aient_VERB accompagné_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,1.5602713787643552e-08
1804,1.2359254952798437e-08
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,2.039466551195801e-08
1809,0.0
1810,4.680253518074551e-09
1811,0.0
1812,0.0
1813,0.0
1814,1.5733386149463513e-08
1815,1.3486118000116676e-08
1816,3.9399267848239106e-08
1817,2.9580593974287694e-08
1818,1.1921176934492905e-08
1819,0.0
1820,2.3732962262101864e-09
1821,3.94459531705138e-09
1822,9.023054303725075e-09
1823,1.3835761869529506e-08
1824,0.0
1825,7.044354433105582e-09
1826,6.1655889282974385e-09
1827,0.0
1828,6.420610709767516e-09
1829,9.430493719264632e-09
1830,1.6698937344017395e-08
1831,0.0
1832,1.2176972319366541e-08
1833,3.01174338801502e-08
1834,2.8003592777992026e-09
1835,6.050470346963266e-09
1836,8.736974699274924e-09
1837,6.262101948095733e-09
1838,1.8936485712828244e-09
1839,1.2584655095793096e-08
1840,1.2102408852854296e-08
1841,7.0626033910059505e-09
1842,7.379091560011375e-09
1843,1.3585895075607368e-08
1844,2.7442805805577564e-09
1845,8.928364714222425e-09
1846,1.2879903366069811e-08
1847,5.9325460100012606e-09
1848,4.02261068899179e-09
1849,8.379414939696517e-10
1850,1.2220192857625989e-08
1851,5.159551008659946e-09
1852,1.8880582430824688e-08
1853,2.20961471342207e-08
1854,5.195664454227256e-10
1855,6.8990182455763716e-09
1856,2.5885946719483854e-09
1857,3.905207268672939e-09
1858,1.2234189661342043e-08
1859,4.073738679721828e-09
1860,5.034902272882391e-09
1861,1.8863854922557266e-09
1862,9.487771457372673e-09
1863,4.994620717013731e-09
1864,1.1986819536957682e-08
1865,2.8241067262513297e-09
1866,6.3252967308358166e-09
1867,5.338092634588065e-09
1868,8.89177353968762e-09
1869,4.395167341186834e-09
1870,5.160643912205387e-09
1871,2.1242354542039266e-09
1872,3.628403577593531e-09
1873,1.0774807712721213e-08
1874,7.766991494406739e-09
1875,9.7265964171811e-09
1876,3.02300739996042e-09
1877,8.658742167710898e-09
1878,8.4547240319921e-09
1879,4.887460214320072e-09
1880,2.5671385017744797e-09
1881,3.4862537301449947e-09
1882,6.655385131892899e-10
1883,5.0554711528150165e-09
1884,1.1883054540362536e-08
1885,6.445635691854079e-10
1886,5.808117542471791e-09
1887,1.1752064210668323e-08
1888,5.07249175996094e-09
1889,0.0
1890,1.3108772956016423e-09
1891,1.2748440081367107e-09
1892,3.761107425503951e-09
1893,1.847525021858587e-09
1894,7.561847148451761e-09
1895,4.213029924926559e-09
1896,3.5382172747233653e-09
1897,2.330685422435863e-09
1898,1.6975064687230201e-09
1899,4.4220627160029835e-09
1900,1.038210628578895e-09
1901,7.265360757457984e-09
1902,9.820567470342212e-09
1903,2.7001101354784396e-09
1904,0.0
1905,3.096455536422127e-09
1906,1.3374879870298173e-08
1907,6.685696440911215e-09
1908,6.875944702500192e-09
1909,7.701377313651392e-09
1910,1.6032452032632705e-09
1911,2.6601871816467337e-09
1912,2.6047106693738442e-09
1913,1.060597942803554e-09
1914,0.0
1915,4.712304768617059e-09
1916,4.394984820521586e-09
1917,6.57985488317081e-09
1918,5.743188147278033e-09
1919,0.0
1920,9.843901693784574e-09
1921,7.572747762196741e-09
1922,2.2133805899215986e-09
1923,0.0
1924,5.156649773851996e-09
1925,3.299453377181294e-09
1926,8.916910765321973e-09
1927,1.5608915049369898e-08
1928,5.713020723163709e-09
1929,7.798284684668033e-09
1930,2.100720708497761e-09
1931,2.2810713318222042e-09
1932,3.287861094491973e-09
1933,3.4411986593596566e-09
1934,5.990790086229936e-09
1935,8.377798899061872e-09
1936,9.699771652549316e-09
1937,3.777335333410292e-09
1938,2.5930428915188486e-09
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,4.1763312808029696e-09
1947,1.1920870957027319e-09
1948,4.348755133776194e-09
1949,1.1780409536754632e-08
1950,8.508289184305795e-09
1951,1.1727541604500402e-08
1952,1.0544803918932644e-09
1953,2.1547654771580937e-09
