year,veut_VERB envoyer_VERB,veut_VERB renvoyer_VERB
1800,1.0061326349841693e-07,2.2009151834367913e-08
1801,8.572257570449437e-08,3.095537337571841e-08
1802,1.544109693440987e-07,2.0140561218795483e-08
1803,1.560271414291492e-07,1.3652374342143503e-08
1804,1.038177401824214e-07,0.0
1805,1.02343598484822e-07,0.0
1806,7.204172902675055e-08,1.729001475325731e-08
1807,2.562259560079383e-08,0.0
1808,7.931259204951857e-08,4.758755522971114e-08
1809,1.4683698168482806e-07,4.51806094758922e-08
1810,7.956430891908894e-08,4.44624070894406e-08
1811,1.0028307428910921e-07,1.0028307073639553e-08
1812,3.200649700829672e-08,5.867858021701977e-08
1813,3.163315653864629e-08,3.738464116054274e-08
1814,3.776012391654149e-08,4.405347908686963e-08
1815,6.47333635583891e-08,2.697223555614414e-09
1816,5.7940098940889584e-08,3.7081662185300956e-08
1817,1.665854512111764e-07,3.113746771532533e-08
1818,5.126106117359086e-08,4.6492591110336434e-08
1819,1.552657522552181e-07,6.93520334493769e-08
1820,1.3171793966648693e-07,3.678609061807947e-08
1821,1.1932401378089708e-07,3.747365440176509e-08
1822,1.4035862250239006e-07,4.912551787583652e-08
1823,1.4922856905741355e-07,2.174191138237802e-08
1824,1.2631669221718766e-07,3.789500624407083e-08
1825,8.453225319726698e-08,2.7296874094417944e-08
1826,1.409277530228792e-07,3.8755132436563144e-08
1827,9.770309361556428e-08,4.424290978022327e-08
1828,1.164882235116238e-07,1.7427371545863934e-08
1829,1.5603180258949578e-07,1.7146351893870815e-08
1830,6.992679857376061e-08,3.861629238599562e-08
1831,1.153749238369528e-07,2.0268567268999504e-08
1832,1.055337577327009e-07,2.3000948701223933e-08
1833,7.18184978154568e-08,1.2741991461950875e-08
1834,8.774458848392896e-08,1.0454674281845655e-07
1835,1.005890695182643e-07,1.9664028627630614e-08
1836,9.677879830860547e-08,3.8308275662757296e-08
1837,1.224588856985065e-07,1.461157062010443e-08
1838,1.117252637072852e-07,2.5879863585487328e-08
1839,1.4052865537905745e-07,2.7965899818127582e-08
1840,1.3312649116414832e-07,4.395085184683012e-08
1841,1.0979137954336693e-07,3.659712533021775e-08
1842,8.251166150330391e-08,3.890793820460203e-08
1843,8.033399012674636e-08,5.2571508035725856e-08
1844,7.848642269436823e-08,2.4149668931272572e-08
1845,9.03996948409258e-08,2.287893430263921e-08
1846,1.1943183153562131e-07,2.517435504501009e-08
1847,7.928039025273392e-08,4.0988499705463255e-08
1848,8.68883915927654e-08,9.332457295840868e-08
1849,4.524883934209356e-08,1.1396004140351579e-07
1850,9.029364633761361e-08,5.5669765686161554e-08
1851,7.997304152240758e-08,2.8377531435808123e-08
1852,8.463709377792838e-08,2.018269107395554e-08
1853,8.719020172520686e-08,2.20961471342207e-08
1854,7.897409659562982e-08,1.7145692865483397e-08
1855,8.384960636931282e-08,4.7231740296638236e-08
1856,1.0820325258009689e-07,1.7084724746041502e-08
1857,1.0885765533430458e-07,1.0739319655783675e-08
1858,1.2576747110415454e-07,3.7191938417890924e-08
1859,7.791025069536772e-08,4.4811123700583266e-08
1860,8.37624654081992e-08,1.7393299245327398e-08
1861,9.762045038996803e-08,1.5091083938045813e-08
1862,9.442591419883684e-08,3.207770404856092e-08
1863,1.208698279242526e-07,3.3963420520422005e-08
1864,9.54150891629979e-08,4.315254997777629e-08
1865,8.801799111779474e-08,2.3534221682552925e-08
1866,5.838735361862746e-08,5.2548617901493344e-08
1867,1.014237582808164e-07,3.8337212515671126e-08
1868,1.2201489596463944e-07,2.222943251695142e-08
1869,7.81363098667498e-08,3.1742874995188686e-08
1870,8.945116292125022e-08,3.612450782952692e-08
1871,4.6733180880664804e-08,8.178306387662815e-08
1872,7.922014333416882e-08,4.535504416480762e-08
1873,8.440266441311906e-08,4.788803664723673e-08
1874,1.0216581358690746e-07,2.0313670745508716e-08
1875,1.1328624083262184e-07,3.89063856687244e-08
1876,7.073837338111844e-08,4.6554312405078235e-08
1877,1.1256365439749061e-07,3.7727378554563984e-08
1878,8.394333406158694e-08,3.01954443671093e-08
1879,7.331190232662266e-08,2.6270098985037293e-08
1880,7.701415682959123e-08,2.2462462112571302e-08
1881,9.761510710859511e-08,1.8825771164188154e-08
1882,8.91821585469188e-08,2.1297232422057277e-08
1883,1.320741773724876e-07,3.728409936343269e-08
1884,7.6579681262956e-08,3.3668655419205606e-08
1885,8.637152149049143e-08,2.707166935067562e-08
1886,8.518572514049083e-08,2.0651084398082276e-08
1887,8.944626728180083e-08,3.982643903555072e-08
1888,1.0398608196737769e-07,3.804368731152863e-08
1889,7.455512474052739e-08,1.50363277384713e-08
1890,8.32407067719032e-08,2.0318598359381213e-08
1891,1.089991599201312e-07,4.206985337873448e-08
1892,7.647584965297938e-08,2.3193495124473884e-08
1893,1.1208317829414227e-07,4.249307394843527e-08
1894,8.948185836743505e-08,3.906954404442331e-08
1895,7.162151405282202e-08,3.069493459406658e-08
1896,7.48922701632182e-08,2.8305738197786923e-08
1897,5.477110676110897e-08,2.6220211779559577e-08
1898,5.941272718246182e-08,1.1882545614128048e-08
1899,5.085372123403431e-08,2.7637891975018647e-08
1900,6.904100757765264e-08,1.349673794948103e-08
1901,6.203499935963919e-08,2.179608138419553e-08
1902,8.101968518303693e-08,1.4730851205513318e-08
1903,6.102249017203576e-08,1.5660639007819555e-08
1904,7.094504894666898e-08,1.827372564378038e-08
1905,8.412037288962892e-08,2.9932401446330914e-08
1906,7.613392938310426e-08,2.4692084821253957e-08
1907,6.119983453345412e-08,3.034277540336916e-08
1908,5.5007557620001535e-08,1.6698722404839828e-08
1909,5.3909637642846064e-08,1.870334465081669e-08
1910,7.161161619251288e-08,1.60324518105881e-08
1911,5.639596523110413e-08,2.606983251496331e-08
1912,6.355493553655833e-08,2.917275843117295e-08
1913,7.583275163369763e-08,9.545381374209683e-09
1914,8.036092680185902e-08,9.37544086809794e-09
1915,5.5369582696584985e-08,1.8849219074468238e-08
1916,4.504859418830165e-08,6.592477230782379e-09
1917,5.04455535121906e-08,1.2063066989753679e-08
1918,5.283732917860107e-08,3.44591288836682e-09
1919,7.458357487166722e-08,1.6574126959767455e-08
1920,7.496509368820625e-08,1.741613253614105e-08
1921,4.1650110915725236e-08,2.0446417892117097e-08
1922,4.869437475463201e-08,1.1804696775641332e-08
1923,4.0340601970001444e-08,1.5923921736771263e-08
1924,4.898817351772777e-08,1.0313299547703991e-08
1925,6.158979459769398e-08,2.1996356736053713e-08
1926,4.346993875969929e-08,1.5604593173179637e-08
1927,5.9090890403012963e-08,7.804457524684949e-09
1928,5.713020456710183e-08,1.7139061725401916e-08
1929,5.458799279267623e-08,1.4482528065684619e-08
1930,6.092090387710414e-08,1.3654684494213143e-08
1931,4.44808918587114e-08,2.8513390759599133e-08
1932,6.24693612394367e-08,7.6716757391182e-09
1933,7.11181087353907e-08,8.02946331646126e-09
1934,5.990790441501304e-08,1.5576054224197833e-08
1935,4.308582290946106e-08,9.574627313213568e-09
1936,3.516167268458048e-08,1.33371855781661e-08
1937,2.2664012888640173e-08,1.1332006444320086e-08
1938,2.3337385357535823e-08,5.186085783037697e-09
1939,4.129393715857077e-08,4.588215141154706e-09
1940,3.550096039361961e-08,3.296517903095264e-08
1941,2.066051862925633e-08,0.0
1942,4.8547388331598995e-08,3.034211770724937e-09
1943,3.193558839598154e-08,8.709705845433291e-09
1944,1.927911696952833e-08,3.2131861615880553e-09
1945,8.496165548876888e-08,2.178504043826024e-09
1946,1.8097434661967782e-08,1.6705325123211878e-08
1947,5.722018059373113e-08,1.3112957830685446e-08
1948,4.240036233227329e-08,1.6307831529616124e-08
1949,4.712163814701853e-08,1.7670615193310368e-08
1950,6.274863295629984e-08,9.571825110299415e-09
1951,6.929911222641749e-08,1.8124383771578323e-08
1952,4.74516177462192e-08,9.490323193972472e-09
1953,3.5553629373907825e-08,4.3095309543161875e-09
1954,4.202190595492539e-08,9.772536557761669e-09
1955,4.598947711542678e-08,1.220129064449793e-08
1956,4.186147961604547e-08,8.72114114258693e-09
1957,4.240818185508033e-08,1.3252556385623393e-08
1958,4.549733745307094e-08,1.6544486891589827e-09
1959,5.425523497137874e-08,1.705164542897819e-08
1960,5.259833457671448e-08,8.305000243069571e-09
1961,5.489045662443459e-08,1.320150300188061e-08
