year,voudraient_VERB ajouter_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,8.540865792383556e-09
1808,2.039466551195801e-08
1809,2.259030518203531e-09
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,4.6352077731626196e-09
1817,0.0
1818,3.5763532135746345e-09
1819,0.0
1820,1.1866481131050932e-09
1821,1.97229765852569e-09
1822,0.0
1823,5.929612356680991e-09
1824,6.736890156844311e-09
1825,1.4969252504215547e-08
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,1.0436835840010872e-09
1831,0.0
1832,4.058990921151917e-09
1833,2.3167257001688313e-09
1834,3.733812370398937e-09
1835,7.563087933704082e-10
1836,0.0
1837,2.7831563720326358e-09
1838,1.2624323808552163e-09
1839,6.9914751765765e-10
1840,1.2739377330817092e-09
1841,0.0
1842,1.0062397137744483e-08
1843,8.860366662588604e-09
1844,1.6465684371524958e-09
1845,1.674068439427856e-09
1846,0.0
1847,2.6966118227278457e-09
1848,0.0
1849,0.0
1850,0.0
1851,9.674158363282004e-09
1852,2.6042181744401205e-09
1853,1.7915795513800958e-09
1854,1.1950028522278444e-08
1855,1.0613874223963649e-09
1856,4.141751386299575e-09
1857,5.369659827891837e-09
1858,4.893676019968041e-10
1859,3.055304009791371e-09
1860,3.204028820036342e-09
1861,7.073945429425521e-09
1862,2.2589932147099034e-09
1863,1.9978483312144135e-09
1864,9.589456340108882e-09
1865,7.0602665935837194e-09
1866,6.811858188626729e-09
1867,1.94112459439566e-09
1868,9.385760613156435e-09
1869,8.30198221279943e-09
1870,4.013834153937523e-09
1871,3.18635318130589e-09
1872,2.4189357183956872e-09
1873,2.3944017879529156e-09
1874,1.7923826867161097e-09
1875,0.0
1876,1.209202959984168e-09
1877,1.8554447978047506e-09
1878,7.850815109122777e-09
1879,2.443730107160036e-09
1880,1.9253538763308597e-09
1881,6.2752567586699115e-09
1882,5.989846840748214e-09
1883,1.8958017378167824e-09
1884,0.0
1885,1.2891271383708158e-09
1886,2.5813855497602844e-09
1887,6.528924623161458e-10
1888,1.9021844099853524e-09
1889,3.132568426877924e-09
1890,6.554386478008212e-10
1891,0.0
1892,1.8805537127519756e-09
1893,1.847525021858587e-09
1894,3.150769645188234e-09
1895,3.0093072478365457e-09
1896,5.89702897624278e-10
1897,2.330685422435863e-09
1898,0.0
1899,2.2110313580014918e-09
1900,1.5573159428683425e-09
1901,5.588738916095792e-10
1902,1.9641135384773634e-09
1903,5.400220270956879e-10
1904,2.1498500757388683e-09
1905,2.0643036169332163e-09
1906,8.230695236477459e-09
1907,5.142843484406967e-09
1908,1.080505640516094e-08
1909,1.1001967115120692e-09
1910,1.068830135508847e-09
1911,1.5961122423746588e-09
1912,2.0837684910901544e-09
1913,3.71209285532359e-09
1914,4.68772043404897e-09
1915,2.3561523843085297e-09
1916,2.197492410260793e-09
