year,pouvaient_VERB aller_VERB
1800,1.6349655140857067e-07
1801,6.191074675143682e-08
1802,3.3567602031325805e-08
1803,5.851017803593095e-08
1804,7.662737999680758e-08
1805,8.812921237222326e-08
1806,1.0374009207225754e-07
1807,1.7366426163789583e-07
1808,9.517511045942229e-08
1809,9.487928309681593e-08
1810,5.3822915901946544e-08
1811,9.025476543911282e-08
1812,1.2002436733382638e-07
1813,7.189353823378042e-08
1814,1.7621391634747852e-07
1815,1.5643897199879575e-07
1816,1.2978581764855335e-07
1817,1.370048607896024e-07
1818,1.144433028343883e-07
1819,9.00541365922436e-08
1820,1.5426425648001896e-07
1821,2.0807740952477616e-07
1822,2.6267113639733e-07
1823,1.6899394950087299e-07
1824,1.3473780313688621e-07
1825,1.6994505358525203e-07
1826,1.8232528020689642e-07
1827,2.0646692178161175e-07
1828,1.3483283112236677e-07
1829,2.006123196451881e-07
1830,1.4715938334575185e-07
1831,1.7618063452573551e-07
1832,1.6912461830997927e-07
1833,1.783878786909554e-07
1834,3.0243879223235126e-07
1835,2.0193445493532636e-07
1836,2.392586964106158e-07
1837,2.0525777699731407e-07
1838,2.5627377908676863e-07
1839,2.8455303890950745e-07
1840,2.2612394445786776e-07
1841,1.823435837877696e-07
1842,2.4820579369588813e-07
1843,2.114674231279423e-07
1844,2.5137609327430255e-07
1845,2.4832013423292665e-07
1846,2.558417122600076e-07
1847,3.05795794020014e-07
1848,1.9791245620126574e-07
1849,2.2037860958334932e-07
1850,1.5275240627943276e-07
1851,2.025123819748842e-07
1852,2.1289483242981078e-07
1853,2.1021199358983722e-07
1854,1.8184825023581652e-07
1855,1.772517066456203e-07
1856,2.1381791270869144e-07
1857,1.928196127209958e-07
1858,2.0015134793993639e-07
1859,1.980855444116969e-07
1860,2.3526725101419288e-07
1861,1.980704809056988e-07
1862,2.132489527184589e-07
1863,1.8629935993885738e-07
1864,1.9226858682941383e-07
1865,1.7085845627207163e-07
1866,2.1457353227560816e-07
1867,2.1109730141688487e-07
1868,2.193304027287013e-07
1869,1.4601722853058163e-07
1870,2.2764173479572491e-07
1871,2.166720207696926e-07
1872,2.6124504870495e-07
1873,1.8017873060216516e-07
1874,1.810306571314868e-07
1875,2.0196991101784079e-07
1876,1.7231141669071803e-07
1877,1.7874118896088476e-07
1878,1.624514851528147e-07
1879,1.9000002282609785e-07
1880,1.9381896265713294e-07
1881,1.8267969892349356e-07
1882,1.4242523604934831e-07
1883,1.529279956002938e-07
1884,1.9342972734648356e-07
1885,1.5598438096731115e-07
1886,2.052201466540282e-07
1887,1.7040493105469068e-07
1888,1.2554417594401457e-07
1889,1.5286933319202944e-07
1890,1.7893475501296052e-07
1891,1.529812863054758e-07
1892,1.6924983015087491e-07
1893,1.7489902859324502e-07
1894,1.9660802763610263e-07
1895,1.9440125242908834e-07
1896,1.7101383775752765e-07
1897,1.4566784045655368e-07
1898,1.1486460493870254e-07
1899,1.4482255039638403e-07
1900,1.6507549105426733e-07
1901,1.6654442447361362e-07
1902,1.247212111366025e-07
1903,1.128646047732218e-07
1904,1.4403995862721786e-07
1905,1.0992416576982578e-07
1906,1.5278227749604412e-07
1907,1.3937105336481181e-07
1908,1.154176416662267e-07
1909,1.655796069144344e-07
1910,1.5872127789862134e-07
1911,1.5588696555823844e-07
1912,1.349240079662195e-07
1913,1.5219580973280245e-07
1914,1.2455943476652465e-07
1915,1.4136914217033336e-07
1916,1.2086208300843282e-07
1917,1.7984936562243092e-07
1918,1.711470076770638e-07
1919,1.4732557929164614e-07
1920,1.5068741276991204e-07
1921,1.1207666261725535e-07
1922,1.401807736556293e-07
1923,1.560544404810571e-07
