year,fallait_VERB ajouter_VERB,fallait_VERB rajouter_VERB
1800,8.489244152087849e-08,0.0
1801,1.6668278135512082e-07,0.0
1802,9.398928568771225e-08,0.0
1803,1.3652375230321923e-07,0.0
1804,1.359518080334965e-07,0.0
1805,7.960057502032214e-08,0.0
1806,1.613734639249742e-07,0.0
1807,2.2775640218242188e-07,0.0
1808,9.290903335568146e-08,0.0
1809,8.584316191218022e-08,0.0
1810,1.2168659679900884e-07,0.0
1811,1.3287507272252697e-07,0.0
1812,1.440292436427626e-07,0.0
1813,1.4378707646756084e-07,0.0
1814,2.3600078691288218e-07,0.0
1815,8.091670622434322e-08,0.0
1816,1.228330006597389e-07,0.0
1817,2.1017791596023017e-07,0.0
1818,1.8358613829150272e-07,0.0
1819,2.5153050842163793e-07,0.0
1820,2.1241001491034694e-07,0.0
1821,2.8401086638041306e-07,0.0
1822,1.0627152846609533e-07,0.0
1823,1.2847492314449482e-07,0.0
1824,1.7263280938095704e-07,0.0
1825,2.2101662011664303e-07,0.0
1826,1.241925815520517e-07,0.0
1827,2.433360180020827e-07,0.0
1828,1.3666728193584277e-07,0.0
1829,1.6803424784939125e-07,0.0
1830,1.2941676175159955e-07,0.0
1831,2.307498476739056e-07,0.0
1832,2.1512651926514081e-07,0.0
1833,1.4711207541040494e-07,0.0
1834,2.156276650566724e-07,0.0
1835,2.0420337421001022e-07,0.0
1836,1.5121688079489104e-07,0.0
1837,1.4889886301716615e-07,0.0
1838,1.9757067093451042e-07,0.0
1839,1.7199029400671861e-07,0.0
1840,2.465069428581046e-07,0.0
1841,1.9454262201179517e-07,0.0
1842,1.4691100602703955e-07,0.0
1843,2.2032777735603304e-07,0.0
1844,1.7453625389407534e-07,0.0
1845,2.237671452576251e-07,0.0
1846,2.3710730090442667e-07,0.0
1847,2.049424949746026e-07,0.0
1848,2.6388326546111784e-07,0.0
1849,2.7819658043881645e-07,0.0
1850,2.5933965730473574e-07,0.0
1851,2.5668765601949417e-07,0.0
1852,1.7318050993253564e-07,0.0
1853,1.9707374576682923e-07,0.0
1854,1.6885908848962572e-07,0.0
1855,2.1864580901365116e-07,0.0
1856,1.9362687453394756e-07,0.0
1857,2.2259681031755463e-07,0.0
1858,1.6051257034632727e-07,0.0
1859,1.7109702810103045e-07,0.0
1860,2.2336656968491297e-07,0.0
1861,1.8439418170146382e-07,0.0
1862,1.897554255947398e-07,0.0
1863,1.8929613077034446e-07,0.0
1864,2.0617329710148624e-07,0.0
1865,1.9298062170491903e-07,0.0
1866,2.554446894009743e-07,0.0
1867,1.5577525402932224e-07,0.0
1868,2.2229433227494155e-07,0.0
1869,1.528541559991936e-07,0.0
1870,2.0470554318308132e-07,0.0
1871,1.7737366420078615e-07,0.0
1872,1.8565332027264958e-07,0.0
1873,1.9873534995440423e-07,0.0
1874,1.9118749605695484e-07,0.0
1875,2.357269153208108e-07,0.0
1876,2.394221780832595e-07,0.0
1877,1.873999195822762e-07,0.0
1878,1.1957395429362805e-07,0.0
1879,1.8877814511597535e-07,0.0
1880,1.5146116538744536e-07,0.0
1881,1.8198244333689217e-07,0.0
1882,1.8568525206319464e-07,0.0
1883,2.1485752199623676e-07,0.0
1884,2.000314225369948e-07,0.0
1885,1.8047779803964659e-07,0.0
1886,1.561738258715195e-07,0.0
1887,1.4233056333523564e-07,0.0
1888,1.4646819579411385e-07,0.0
1889,1.9547226770555426e-07,0.0
1890,1.5599439961988537e-07,0.0
1891,1.625426051532486e-07,0.0
1892,1.6674242431236053e-07,0.0
1893,1.348693245972754e-07,0.0
1894,1.940874057027031e-07,0.0
1895,1.799565723104024e-07,0.0
1896,1.444772124159499e-07,0.0
1897,1.4858119357086252e-07,0.0
1898,1.5220975058127806e-07,0.0
1899,1.691439024398278e-07,0.0
1900,1.692283291276908e-07,0.0
