year,voulut_VERB apporter_VERB,voulut_VERB rapporter_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,9.751696339321825e-09,0.0
1804,3.213406074564773e-08,0.0
1805,5.685755422035754e-09,1.421438877713399e-08
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,6.798221985349073e-09,0.0
1809,4.518061036407062e-09,0.0
1810,0.0,0.0
1811,1.504245972228091e-08,0.0
1812,1.600324850414836e-08,2.6672082320544632e-09
1813,0.0,0.0
1814,6.293354282149721e-09,9.440030979135372e-09
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,3.113746815941454e-09,1.556873407970727e-09
1818,1.9073883805731384e-08,1.1921177378582115e-09
1819,1.2421260464634543e-08,1.6561680027393777e-08
1820,1.542642635854463e-08,3.5599443393152796e-09
1821,9.861488514673056e-09,6.903041693817613e-09
1822,2.4061478143266868e-08,0.0
1823,1.1859224713361982e-08,0.0
1824,3.03160057057994e-08,0.0
1825,2.6416328680056722e-08,0.0
1826,2.9947145208097936e-08,0.0
1827,1.1982455028203276e-08,2.6730091917670507e-08
1828,2.0179061976932644e-08,8.255071293206129e-09
1829,1.5431716349212365e-08,0.0
1830,9.39315203396518e-09,7.305785310052215e-09
1831,3.1182412207897414e-09,0.0
1832,4.058990921151917e-09,0.0
1833,5.791814139399776e-09,4.6334514003376626e-09
1834,1.0267983796552471e-08,3.733812370398937e-09
1835,1.8151411040889798e-08,4.5378527602224494e-09
1836,1.2769425516978572e-08,0.0
1837,2.7831564608504777e-08,8.349468672008697e-09
1838,1.199310784016916e-08,2.5248647617104325e-09
1839,1.677954131196202e-08,1.11863602825224e-08
1840,1.2102408852854296e-08,3.821813088222825e-09
1841,1.6051371787284552e-08,6.420548537278137e-10
1842,1.1404051036834062e-08,2.0124795163667386e-09
1843,1.594865928211675e-08,1.2404512972352677e-08
1844,2.4149668931272572e-08,1.4270259640625227e-08
1845,3.236532108985557e-08,0.0
1846,1.5807152919933287e-08,0.0
1847,8.089835468183537e-09,0.0
1848,8.84974404868899e-09,1.6090443422100975e-09
1849,1.0893239199560867e-08,1.9272654583346593e-08
1850,2.647708541303473e-08,2.0366988096043315e-09
1851,1.9993260380601896e-08,2.579775504329973e-09
1852,2.6042181744401205e-08,1.9531636308300904e-09
1853,2.269334054005867e-08,5.3747388761848924e-09
1854,1.558699302961486e-08,6.754363734984281e-09
1855,2.2819829581521844e-08,1.1144567935161831e-08
1856,1.501384794266869e-08,2.0708756931497874e-09
1857,2.4407546206361985e-08,8.78671624349181e-09
1858,7.34051397444091e-09,9.787352039936081e-10
1859,1.323965115318515e-08,3.055304009791371e-09
1860,7.323494255473406e-09,0.0
1861,7.073945429425521e-09,0.0
1862,2.755971628687348e-08,1.3553959066214816e-09
1863,1.897955925755923e-08,5.494082966350788e-09
1864,1.821996598039277e-08,4.794728170054441e-09
1865,2.8241067262513297e-09,4.706844358715045e-10
1866,1.0704348518686402e-08,2.432806400776144e-09
1867,1.8925964795357686e-08,0.0
1868,1.7289560005906424e-08,9.87974813071446e-10
1869,1.2208797528501236e-08,0.0
1870,5.734048791339319e-09,5.160643912205387e-09
1871,1.3807530230280918e-08,2.1242354542039266e-09
1872,7.861540751719076e-09,6.047339295989218e-10
1873,1.2570609442263958e-08,1.1972008939764578e-09
1874,1.4339061493728877e-08,5.974609140757536e-10
1875,2.0025344937835143e-08,0.0
1876,1.5115036333668286e-08,1.209202959984168e-09
1877,8.040260901509555e-09,5.566334504436554e-09
1878,2.717589886458427e-08,9.058632954861423e-09
1879,1.5273313280772527e-08,1.832797580370027e-09
1880,1.7969970400599777e-08,0.0
1881,1.3945014920579979e-08,0.0
1882,2.728707926280549e-08,1.0648616211028639e-08
1883,2.338155447034751e-08,2.5277355764075082e-09
1884,9.902545450302114e-09,6.601696966868076e-09
1885,1.2246707647989297e-08,1.353583467533781e-08
1886,1.4197620856748472e-08,2.5813855497602844e-09
1887,7.1818169189441505e-09,0.0
1888,8.242799331981132e-09,6.340614699951175e-10
1889,1.3783300722991498e-08,6.265136853755848e-09
1890,2.6217545467943637e-08,1.9663159989136147e-09
1891,9.561330394092238e-09,0.0
1892,2.193979398157353e-08,3.1342561879199593e-09
1893,1.6627724974682678e-08,6.15841644346915e-09
1894,1.9534772022211655e-08,0.0
1895,6.018614495673091e-09,3.0093072478365457e-09
1896,1.2383760683576384e-08,1.47425724961181e-08
1897,1.4566784223291052e-08,4.661370844871726e-09
1898,7.355861253444118e-09,7.355861253444118e-09
1899,2.2110313580014918e-08,4.9748205555033564e-09
1900,1.5054054003371675e-08,4.671947717582725e-09
1901,8.941982265753268e-09,1.676621730339889e-09
1902,1.276673788908056e-08,2.455141867585553e-09
1903,1.4040573148577096e-08,1.0800440541913758e-09
1904,1.827372564378038e-08,1.0749250378694342e-09
1905,1.4450125540577119e-08,3.6125313851442797e-09
1906,7.201858220895474e-09,2.0576738091193647e-09
1907,9.257117739025489e-09,3.599990305858114e-09
1908,1.1296195090437777e-08,1.4734167219643268e-09
1909,1.3752458727367411e-08,2.2003934230241384e-09
1910,2.672075360976578e-08,1.6032452032632705e-09
1911,7.448523575703803e-09,5.320374141248863e-10
1912,1.614920641657136e-08,1.5628263128064646e-09
1913,1.5378670781274195e-08,0.0
1914,6.696743604095445e-09,6.696743715117748e-10
1915,9.424609537234119e-09,0.0
1916,1.648119329900055e-08,1.2086208478478966e-08
1917,1.4256351654751143e-08,5.483212106582869e-09
1918,1.6080926812378493e-08,2.2972752589112133e-09
1919,9.207848705727883e-09,0.0
1920,1.3630017114962811e-08,5.300562211374427e-09
1921,1.2873671018098776e-08,2.2718242842501013e-09
1922,1.4018077365562931e-08,7.377935484775833e-10
1923,4.246379248229459e-09,2.1231896241147297e-09
1924,1.4180787211159895e-08,1.289162443462999e-09
1925,1.3197813508725176e-08,7.698724324711748e-09
1926,5.57306911730393e-09,5.57306911730393e-09
1927,1.1149224654616319e-08,0.0
1928,9.14083297942625e-09,0.0
1929,1.4482528065684619e-08,4.4561625500705304e-09
1930,1.2604324695075775e-08,0.0
1931,1.1405356659111021e-08,4.5621426636444085e-09
1932,1.6439305028370654e-08,4.383814644626227e-09
1933,9.176529758292418e-09,3.4411986593596566e-09
1934,1.677421224144382e-08,1.1981580172459871e-09
1935,1.6755597798123745e-08,0.0
1936,8.487299751891442e-09,1.2124714565686645e-09
1937,1.7627565185307503e-08,0.0
1938,1.0372171566075394e-08,0.0
1939,7.647025235257843e-09,9.176430282309411e-09
1940,1.7750480196809804e-08,0.0
1941,1.4757512545315876e-08,0.0
1942,1.2136847082899749e-08,0.0
1943,1.7419411690866582e-08,0.0
1944,9.639558484764166e-09,3.2131861615880553e-09
1945,6.535512131478072e-09,6.535512131478072e-09
1946,1.1136883415474585e-08,1.3921104269343232e-09
1947,2.3841741914054637e-09,2.3841741914054637e-09
1948,1.3046265401328583e-08,5.435944139264848e-09
1949,3.9268033269479474e-09,0.0
1950,6.381216888229346e-09,0.0
1951,7.462981344019681e-09,0.0
1952,1.1599284199803606e-08,3.1634410646574906e-09
1953,5.386913581872932e-09,1.0773827385790469e-09
1954,1.172704333640695e-08,9.772536113672459e-10
1955,8.447047505910632e-09,0.0
1956,9.593255967388359e-09,2.616342476002842e-09
1957,5.301022731885041e-09,0.0
1958,9.926692356998501e-09,1.6544486891589827e-09
1959,3.8753737996444215e-09,1.5501495642666896e-09
