year,excellent_ADJ aliment_NOUN
1800,1.2576657937302116e-08
1801,1.6668277424969347e-08
1802,1.7902721083373763e-08
1803,7.606323038089613e-08
1804,9.39303390623536e-08
1805,2.842877755426798e-08
1806,5.76333825108577e-09
1807,5.124519120158766e-08
1808,2.7192887941396293e-08
1809,9.93973401364201e-08
1810,3.2761775514700275e-08
1811,1.504245972228091e-08
1812,7.734903562095496e-08
1813,3.163315653864629e-08
1814,1.4474714760126517e-07
1815,8.631115377966125e-08
1816,9.038654980031424e-08
1817,1.2454987263765815e-08
1818,2.8610825708597076e-08
1819,2.2772310259711048e-08
1820,5.933240565525466e-09
1821,1.3806083387635226e-08
1822,1.5038423839541792e-08
1823,2.3718449426723964e-08
1824,2.6105450245950124e-08
1825,1.937197424695114e-08
1826,2.1139161532346407e-08
1827,1.8434546333878643e-08
1828,3.485474309172787e-08
1829,2.0575622983187714e-08
1830,3.026682549034376e-08
1831,1.870944643656003e-08
1832,1.352996914505411e-08
1833,6.950177322551099e-09
1834,2.42697808516823e-08
1835,2.193295500774184e-08
1836,2.688300071440608e-08
1837,3.478945487245255e-08
1838,2.019891809368346e-08
1839,1.677954131196202e-08
1840,1.9109066329292546e-08
1841,4.751206006403663e-08
1842,2.683306021822318e-08
1843,1.8902115428431898e-08
1844,2.195424464446205e-08
1845,1.7298706467272496e-08
1846,1.4050803187615202e-08
1847,1.5101026207275936e-08
1848,1.528592186161859e-08
1849,2.0948537127196687e-08
1850,2.308258650884909e-08
1851,3.676180071465751e-08
1852,1.6927417689771573e-08
1853,2.6276499198729653e-08
1854,1.3508727469968562e-08
1855,1.2205955357558196e-08
1856,2.7956822634678247e-08
1857,2.6848299583548396e-08
1858,1.4191660291373864e-08
1859,4.277425702525761e-08
1860,3.020941363729435e-08
1861,3.678451676591976e-08
1862,2.4848924695675123e-08
1863,2.0477944673302773e-08
1864,2.4932585773740357e-08
1865,5.2245972881337366e-08
1866,2.8707116683790446e-08
1867,3.6396087921275466e-08
1868,1.9265508299781686e-08
1869,2.783605879130846e-08
1870,6.594156332084822e-08
1871,5.523012092112367e-08
1872,2.8422494580127022e-08
1873,4.968383748860106e-08
1874,3.7042575229406793e-08
1875,2.8607635371713513e-08
1876,3.3253080289341597e-08
1877,6.926993734168718e-08
1878,5.6163525385954927e-08
1879,2.016077260691418e-08
1880,4.043243251317108e-08
1881,9.343160201069622e-08
1882,5.923292789589141e-08
1883,4.2971503688704615e-08
1884,5.743476449993068e-08
1885,5.02759576193057e-08
1886,4.1947515683204983e-08
1887,6.202478175509896e-08
1888,5.07249175996094e-08
1889,5.951880055476977e-08
1890,4.3258950199742685e-08
1891,5.991766727220238e-08
1892,5.140180192597654e-08
1893,6.158416709922676e-08
1894,8.128985484745499e-08
1895,5.958428417329742e-08
1896,4.1279204054944785e-08
1897,5.884980680548324e-08
1898,7.469028417972368e-08
1899,8.401919160405669e-08
1900,5.087231969014283e-08
1901,7.377135347041985e-08
1902,6.579780631454923e-08
1903,6.264255603127822e-08
1904,6.987012568515638e-08
1905,6.347733716438597e-08
1906,1.0751345769222098e-07
1907,5.657127744029822e-08
1908,4.0764529529724314e-08
1909,7.646367095048845e-08
1910,6.840512867256621e-08
1911,5.107559175598908e-08
