year,tant_ADV appelé_VERB,tant_ADV rappelé_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,3.1329761895904085e-08,2.2378401354217203e-09
1803,5.851017448321727e-09,0.0
1804,9.887403784603066e-09,0.0
1805,1.421438877713399e-08,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,1.3554183553310395e-08,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,2.0239355080775567e-08,0.0
1818,5.960588467246453e-09,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,0.0
1821,9.86148829262845e-10,0.0
1822,3.0076847679083585e-09,0.0
1823,3.9530747564242574e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,0.0,0.0
1826,7.927186018719112e-09,0.0
1827,2.7651818612639545e-09,0.0
1828,9.172301251858528e-10,0.0
1829,0.0,8.57317605795771e-10
1830,1.0436835395921662e-08,0.0
1831,0.0,0.0
1832,2.705993873419743e-09,0.0
1833,0.0,0.0
1834,6.534171426153534e-09,1.120143711119681e-08
1835,2.2689263801112247e-09,7.563087933704082e-10
1836,8.064899859050456e-09,6.720750067579218e-10
1837,5.5663127440652715e-09,0.0
1838,0.0,0.0
1839,6.9914751765765e-10,0.0
1840,1.9109065441114126e-09,2.5478754661634184e-09
1841,1.8619591202195807e-08,6.420548537278137e-10
1842,0.0,6.708265054555795e-10
1843,5.906911071384968e-10,0.0
1844,9.879410178825765e-09,1.097712254427563e-09
1845,3.9061593959388574e-09,1.1160455892778032e-09
1846,2.3418005312692003e-09,0.0
1847,2.1572894581822766e-09,1.6179670936367074e-09
1848,8.84974404868899e-09,9.65426583121598e-09
1849,3.3517659758786067e-09,0.0
1850,0.0,1.3577992064028876e-09
1851,1.2898877521649865e-09,6.449438760824933e-10
1852,6.510545436100301e-10,6.510545436100301e-10
1853,4.777545470346922e-09,0.0
1854,1.0391328908454511e-09,1.0391328908454511e-09
1855,1.0613874223963649e-09,0.0
1856,9.318940286107136e-09,1.5531567143511893e-09
1857,7.322263684272912e-09,0.0
1858,1.0766087576996597e-08,9.787352039936081e-10
1859,1.2221216039165483e-08,0.0
1860,7.781213007262977e-09,2.746310290291376e-09
1861,1.5091083938045813e-08,4.715963730639317e-10
1862,4.9246050792817186e-08,4.517986262886353e-10
1863,1.1487627737949424e-08,9.989241656072068e-10
1864,1.0068928801842958e-08,0.0
1865,7.530950973944073e-09,0.0
1866,3.8924903300596725e-09,4.865612912574591e-10
1867,1.455843445796745e-08,4.367530337390235e-09
1868,1.4819622196071691e-09,1.4819622196071691e-09
1869,8.790334682373668e-09,1.4650557433881772e-09
1870,6.880858549607183e-09,0.0
1871,0.0,2.1242354542039266e-09
1872,1.5723081503438152e-08,1.2094678591978436e-09
1873,7.183205141814142e-09,5.986004469882289e-10
1874,3.5847653734322193e-09,5.974609140757536e-10
1875,6.865832347102696e-09,0.0
1876,3.627608879952504e-09,6.04601479992084e-10
1877,1.8554447978047506e-09,0.0
1878,6.039088673581716e-10,0.0
1879,1.0385853066452455e-08,0.0
1880,7.701415505323439e-09,6.417846254436199e-10
1881,4.8807553554297556e-09,0.0
1882,1.9966155395678697e-09,6.655385131892899e-10
1883,1.8958017378167824e-09,0.0
1884,1.9805090900604227e-09,1.3203393933736152e-09
1885,8.379326565943757e-09,6.445635691854079e-10
1886,2.5813855497602844e-09,0.0
1887,5.876032105334161e-09,0.0
1888,8.876860135842435e-09,0.0
1889,6.265136853755848e-09,0.0
1890,3.9326319978272295e-09,0.0
1891,1.9122659011827636e-09,1.9122659011827636e-09
1892,2.5074049503359674e-09,6.268512375839919e-10
1893,4.310891643655168e-09,0.0
1894,8.192000855444803e-09,0.0
1895,1.2037228991346183e-09,3.0093072478365457e-09
1896,9.435246361988447e-09,0.0
