year,veut_VERB égaler_VERB,veut_VERB régaler_VERB
1800,1.8864986461863964e-08,2.2009151834367913e-08
1801,2.6193007984787187e-08,2.3811825844433088e-09
1802,8.951360541686881e-09,0.0
1803,1.950339267864365e-08,1.950339223455444e-09
1804,1.730295728918918e-08,1.4831105232815389e-08
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,8.540865792383556e-09,0.0
1808,5.21197005554086e-08,6.798221985349073e-09
1809,9.036122072814123e-09,4.518061036407062e-09
1810,4.680253518074551e-09,7.020380277111826e-09
1811,2.5070767684098882e-09,1.504245972228091e-08
1812,5.067695729721322e-08,3.467370746079723e-08
1813,8.627224934443234e-09,5.751483289628823e-09
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,5.394447111228828e-09
1816,4.6352077731626196e-09,1.3905623319487859e-08
1817,2.80237220096069e-08,7.784366928831332e-09
1818,9.536941902865692e-09,3.5763532135746345e-09
1819,3.105315027340794e-08,7.24573512300708e-09
1820,1.3053129244156025e-08,1.779972080839798e-08
1821,1.2819934891439289e-08,9.861488514673056e-09
1822,1.804610860745015e-08,3.0076847679083585e-09
1823,9.882686669016039e-09,1.087095569118901e-08
1824,2.7789671008804362e-08,1.6000115010683658e-08
1825,0.0,2.1133063299316746e-08
1826,7.0463874735082754e-09,1.7615968683770689e-09
1827,1.013900075008678e-08,4.608636583469661e-09
1828,6.420610709767516e-09,1.8344602503717056e-09
1829,2.229025836131271e-08,6.858540846366168e-09
1830,1.0436835840010872e-08,1.0436835840010872e-09
1831,2.182768810143898e-08,1.5591206103948707e-09
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,1.505871738416431e-08,2.3167257001688313e-09
1834,6.534171870242744e-09,6.534171426153534e-09
1835,1.3613558280667348e-08,1.739510224751939e-08
1836,9.409050427677812e-09,6.72075017860152e-09
1837,6.2621018370734305e-09,5.5663127440652715e-09
1838,5.680945491803868e-09,6.943378316748294e-09
1839,2.0974426639952526e-09,6.9914751765765e-10
1840,2.547875410652267e-09,2.5478754661634184e-09
1841,3.2102742686390684e-09,1.2841097074556274e-09
1842,4.024959032733477e-09,1.341653010911159e-09
1843,5.906910960362666e-09,2.953455480181333e-09
1844,1.8661108325268572e-08,6.586273748609983e-09
1845,1.1160455892778032e-09,8.37034175305007e-09
1846,1.2294452567118697e-08,3.5127007969038004e-09
1847,1.0786447290911383e-09,1.0786447290911383e-09
1848,2.413566457803995e-09,1.6090443422100975e-09
1849,5.02764896381791e-09,1.6758829879393033e-09
1850,8.82569484161877e-09,1.425689166723032e-08
1851,4.514607354622058e-09,3.8696632564949596e-09
1852,4.557382027314816e-09,3.906327261660181e-09
1853,2.9859659189668264e-09,8.957897534855874e-09
1854,1.506742641765868e-08,8.313063126763609e-09
1855,2.2289135870323662e-08,1.5920811335945473e-09
1856,1.346069211649592e-08,4.141751386299575e-09
1857,1.6597130780837688e-08,3.905207268672939e-09
1858,1.3212924976357954e-08,1.468102750479261e-09
1859,1.5276519604867644e-08,5.092173349652285e-10
1860,5.034902272882391e-09,2.746310290291376e-09
1861,1.3676294763342867e-08,8.017138064531082e-09
1862,9.939570055905733e-09,1.3553959066214816e-09
1863,1.048870412745373e-08,4.994620717013731e-09
1864,6.233146443435089e-09,1.9178911792039344e-09
1865,5.1775286835642476e-09,1.4120533631256649e-09
1866,8.27154178484335e-09,2.432806400776144e-09
1867,1.4073153309368536e-08,7.279217228983725e-09
1868,9.87974813071446e-10,1.975949626142892e-09
1869,3.4184632902167778e-09,1.953407657850903e-09
1870,4.013834153937523e-09,1.6628741050794815e-08
1871,7.434824311758348e-09,1.805600113868877e-08
