year,veut_VERB acheter_VERB,veut_VERB racheter_VERB
1800,1.6664071722516383e-07,1.8864987794131594e-08
1801,1.2144030847593967e-07,2.8574191901498125e-08
1802,2.5958945570891956e-07,4.475680270843441e-09
1803,2.0478562134940148e-07,7.801356893821776e-09
1804,1.1864884186252311e-07,1.2359254952798437e-08
1805,7.107194477384837e-08,5.685755422035754e-09
1806,1.815451611264507e-07,3.458002950651462e-08
1807,8.54086508184082e-08,1.1387820464392462e-08
1808,1.0423940466353088e-07,2.945896149242344e-08
1809,9.03612189517844e-08,2.0331274441787173e-08
1810,1.9189039335287816e-07,2.106114038724627e-08
1811,1.5543875520052097e-07,1.7549536934780008e-08
1812,1.680341199516988e-07,1.0668832928217853e-08
1813,1.00650957790549e-07,1.1502966579257645e-08
1814,9.125363931161701e-08,2.5173417128598885e-08
1815,1.0249449644561537e-07,0.0
1816,1.0660977523002657e-07,3.9399267848239106e-08
1817,7.940054302935096e-08,2.490997452753163e-08
1818,9.179306914575136e-08,3.5763530803478716e-08
1819,2.3703904616922955e-07,6.210630232317271e-09
1820,1.1154492085552192e-07,2.1359666035891678e-08
1821,1.8046523564407835e-07,3.155676253641104e-08
1822,1.303330066093622e-07,3.0076847679083585e-08
1823,1.0475648082319822e-07,9.882686669016039e-09
1824,9.179012749882531e-08,2.189489300974401e-08
1825,9.421824387345623e-08,3.874394849390228e-08
1826,1.6030531924116076e-07,1.76159691278599e-08
1827,1.1798109511573784e-07,2.949527377893446e-08
1828,1.751909479708047e-07,4.953042775923677e-08
1829,1.3374155116707698e-07,1.457439946506156e-08
1830,1.6385831713705556e-07,1.0436835395921662e-08
1831,1.3096612860863388e-07,3.274153215215847e-08
1832,1.2853470821028168e-07,2.1647950987357945e-08
1833,1.5174553880115127e-07,1.1583628278799551e-08
1834,1.23215812664057e-07,2.14694217959277e-08
1835,1.4899282518854307e-07,2.193295500774184e-08
1836,1.0484369994401277e-07,1.2769425516978572e-08
1837,1.231546633562175e-07,3.5485243188304594e-08
1838,8.900148174006972e-08,2.4617431648721322e-08
1839,7.271134450093086e-08,2.4470162784950844e-08
1840,1.2739377552861697e-07,2.4204817705708592e-08
1841,1.4317822660814272e-07,1.219904177673925e-08
1842,1.2946951244430238e-07,1.2745703159566801e-08
1843,1.222730645622505e-07,1.8311423488626133e-08
1844,1.4489802424577647e-07,2.305195678786731e-08
1845,1.1439467328955288e-07,3.850357188639464e-08
1846,1.5865698799188976e-07,3.571245699163228e-08
1847,1.9092011882548832e-07,4.58424018745518e-08
1848,1.7458131651437725e-07,8.84974404868899e-09
1849,1.1982562853063428e-07,1.3407063903514427e-08
1850,1.3170652835015062e-07,2.1724787302446202e-08
1851,1.6639552313790773e-07,1.6768540334055615e-08
1852,1.2760669676481484e-07,2.669323606596663e-08
1853,1.5825619925635692e-07,2.149895550473957e-08
1854,1.413220758195166e-07,3.4810952342922974e-08
1855,1.2312094099797832e-07,4.4578271740647324e-08
1856,1.5117392138108698e-07,1.863788057221427e-08
1857,1.318007463169124e-07,2.9777204701986193e-08
1858,1.1989506276677275e-07,2.7893953813418193e-08
1859,1.3137807286511816e-07,2.800695320104296e-08
1860,1.620323075712804e-07,1.785101666484934e-08
1861,1.9665569084281742e-07,2.4994607272788016e-08
1862,1.4050937124920893e-07,3.298130124562704e-08
1863,1.2886121680821816e-07,2.0477944673302773e-08
1864,1.4240342238736048e-07,3.0206784629172034e-08
1865,1.214365852320043e-07,1.7886009118228685e-08
1866,1.0850316556343387e-07,1.556996132023869e-08
1867,1.4606962395191658e-07,1.6014277903764196e-08
1868,1.1361710505752853e-07,2.667531973088444e-08
1869,1.406453549179787e-07,3.027781758646597e-08
1870,9.919904186972417e-08,2.8670243068518175e-08
1871,9.346636176132961e-08,4.5671061599250606e-08
1872,1.1127104215802319e-07,1.814201766592305e-08
1873,1.2031868834583292e-07,2.5141218884527916e-08
1874,8.722929578652838e-08,2.3300975371398636e-08
1875,1.2873435650817555e-07,2.2313955128083762e-08
1876,1.0338685285660176e-07,2.1161051577678336e-08
1877,1.4225076938600978e-07,9.895705588292003e-09
1878,1.5278894238690555e-07,3.32149880932775e-08
1879,1.2279743089038675e-07,2.504823370941267e-08
1880,1.4055083852326788e-07,2.1820676820993867e-08
1881,1.220188892148144e-07,2.091752193678076e-08
1882,1.2046247377384134e-07,3.394246306243076e-08
1883,1.6303894767588645e-07,2.7805091562527195e-08
1884,1.0364664149165037e-07,2.2445769687351458e-08
1885,1.1473231609215873e-07,5.80107206715752e-09
1886,1.1745304107080301e-07,2.8395241713496944e-08
1887,1.0772725289598384e-07,2.4809914123125054e-08
1888,1.0652232873553658e-07,2.789870379160675e-08
1889,1.014952175637518e-07,3.069916942877171e-08
1890,1.415747448163529e-07,1.6385966361553983e-08
1891,9.115134957937698e-08,9.561330394092238e-09
1892,1.3038506097018399e-07,1.5044429702015805e-08
1893,1.348693245972754e-07,2.155445777418663e-08
1894,1.3359263562051638e-07,1.3233232287745977e-08
1895,1.3240952512205695e-07,2.5278181325916194e-08
1896,1.0024949403941719e-07,1.3563166589847242e-08
1897,1.2177831365534075e-07,2.7385553380554484e-08
1898,1.0581123888186994e-07,2.772593887812036e-08
1899,1.1386811138436315e-07,1.8241008703512307e-08
1900,9.551537516472308e-08,1.764958135197503e-08
1901,1.0395054061973497e-07,2.794369535763508e-08
1902,1.0409802086996933e-07,1.4239823542538943e-08
1903,8.370341220143018e-08,1.3500550899436803e-08
1904,1.0480518852773457e-07,1.6123875568041512e-08
1905,1.3005113430608617e-07,1.0837593933388234e-08
1906,1.2860461140462576e-07,2.82930141537463e-08
1907,1.0388543358885727e-07,3.291419758966185e-08
1908,1.434125636023964e-07,1.7189861978295085e-08
1909,8.251475236420447e-08,1.320236009405562e-08
1910,1.4268881898260588e-07,9.619471441624228e-09
1911,8.24657959697106e-08,1.755723388896513e-08
1912,8.282979990781314e-08,2.2921453179947093e-08
1913,9.545381374209683e-08,1.484837142129436e-08
1914,8.10305991194582e-08,2.678697441638178e-08
1915,1.0484878032457345e-07,2.238344798399794e-08
1916,1.0438088793307543e-07,7.69122365795738e-09
1917,1.3159709055798885e-07,5.483212106582869e-09
1918,1.1026921242773824e-07,1.2635013924011673e-08
1919,9.023691660559052e-08,1.3811772170413406e-08
1920,1.2342738386905694e-07,1.2115570768855832e-08
1921,1.347949023511319e-07,5.300923255902035e-09
1922,1.4386974100943917e-07,5.164555005876537e-09
1923,8.174279741979262e-08,1.0615948120573648e-08
1924,9.539802192648494e-08,1.2891624656674594e-08
1925,8.468597201272132e-08,7.698724324711748e-09
1926,1.092321539886143e-07,2.0063049888108253e-08
1927,1.1929670051813446e-07,1.5608915049369898e-08
1928,8.798051709391075e-08,3.085031252680892e-08
