year,peut_VERB approcher_VERB,peut_VERB rapprocher_VERB
1800,3.238489512114029e-07,1.9493819536364754e-07
1801,4.5956824124004925e-07,1.3096504858367553e-07
1802,4.296653060009703e-07,1.4098392853156838e-07
1803,3.3350801231790683e-07,1.7162984988772223e-07
1804,4.375176274606929e-07,1.7797326279378467e-07
1805,4.5770332235406386e-07,1.5635826855486812e-07
1806,4.437770542153885e-07,1.671368039524168e-07
1807,2.4768510797912313e-07,1.2811298688575334e-07
1808,2.9458962558237545e-07,1.246340701754889e-07
1809,3.5466780445858603e-07,1.7394535234416253e-07
1810,4.095221868283261e-07,2.433731935980177e-07
1811,4.3121721660099865e-07,1.4039629547824006e-07
1812,2.720552458868042e-07,2.3738152776786592e-07
1813,2.444380413635372e-07,2.2718359105056152e-07
1814,1.6677388714469998e-07,2.4858749725353846e-07
1815,2.508417935587204e-07,3.182723844474822e-07
1816,3.1055893146003655e-07,1.7845549393769033e-07
1817,2.9113533628333244e-07,2.3041727104100573e-07
1818,3.7909344996478467e-07,2.1815755246734625e-07
1819,3.126017134036374e-07,1.418093802385556e-07
1820,2.966620229472028e-07,1.9461029410194897e-07
1821,2.3470342114251252e-07,1.962436186886407e-07
1822,3.258325023125508e-07,1.303330066093622e-07
1823,2.3421968364800705e-07,1.680056840314137e-07
1824,2.762124893251894e-07,1.9958037000833428e-07
1825,2.218971673073611e-07,1.9107811510821193e-07
1826,2.571931361217139e-07,1.8232528020689642e-07
1827,1.7512819283638237e-07,1.43789463891153e-07
1828,1.5684635457091645e-07,1.9720447141935438e-07
1829,2.6062454594466544e-07,1.8003669310928672e-07
1830,3.652892530681129e-07,1.6594569274275273e-07
1831,2.728461083734146e-07,2.447819440476451e-07
1832,2.408334580650262e-07,3.396022236756835e-07
1833,2.536814633913309e-07,2.1429713115139748e-07
1834,1.960251552191039e-07,1.0361329572106115e-07
1835,2.4731298253755085e-07,2.0420337421001022e-07
1836,3.367095757766947e-07,1.848206210297576e-07
1837,2.470051185810007e-07,1.871672594688789e-07
1838,2.745790368408052e-07,1.881024189742675e-07
1839,2.055493695252153e-07,1.99257044641854e-07
1840,2.2612394445786776e-07,1.6688584025814635e-07
1841,2.0481549256601284e-07,2.2536124788530287e-07
1842,2.421683689135534e-07,1.9655216476621717e-07
1843,1.9374668625005143e-07,1.783887171313836e-07
1844,2.1624931889618892e-07,1.9429506892265636e-07
1845,1.8358950626407022e-07,1.5680440412779717e-07
1846,2.013948403600807e-07,2.2656919895780447e-07
1847,1.396844879764103e-07,2.362232010000298e-07
1848,1.689496542667257e-07,2.1078480472169758e-07
1849,1.4831564953965426e-07,2.2456832482475875e-07
1850,1.792294881397538e-07,1.7651389327966172e-07
1851,1.9412810559060745e-07,2.154112479502146e-07
1852,1.738315660304579e-07,2.0247796328476397e-07
1853,2.191699053355478e-07,2.950134216916922e-07
1854,1.9639611537058954e-07,2.2029617241514643e-07
1855,2.1811511885516666e-07,1.9741806056572386e-07
1856,2.4539878040741314e-07,2.205482587669394e-07
1857,1.894025558613066e-07,2.889853476517601e-07
1858,1.6785308787348185e-07,2.833438372817909e-07
1859,1.2679511485202966e-07,2.953460409571562e-07
1860,1.5425109722855268e-07,2.764619182471506e-07
1861,2.0703080849671096e-07,4.0981726101563254e-07
1862,2.2996549375875475e-07,3.167108388879569e-07
1863,1.803058182758832e-07,3.046718575205887e-07
1864,1.740486226253779e-07,2.7186106876797567e-07
1865,1.7650665995461168e-07,3.1159308377937123e-07
1866,2.0143637868841324e-07,4.500691943576385e-07
1867,1.8586267458431394e-07,3.9598941725671466e-07
1868,1.7536552832098096e-07,4.119854963846592e-07
1869,1.4601722853058163e-07,5.02514126310416e-07
1870,1.7087465664644697e-07,3.945025639495725e-07
1871,1.7206306779371516e-07,2.772127345451736e-07
1872,1.4634561296134052e-07,4.94067592171632e-07
1873,1.2869909937762714e-07,5.297613938637369e-07
1874,1.4518300872623513e-07,5.072442945674993e-07
