year,pouvait_VERB assembler_VERB,pouvait_VERB rassembler_VERB
1800,0.0,9.432493897065797e-09
1801,0.0,1.1905912700171939e-08
1802,2.2378401354217203e-09,2.4616241489638924e-08
1803,7.801356671777171e-09,3.705644502360883e-08
1804,0.0,3.707776485839531e-08
1805,0.0,8.528632911009026e-09
1806,0.0,4.034336598124355e-08
1807,5.693910232196231e-09,5.4092147649953404e-08
1808,6.798221985349073e-09,1.8128591960930862e-08
1809,0.0,9.036122072814123e-09
1810,7.020380277111826e-09,1.4040760554223652e-08
1811,0.0,3.008491944456182e-08
1812,1.0668832928217853e-08,5.3344166417446104e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,2.8320094713762956e-08,3.1466772298927026e-08
1815,2.4275012222574333e-08,2.4275012222574333e-08
1816,2.3176038865813098e-09,3.244645441213834e-08
1817,1.0898113522728181e-08,7.472992535895173e-08
1818,2.6226590676969863e-08,7.510341504257667e-08
1819,8.280840013696888e-09,7.970308502081025e-08
1820,2.0173018810965004e-08,5.814575843032799e-08
1821,4.930744257336528e-09,8.875339574387908e-08
1822,1.303330066093622e-08,7.619468078701175e-08
1823,9.882686669016039e-09,5.5343047478118024e-08
1824,8.421112696055388e-10,5.3053010873327366e-08
1825,9.68598712347557e-09,7.308517524506897e-08
1826,1.76159691278599e-08,6.958307352533666e-08
1827,1.8434546333878643e-08,4.424290978022327e-08
1828,1.559291185060374e-08,5.77854990524429e-08
1829,8.57317605795771e-10,2.0575622983187714e-08
1830,2.0873671680021744e-09,5.740259823028282e-08
1831,4.677361609140007e-09,6.860130952190957e-08
1832,4.058990921151917e-09,3.6530916958099624e-08
1833,1.9692167896323554e-08,5.21263281427764e-08
1834,1.6802156110884425e-08,7.934351486937885e-08
1835,1.4369867074037757e-08,5.7479468296151026e-08
1836,2.2178475223011418e-08,6.787957573806125e-08
1837,1.3219992989199625e-08,4.731365876864402e-08
1838,1.5780404538645598e-08,7.827080850120183e-08
1839,5.5931801412612e-09,6.432156851587933e-08
1840,1.3376345808779888e-08,6.305991462340899e-08
1841,1.3483152372373297e-08,6.741576186186649e-08
1842,1.1404051036834062e-08,7.513256861102491e-08
1843,1.2404512972352677e-08,3.839492279666956e-08
1844,3.0735943568060975e-08,3.512679214168202e-08
1845,7.254296274794569e-09,3.459741293454499e-08
1846,1.3465353276842507e-08,3.33706573485415e-08
1847,2.6966118227278457e-09,1.7258315665458213e-08
1848,2.091757700384278e-08,4.666228647920434e-08
1849,1.6758829879393033e-09,3.9383248662261394e-08
1850,5.431196825611551e-09,1.3577992064028876e-08
1851,5.159551008659946e-09,2.0638204034639784e-08
1852,6.510545436100301e-10,3.2552727180501506e-09
1853,6.569125021727018e-09,5.01642283268211e-08
1854,7.27393034694046e-09,2.7537021551893304e-08
1855,7.429711956774554e-09,2.4411910715116392e-08
1856,0.0,1.2942972915652717e-08
1857,1.3668225884444496e-08,4.637433548282388e-08
1858,5.3830437884982985e-09,3.327699715782728e-08
1859,1.323965115318515e-08,4.1755821911237945e-08
1860,5.950338888283113e-09,2.5174511364411956e-08
1861,7.073945429425521e-09,2.0278644541349422e-08
1862,4.517986429419807e-09,2.891511208247266e-08
1863,9.989241434027463e-09,2.6471489888990618e-08
1864,3.3563094525845827e-09,1.4384183621984903e-08
1865,2.3534221238463715e-09,3.9066808454890634e-08
1866,1.0704348518686402e-08,2.6760870852626795e-08
1867,8.73506067478047e-09,2.4749338578544666e-08
1868,4.939874287401835e-09,2.0747471296544973e-08
1869,7.813630631403612e-09,1.1720445947105418e-08
1870,8.027668307875047e-09,2.9243649279919737e-08
1871,1.0621177271019633e-09,2.6552942955504477e-08
1872,1.3908880269752899e-08,1.6327815544059376e-08
1873,2.3944017324417644e-09,3.352162636360845e-08
1874,0.0,1.9118749250424116e-08
1875,8.58229043387837e-09,1.7736734747586524e-08
1876,4.836811839936672e-09,2.2974855795609983e-08
1877,1.2369631985365004e-09,2.968711676487601e-08
1878,1.0266450800600069e-08,2.4760263173106978e-08
1879,6.720257683667796e-09,1.8938909107646396e-08
1880,1.9253538763308597e-09,2.8238524407697696e-08
1881,2.091752326904839e-09,2.370652651961791e-08
1882,3.3276925659464496e-09,1.1979693681496428e-08
1883,1.8958017378167824e-09,3.6020232130340446e-08
1884,6.601696966868076e-10,2.772712726084592e-08
1885,1.2891271383708158e-09,2.5782542323327107e-08
1886,7.098810428374236e-09,1.5488312854472497e-08
1887,1.3057849246322917e-09,1.6322312390570914e-08
1888,8.242799331981132e-09,1.014498351992188e-08
1889,6.265136742733546e-10,1.6915869593958632e-08
1890,1.3108772956016423e-09,1.6385966361553983e-08
1891,8.92390783491237e-09,1.784781566982474e-08
1892,3.761107425503951e-09,1.1283322720601063e-08
1893,7.390100087434348e-09,1.539604177480669e-08
1894,1.2603078580752936e-08,5.041231432301174e-09
1895,6.018614495673091e-10,1.5046536461227333e-08
1896,1.1794058174530164e-08,1.2383760683576384e-08
1897,2.9133566670225264e-09,1.1653426668090106e-08
1898,1.6975064687230201e-09,4.52668391659472e-09
1899,8.844125432005967e-09,1.326618814800895e-08
1900,5.19105292084987e-09,1.453494924419374e-08
1901,2.794369402536745e-09,1.7883964531506535e-08
1902,4.910283846193408e-10,1.0802624572647801e-08
1903,5.400220270956879e-10,6.480264325148255e-09
1904,3.2247751136083025e-09,8.599400302955473e-09
1905,6.192911072844254e-09,1.2385822145688508e-08
1906,4.115347618238729e-09,9.259531807970234e-09
1907,1.5428529565042481e-09,1.491424583832668e-08
1908,4.4202501658929805e-09,1.6698722404839828e-08
1909,2.2003934230241384e-09,2.3104130164597336e-08
1910,2.137660271017694e-09,5.878565634276356e-09
1911,1.5961122423746588e-09,8.51259862599818e-09
1912,5.209421227725386e-10,1.4586379215586476e-08
1913,5.302989602995467e-09,1.7499866444836698e-08
1914,0.0,1.4063162190325329e-08
1915,0.0,1.4136913861761968e-08
1916,1.538244731591476e-08,3.2962386153911893e-09
1917,2.1932848870420685e-09,1.0966424213165737e-08
1918,1.1486376294556067e-09,1.722956355365568e-08
1919,0.0,2.025726608678724e-08
1920,7.572231730534895e-10,1.514446346106979e-08
1921,1.5145494858259667e-09,1.438822039290244e-08
1922,1.4755870969551665e-09,1.623145884366295e-08
1923,3.1847844361720945e-09,8.492758496458919e-09
1924,0.0,1.0313299547703991e-08
1925,0.0,2.0896537833436923e-08
1926,0.0,1.1146138456652466e-09
1927,3.3447675740205796e-09,1.2264147031260109e-08
1928,4.570416489713125e-09,2.170947865920425e-08
1929,0.0,2.0052731031228177e-08
1930,8.402882833991043e-09,1.7856125467119455e-08
1931,1.1405356659111021e-09,1.9389105432310316e-08
1932,8.767629400274757e-09,1.753525857850491e-08
1933,0.0,2.064719240024715e-08
1934,2.3963160344919743e-09,1.7972370258689807e-08
1935,0.0,1.3165112555668657e-08
1936,2.424942913137329e-09,1.576212937948185e-08
1937,0.0,2.2664012888640173e-08
1938,1.2965214457594243e-09,2.3337385357535823e-08
1939,3.058810094103137e-09,1.6823456405745674e-08
1940,0.0,7.607348528892999e-09
1941,0.0,1.4757512545315876e-08
1942,3.034211770724937e-09,1.8205270180260413e-08
1943,8.709705845433291e-09,4.645176332473966e-08
1944,0.0,2.2492303131116387e-08
1945,0.0,3.0499055725385915e-08
1946,0.0,1.5313215584455975e-08
1947,4.7683483828109274e-09,1.3112957830685446e-08
1948,3.2615663503321457e-09,2.174377655705939e-08
1949,1.9634016634739737e-09,2.1597418964347526e-08
1950,5.317680518146517e-09,2.5524867552917385e-08
1951,5.330700769690111e-09,3.3050344683260846e-08
1952,1.5817205323287453e-08,2.8470971358274255e-08
1953,1.0773827385790469e-09,1.4005975934594517e-08
1954,3.9090144454689835e-09,1.172704333640695e-08
1955,3.754243138587299e-09,1.783265446420046e-08
1956,1.744228317335228e-09,2.0058624983221307e-08
1957,8.835037701437898e-10,2.1204090927540165e-08
1958,2.481673033738474e-09,1.4062814024384807e-08
1959,1.5501495642666896e-09,1.3176271629333769e-08
1960,4.152500121534786e-09,2.2838749558218296e-08
1961,4.1688955620955426e-09,2.640300600376122e-08
1962,3.805173953708163e-09,3.6783347923119436e-08
1963,3.879631949033069e-09,2.0044765847160306e-08
1964,2.4335873316516654e-09,2.251068309533366e-08
1965,3.830430417295361e-09,2.0793764932136583e-08
1966,3.3234448526542337e-09,2.437192847537517e-08
1967,1.9721342336964653e-09,1.7749208325312793e-08
1968,4.491415683816058e-09,2.6050212653672133e-08
1969,1.3625273131978588e-09,1.2716921737876419e-08
1970,9.197450023812337e-10,1.839489982558007e-08
1971,1.0276794970565106e-09,1.849823050292798e-08
1972,1.5390440033513642e-09,2.1546616935097518e-08
1973,3.3079223804577396e-09,1.9847533394568018e-08
1974,0.0,1.6314157136321228e-08
1975,3.998036124386317e-09,1.6563292959403952e-08
1976,2.856763492431469e-09,2.285410793945175e-08
1977,2.3507127355770763e-09,1.9981058585472056e-08
1978,2.3762365408686037e-09,2.4356424432880885e-08
1979,2.3407893401383717e-09,1.6970723493159312e-08
1980,5.685150683554241e-10,1.9329512213062117e-08
1981,6.325549528618524e-10,2.0241758491579276e-08
1982,5.586751949948621e-09,2.855450986771757e-08
