year,ait_VERB empli_VERB,ait_VERB rempli_VERB
1800,0.0,1.131899196593622e-07
1801,0.0,1.5953922627431893e-07
1802,0.0,1.432217686669901e-07
1803,0.0,9.361627917314763e-08
1804,0.0,1.5325475999361515e-07
1805,0.0,2.6154475563089363e-07
1806,0.0,1.9595350408962986e-07
1807,0.0,1.537355700520493e-07
1808,0.0,1.9261628381173068e-07
1809,0.0,2.643065784013743e-07
1810,0.0,1.0764583180389309e-07
1811,1.7549536934780008e-08,9.27618373225414e-08
1812,2.6672082320544632e-09,2.5871921138787e-07
1813,0.0,2.6169249167651287e-07
1814,0.0,1.541871768040437e-07
1815,0.0,2.535390137836657e-07
1816,0.0,2.109019590079697e-07
1817,0.0,1.8059731132780144e-07
1818,0.0,1.1325118265403944e-07
1819,7.24573512300708e-09,1.0868602373648173e-07
1820,0.0,9.374520004712394e-08
1821,0.0,1.1340711836282935e-07
1822,3.0076847679083585e-09,1.523893615740235e-07
1823,9.882686891060644e-10,1.353928098524193e-07
1824,8.421112696055388e-10,1.3726413783388125e-07
1825,8.805443041381977e-10,1.1447075820569808e-07
1826,2.642395191543301e-09,1.2155018680459762e-07
1827,0.0,2.239797396441645e-07
1828,2.7516904310687096e-09,2.054595427125605e-07
1829,0.0,1.5345985104886495e-07
1830,0.0,2.066493465235908e-07
1831,0.0,9.198811312671751e-08
1832,0.0,1.6371262745451531e-07
1833,0.0,8.68772147555319e-08
1834,0.0,1.540197587246439e-07
1835,0.0,1.777325735474733e-07
1836,0.0,1.209734961094e-07
1837,6.957890930081589e-10,1.029767844329399e-07
1838,0.0,9.72072911054056e-08
1839,0.0,1.1955422962728335e-07
1840,0.0,1.356743695168916e-07
1841,0.0,1.2905302071430924e-07
1842,1.542900918138912e-08,1.4758182942387066e-07
1843,0.0,8.505951853976512e-08
1844,5.488561272137815e-10,1.1745520822614708e-07
1845,0.0,1.4564395200977742e-07
1846,0.0,1.364098807243863e-07
1847,0.0,1.2296550266910344e-07
1848,2.413566457803995e-09,1.3194163273055892e-07
1849,0.0,1.6339859598701878e-07
1850,6.788996032014438e-09,1.2763312895458512e-07
1851,1.2898877521649865e-09,1.289887734401418e-07
1852,0.0,1.1718982051434068e-07
1853,1.1943863675867306e-09,7.644072752555076e-08
1854,0.0,1.6314386641624878e-07
1855,0.0,1.1197637661553017e-07
1856,5.177189232874468e-10,1.0043746812016252e-07
1857,7.322263684272912e-09,9.030792114117503e-08
1858,4.893676019968041e-10,1.487677536715637e-07
1859,1.5276520048956854e-09,1.2832276752305916e-07
1860,0.0,1.263302777942954e-07
1861,0.0,1.0186481347318477e-07
1862,0.0,1.18371239921089e-07
1863,1.4983863039219614e-09,1.1537574096109893e-07
1864,0.0,1.433623708635423e-07
1865,4.706844358715045e-10,1.1343495032178907e-07
1866,1.4596839292835284e-09,1.2893873702068959e-07
1867,1.455843445796745e-09,9.317398053099168e-08
1868,0.0,1.0225539170960474e-07
1869,6.348574999037737e-09,1.1866951865613373e-07
1870,0.0,1.037862844555093e-07
1871,1.4869648623516696e-08,8.390730243945654e-08
1872,6.047339295989218e-10,1.1187577797500126e-07
1873,5.986004469882289e-10,1.1433268554128517e-07
1874,0.0,8.424198938428162e-08
1875,5.721527140956084e-10,9.669381029198121e-08
1876,8.464420275799966e-09,9.975924086802479e-08
1877,3.710889595609501e-09,1.1812998224058902e-07
1878,0.0,1.020605964185961e-07
1879,3.0546627449723474e-09,9.408361023588441e-08
1880,6.417846254436199e-10,1.3220763150911807e-07
1881,6.972507571312292e-10,1.0737661426674094e-07
1882,0.0,1.2312462160934956e-07
1883,6.319338941018771e-10,1.1248422993048734e-07
1884,3.9610181801208455e-09,7.723985362417807e-08
1885,1.2891271383708158e-09,8.37932674357944e-08
1886,1.2906927748801422e-09,8.970314979706018e-08
1887,0.0,1.1882642780847164e-07
1888,1.268122939990235e-09,9.257297506337636e-08
1889,6.265136853755848e-09,1.0901337788027377e-07
1890,6.554386478008212e-10,8.979509402706753e-08
1891,0.0,8.159001652074949e-08
1892,5.641661360300532e-09,8.337121215618026e-08
1893,6.158416554491453e-10,1.3425348299733741e-07
1894,0.0,8.759139547009909e-08
1895,0.0,6.861220214204877e-08
1896,1.7691086373616827e-09,1.1558176993275993e-07
1897,0.0,9.381008680975356e-08
1898,2.8291773368493978e-09,8.827033326497258e-08
1899,5.527578395003729e-10,7.296403481404923e-08
1900,5.191053142894475e-10,9.240074660965547e-08
1901,2.235495566438317e-09,7.936009183140413e-08
1902,1.4730852093691738e-09,1.0508007619591808e-07
1903,3.7801539676252105e-09,1.0584431464621957e-07
1904,5.374625189347171e-10,8.06193796165644e-08
1905,4.1286072338664326e-09,8.412037288962892e-08
1906,3.600929110447737e-09,8.642229687438885e-08
1907,0.0,7.86855025580735e-08
1908,4.911389073214423e-09,6.925058926299243e-08
1909,0.0,7.756386821711203e-08
1910,0.0,6.41298072423524e-08
1911,2.128149656499545e-09,9.044636328781053e-08
1912,0.0,8.803922213473925e-08
1913,1.060597942803554e-09,8.802962980780649e-08
1914,0.0,7.232483056895944e-08
1915,5.890381071793627e-09,3.887651445211304e-08
1916,4.394984820521586e-09,5.8233549538044826e-08
