year,auraient_VERB ajouté_VERB,auraient_VERB rajouté_VERB
1800,4.087413785214267e-08,0.0
1801,7.143547975374531e-09,0.0
1802,2.4616241489638924e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,4.2021465418429216e-08,0.0
1805,5.685755422035754e-09,0.0
1806,8.645007376628655e-09,0.0
1807,5.693910054560547e-08,0.0
1808,4.305540457494317e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,4.262030373070047e-08,0.0
1812,6.934741492159446e-08,0.0
1813,5.463909147351842e-08,0.0
1814,7.552024783308298e-08,0.0
1815,1.1598061178119679e-07,0.0
1816,5.0987285504788815e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,5.2453181353939726e-08,0.0
1819,1.9666995143552413e-08,0.0
1820,6.645229433388522e-08,0.0
1821,7.790576006527772e-08,0.0
1822,2.2056354964661296e-08,0.0
1823,2.668325471688604e-08,0.0
1824,1.7684335773537896e-08,0.0
1825,3.169959583715354e-08,0.0
1826,2.8185549894033102e-08,0.0
1827,3.410390903013649e-08,0.0
1828,4.035812395386529e-08,0.0
1829,3.772197487705853e-08,0.0
1830,3.339787468803479e-08,0.0
1831,4.677361786775691e-08,0.0
1832,3.6530916958099624e-08,0.0
1833,1.6217079235048004e-08,0.0
1834,2.6136685704614138e-08,0.0
1835,2.117664621437143e-08,0.0
1836,6.51912728244497e-08,0.0
1837,5.4967337348443834e-08,0.0
1838,4.5447563934430946e-08,0.0
1839,3.425822825420255e-08,0.0
1840,4.58617570586739e-08,0.0
1841,4.55858959469424e-08,0.0
1842,3.4882980060046975e-08,0.0
1843,4.902736350231862e-08,0.0
1844,1.975882035765153e-08,0.0
1845,3.738752596404993e-08,0.0
1846,2.8101606375230404e-08,0.0
1847,2.588747349818732e-08,0.0
1848,3.942158599556933e-08,0.0
1849,2.011059585527164e-08,0.0
1850,6.042206734946376e-08,0.0
1851,2.902247508984601e-08,0.0
1852,5.468858077506411e-08,0.0
1853,4.120633079196523e-08,0.0
1854,3.4810952342922974e-08,0.0
