year,veulent_VERB abattre_VERB,veulent_VERB rabattre_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,2.9255089017965474e-08,5.851017448321727e-09
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,3.6257183921861724e-08,0.0
1809,1.129515236897305e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,1.504245972228091e-08,0.0
1812,0.0,1.3336041604361526e-08
1813,0.0,0.0
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,7.784366928831332e-09,0.0
1818,2.1458118837358597e-08,0.0
1819,1.2421260464634543e-08,0.0
1820,2.3732962262101864e-08,0.0
1821,9.861488514673056e-09,0.0
1822,0.0,0.0
1823,6.917880934764753e-09,0.0
1824,2.947389532437228e-08,0.0
1825,8.805443041381977e-10,0.0
1826,2.3781558056157337e-08,0.0
1827,2.1199728195142598e-08,0.0
1828,1.4675682002973645e-08,0.0
1829,6.001223074036943e-09,0.0
1830,1.878630406793036e-08,0.0
1831,9.354723218280014e-09,0.0
1832,2.570694235259907e-08,0.0
1833,3.4750886612755494e-09,0.0
1834,7.467624740797874e-09,0.0
1835,2.2689263801112247e-08,0.0
1836,1.68018754465038e-08,0.0
1837,4.87052354003481e-09,0.0
1838,1.199310784016916e-08,0.0
1839,8.38977065598101e-09,0.0
1840,1.7198159341091923e-08,0.0
1841,8.988767952189392e-09,0.0
1842,1.7441490030023488e-08,0.0
1843,1.4176587015413133e-08,1.7720733769266417e-09
1844,1.920996517412732e-08,0.0
1845,8.928364714222425e-09,1.1160455892778032e-09
1846,7.610851504580296e-09,0.0
1847,9.168480197274675e-09,0.0
1848,1.528592186161859e-08,0.0
1849,2.4300303991253713e-08,0.0
1850,2.2403686017469226e-08,0.0
1851,1.0319102017319892e-08,0.0
1852,9.765818376195057e-09,0.0
1853,1.4929829816878737e-08,0.0
1854,1.506742641765868e-08,0.0
1855,6.8990182455763716e-09,0.0
1856,1.0354378465748937e-09,0.0
1857,1.7085282522089074e-08,4.881509085841174e-10
1858,1.0766087576996597e-08,9.787352039936081e-10
1859,1.018434669930457e-08,0.0
1860,1.2358396972445007e-08,0.0
1861,1.3204698667834691e-08,0.0
1862,8.584174260306554e-09,0.0
1863,1.1487627737949424e-08,0.0
1864,6.712618905169165e-09,0.0
1865,9.88437331983505e-09,0.0
1866,2.919367858567057e-09,0.0
1867,9.220341823379385e-09,4.85281148598915e-10
1868,4.44588676984381e-09,4.93987406535723e-10
1869,1.4162205630441349e-08,0.0
1870,1.0894693147633916e-08,1.1468097582678638e-09
1871,9.559059321873065e-09,0.0
1872,1.3304146229131675e-08,0.0
1873,3.591602570907071e-09,0.0
1874,1.7923826867161097e-09,0.0
1875,5.721527251978387e-09,0.0
1876,3.627608879952504e-09,0.0
1877,1.2369631985365004e-09,0.0
1878,4.22736201599605e-09,0.0
1879,1.221865053580018e-09,0.0
1880,3.2089231272180996e-09,0.0
1881,7.669758161910067e-09,0.0
1882,1.7304001787010748e-08,0.0
1883,3.791603475633565e-09,0.0
1884,4.621187876807653e-09,0.0
1885,1.2246707647989297e-08,6.445635691854079e-10
1886,1.097088819790315e-08,0.0
1887,7.834709769838355e-09,0.0
1888,6.974675947901687e-09,0.0
1889,5.6386229019267375e-09,0.0
1890,6.554386366985909e-09,0.0
1891,8.286486163910922e-09,0.0
1892,6.268512375839919e-10,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,9.629783193076946e-09,0.0
1896,6.486732040400511e-09,1.7691086373616827e-09
1897,1.0488084178916779e-08,0.0
1898,1.6975064687230201e-09,0.0
1899,4.9748205555033564e-09,0.0
