year,devront_VERB entrer_VERB,devront_VERB rentrer_VERB
1800,6.288328791015374e-08,1.2576657937302116e-08
1801,3.5717739876872656e-08,2.3811825844433088e-09
1802,3.3567602031325805e-08,1.1189200677108602e-08
1803,2.3404069793286908e-08,7.801356893821776e-09
1804,4.943701981119375e-08,0.0
1805,1.1371511021707192e-07,2.842877711017877e-09
1806,1.4120178093435243e-07,5.187004603612877e-08
1807,3.9857372513552036e-08,2.8469551160981155e-09
1808,9.290903335568146e-08,1.8128591960930862e-08
1809,8.132509776714869e-08,6.7770917766551975e-09
1810,2.106114038724627e-08,9.360507036149102e-09
1811,1.2033967777824728e-07,5.0141535368197765e-09
1812,6.401299401659344e-08,1.3336041604361526e-08
1813,5.7514832008109806e-08,1.1502966579257645e-08
1814,4.405347908686963e-08,3.776012391654149e-08
1815,1.2676950689183286e-07,2.697223555614414e-09
1816,8.343373991692715e-08,4.6352077731626196e-09
1817,5.293369653713853e-08,7.784366928831332e-09
1818,8.583247534943439e-08,1.0729059418679299e-08
1819,8.487860725381324e-08,6.210630232317271e-09
1820,3.797273961936298e-08,1.6613073583471305e-08
1821,7.396116075142345e-08,1.0847637454958203e-08
1822,4.0102463572111446e-08,3.0076847679083585e-09
1823,2.075364236020505e-08,1.1859224713361982e-08
1824,5.642145595174952e-08,1.0105335235266466e-08
1825,5.107157008410468e-08,2.553578504205234e-08
1826,1.0481501533377013e-07,1.5854372037438225e-08
1827,6.175572764277604e-08,9.217273166939322e-09
1828,1.7427371545863934e-08,1.9261833017480967e-08
1829,5.401101077495696e-08,5.143905745796928e-09
1830,7.827626546941246e-08,1.0436835395921662e-08
1831,4.677361786775691e-08,1.5591206548037917e-08
1832,5.953186388296672e-08,8.117981842303834e-09
1833,7.29768601104297e-08,1.50587169400751e-08
1834,5.600718466780563e-08,8.401078055442213e-09
1835,8.470658485748572e-08,1.4369867074037757e-08
1836,1.0417162599196672e-07,7.392825018825988e-09
1837,5.218418053232199e-08,9.045257876039159e-09
1838,4.3553917805638775e-08,1.830527018853445e-08
1839,6.641901251214222e-08,1.3283802502428443e-08
1840,5.6690229399691816e-08,2.4204817705708592e-08
1841,7.191014361751513e-08,1.0914932957462042e-08
1842,4.8970335342346516e-08,1.8783142152756227e-08
1843,4.548321541619771e-08,2.4809025944705354e-08
1844,5.2141331252641976e-08,1.3172547497219966e-08
1845,5.747634901354104e-08,1.3950569588416784e-08
1846,5.21050615986951e-08,1.1123552745573306e-08
1847,6.47186837454683e-08,2.8044762956369595e-08
1848,3.620349886546137e-08,1.930853166243196e-08
1849,7.792856138166826e-08,1.1731181359664333e-08
1850,4.8880771430503955e-08,6.788996032014438e-09
1851,3.5471913406581734e-08,1.2898877521649865e-08
1852,7.942865209997763e-08,2.929745512858517e-08
1853,4.359510086260343e-08,2.448492075757258e-08
1854,3.844791862661623e-08,1.0910895298366086e-08
1855,3.131092896069276e-08,1.0613874223963649e-08
1856,5.7466799319172424e-08,5.177189343896771e-09
1857,3.368241152656992e-08,1.9037885934380938e-08
1858,5.3830436996804565e-08,9.297984604472731e-09
1859,1.7313389832906978e-08,2.7497735644033128e-08
1860,5.5841642421228244e-08,4.119465657481669e-09
1861,3.772770895693611e-08,3.3011746669586728e-09
1862,2.801151488540654e-08,1.9427341513278407e-08
1863,3.346395871517416e-08,1.2486552236623538e-08
1864,2.3973639073915365e-08,1.6302074357099627e-08
1865,4.8009813014004976e-08,6.589582213223366e-09
1866,4.135770836910524e-08,9.244664589402873e-09
1867,2.2808213984149006e-08,2.2808213984149006e-08
1868,3.457912001181285e-08,9.385760613156435e-09
1869,2.6371003158942585e-08,7.813630631403612e-09
1870,2.3509599600401998e-08,1.204150201772336e-08
1871,5.098165090089424e-08,1.911811864374613e-08
1872,5.442605299776915e-08,1.0885210954825197e-08
1873,2.7535620006347017e-08,2.1549615425442425e-08
1874,4.421210775262807e-08,1.9716210886144836e-08
1875,2.7463329388410784e-08,1.0870901512305409e-08
1876,3.929909553335165e-08,1.4510435519810017e-08
1877,4.762308236649915e-08,1.0514186854493346e-08
1878,6.2202616391005e-08,2.294853729267743e-08
1879,4.093248051617593e-08,1.4051448005147904e-08
1880,5.776061584583658e-08,1.7328185109022343e-08
1881,5.2293806618308736e-08,6.2752567586699115e-09
1882,7.320923600673268e-08,3.9932310791357395e-09
1883,3.4124429504345244e-08,1.1374810426900694e-08
1884,4.7532218161450146e-08,4.621187876807653e-09
1885,4.447488777259423e-08,7.7347630522695e-09
1886,4.5174246565693466e-08,7.098810428374236e-09
1887,4.243801043912754e-08,1.6322312390570914e-08
1888,5.07249175996094e-08,1.3315291091942072e-08
1889,5.137412273370501e-08,2.255449160770695e-08
1890,6.88210590737981e-08,1.9007721618891082e-08
1891,4.0157587477551715e-08,1.3385862196457765e-08
1892,6.080456671497814e-08,1.3790726782758611e-08
1893,2.9560400349737392e-08,3.387129154930335e-08
1894,4.222031435574536e-08,1.071261657159539e-08
1895,4.8750777636996645e-08,1.9259566386153892e-08
1896,4.0689499769541726e-08,1.6511680911435178e-08
1897,2.680288169187861e-08,4.7196380137393135e-08
1898,5.714938566825367e-08,2.8291774256672397e-08
1899,3.924580482816964e-08,1.2160672469008205e-08
1900,5.3467847038746186e-08,2.8550791952852705e-08
1901,4.079779358789892e-08,2.0119459875900247e-08
1902,5.008489623037349e-08,1.816805017540446e-08
1903,5.238213773850475e-08,1.5660639007819555e-08
1904,4.8909090111237674e-08,2.418581246388385e-08
1905,6.347733716438597e-08,2.2191263937543226e-08
1906,4.2696733260072506e-08,1.5432553013283723e-08
1907,5.657127744029822e-08,2.262851062084792e-08
1908,3.3397444809679655e-08,2.9959473124563374e-08
1909,5.941062397596397e-08,2.9705311987981986e-08
1910,4.0615546481603815e-08,1.8170112525695004e-08
1911,3.8838731342139e-08,1.3832972989291648e-08
1912,4.428008182344456e-08,1.5628263128064646e-08
1913,4.5075413623862914e-08,1.2727175757731857e-08
1914,4.620753202289052e-08,2.0759905794420774e-08
1915,7.304072369151982e-08,2.4739600590351074e-08
1916,7.801097723358907e-08,3.076489463182952e-08
1917,6.250861872558744e-08,1.6449636319748606e-08
1918,5.513460621386912e-08,2.2972752589112133e-09
1919,8.931613137974637e-08,2.025726608678724e-08
1920,6.13350792377787e-08,1.590168707821249e-08
1921,3.710646367949266e-08,1.2873671018098776e-08
1922,6.64014194740048e-08,1.475587119159627e-08
1923,8.492758496458919e-08,1.8047112249064412e-08
1924,5.414482373566898e-08,1.0313299547703991e-08
1925,2.859526304632709e-08,1.4297631523163545e-08
1926,3.6782257240020044e-08,3.1209186346359274e-08
1927,2.5643217327342427e-08,1.0034302277972529e-08
1928,2.9707706517001498e-08,1.2568645679778001e-08
1929,3.5649300400564243e-08,1.5596569369336066e-08
1930,5.566909777598994e-08,1.05036033204442e-08
1931,5.360517718600022e-08,1.710803587684495e-08
1932,3.3974561830518724e-08,8.767629289252454e-09
1933,4.817677989876756e-08,8.02946331646126e-09
1934,5.751158482780738e-08,1.3179738189705859e-08
1935,2.0346082152400413e-08,7.180970484910176e-09
1936,6.911087524485993e-08,8.487299751891442e-09
1937,9.065605155456069e-08,1.1332006444320086e-08
1938,6.093650739558143e-08,1.9447821131279852e-08
1939,4.5882153187903896e-08,9.176430282309411e-09
1940,4.3108308034334186e-08,7.607348528892999e-09
1941,8.559357667081713e-08,8.854508237732261e-09
1942,4.5513175450651033e-08,9.102635090130207e-09
1943,3.4838823381733164e-08,5.806470415592457e-09
1944,3.213186161588055e-08,6.4263723231761105e-09
1945,8.278315277721049e-08,1.5249527862692958e-08
1946,2.5057987684817817e-08,1.5313215584455975e-08
1947,4.2915136333476767e-08,1.549713246618012e-08
1948,2.6092530802657166e-08,7.610321262063735e-09
1949,3.9268034157657894e-08,1.0798709482173763e-08
1950,3.828730044119766e-08,1.1698897850465073e-08
1951,1.7058242818279723e-08,8.529121409139861e-09
1952,2.4253049346611988e-08,1.7926167217297007e-08
1953,2.477980309834038e-08,3.232148326759443e-09
1954,3.127211556375187e-08,2.9317608341017376e-09
1955,2.2525458831523792e-08,8.447047505910632e-09
1956,2.8779767902165077e-08,3.488456634670456e-09
1957,2.03205861026845e-08,8.835037590415595e-09
1958,3.557064687242928e-08,9.099467845885556e-09
1959,2.2477168570844697e-08,1.007597205671118e-08
1960,1.6610000486139143e-08,6.2287499602575735e-09
1961,3.126671543896009e-08,1.042223907177231e-08
1962,3.4880759613997725e-08,5.7077609305622445e-09
1963,2.651081842941494e-08,8.405868889838075e-09
1964,1.764350798794112e-08,8.517555549758526e-09
1965,4.54179591713455e-08,1.0396882466068291e-08
1966,2.880318916709257e-08,7.200797291773142e-09
1967,2.5637744371920235e-08,2.9582012395223956e-09
1968,3.2787337289619245e-08,1.0330256650092906e-08
1969,5.5863619508045304e-08,9.537691525451919e-09
1970,3.7709543931896405e-08,8.277704743875347e-09
1971,3.44272628183262e-08,4.624557625731995e-09
1972,2.5137719461554298e-08,5.130146973897354e-09
1973,2.921997932503473e-08,7.1671650836435674e-09
1974,2.6440186928766707e-08,6.750686232237513e-09
1975,1.9419033492340532e-08,5.140332159925265e-09
1976,2.513951891103261e-08,1.085570122683066e-08
1977,2.1744092748576804e-08,5.289103821581875e-09
1978,1.544553818177974e-08,1.7821774056514528e-09
1979,1.521513048885481e-08,4.681578680276743e-09
1980,1.2507331170752423e-08,8.527726080842513e-09
1981,1.0753434587229549e-08,3.795329828193417e-09
1982,2.669225906970496e-08,6.2075020679230875e-09
1983,1.7682884490000106e-08,3.78918940668882e-09
1984,1.4497521405587577e-08,4.059305780401701e-09
1985,1.0226449020933615e-08,4.210890747202711e-09
1986,1.3187867686781374e-08,7.1933827783254856e-09
1987,1.0388388815840699e-08,7.944062296871834e-09
1988,1.8589316752581908e-08,8.994830658082265e-09
1989,1.6464365870660913e-08,2.1952488715726304e-09
1990,2.0160008773473237e-08,4.90378582185258e-09
1991,2.05151273746651e-08,5.861465202094962e-10
1992,1.652983172562017e-08,4.958949695321735e-09
1993,1.3848018731721368e-08,3.877445031719162e-09
1994,1.4242301560329906e-08,4.747434001473039e-09
1995,2.331653803366862e-08,4.880205572987961e-09
1996,1.2811421257197253e-08,5.871901187504136e-09
1997,1.5823152565985765e-08,7.192341833217597e-09
1998,1.0013071261028017e-08,9.536258005482523e-09
1999,7.312321859131998e-09,5.484241505371301e-09
2000,1.192868470667463e-08,5.743440834038438e-09
2001,1.9715452381774412e-08,6.133696661692056e-09
2002,1.3143664823189738e-08,8.324320788233308e-09
2003,1.2500768420409258e-08,7.500461585152607e-09
2004,1.189293641346012e-08,7.488145215006625e-09
2005,1.4862373554080932e-08,9.007498746882447e-09
2006,7.000412693969338e-09,4.941467679486777e-09
2007,7.988958827809256e-09,8.787854888225866e-09
2008,1.1920831433087642e-08,3.405951742863067e-09
2009,1.7165493915172192e-08,3.814554005998616e-09
2010,8.97520635589899e-09,2.3618964561933353e-09
2011,6.500752380844688e-09,4.5887662558641296e-09
2012,6.127654827992046e-09,4.085103366691101e-09
2013,8.646287241731443e-09,5.29933741333366e-09
2014,7.57905826986871e-09,5.197068553286499e-09
2015,1.0417904761084174e-08,5.54143841924315e-09
2016,7.042556315894899e-09,6.006886099640951e-09
2017,7.54683426862357e-09,5.7859059765519305e-09
2018,7.228107001822082e-09,4.130346731301415e-09
2019,8.16316081397872e-09,5.101975730781305e-09
