year,fallut_VERB envoyer_VERB,fallut_VERB renvoyer_VERB
1800,4.087413785214267e-08,3.144164395507687e-08
1801,1.262026785298076e-07,1.904946067554647e-08
1802,5.147032311469957e-08,1.5664880947952042e-08
1803,4.8758479920252285e-08,3.705644502360883e-08
1804,3.707776485839531e-08,7.4155526164076946e-09
1805,5.970043304159844e-08,3.4114531644036106e-08
1806,2.881669125542885e-08,3.1698359492793315e-08
1807,1.708173016368164e-07,4.839823830593559e-08
1808,4.758755522971114e-08,4.305540457494317e-08
1809,1.1295152546608733e-07,1.3554183553310395e-08
1810,2.3401267590372754e-09,2.574139479349924e-08
1811,4.011322829455821e-08,2.0056614147279106e-08
1812,2.9339290108509886e-08,3.200649700829672e-08
1813,4.888760685162197e-08,5.751483289628823e-09
1814,1.5733386149463513e-08,9.440030979135372e-09
1815,4.8550024445148665e-08,1.6183340889597275e-08
1816,4.8669683394564345e-08,6.952811659743929e-09
1817,2.9580593974287694e-08,1.556873407970727e-09
1818,1.0252212234718172e-07,3.814776761146277e-08
1819,6.624672010957511e-08,3.001804671498576e-08
1820,5.3399165977907614e-08,7.001224133773576e-08
1821,4.141825016290568e-08,1.4792232327920374e-08
1822,4.912551787583652e-08,1.1028177482330648e-08
1823,2.569498569471307e-08,3.854247765389118e-08
1824,2.189489300974401e-08,1.9368560089105813e-08
1825,3.874394849390228e-08,5.283265824829186e-09
1826,8.631824499616414e-08,1.3211976401805714e-08
1827,5.991227425283796e-08,9.217273166939322e-09
1828,7.613009955775851e-08,1.1923991571904935e-08
1829,7.372931065674493e-08,1.3717081692732336e-08
1830,1.0854309095975623e-07,7.305785310052215e-09
1831,3.4300654760954785e-08,1.091384405071949e-08
1832,8.659180394943178e-08,2.1647950987357945e-08
1833,9.151066393542351e-08,1.0425265983826648e-08
1834,9.054495109239724e-08,7.467624740797874e-09
1835,7.487457054367042e-08,2.7983425354705105e-08
1836,7.728862527756064e-08,2.2850549896702432e-08
1837,4.453050195252217e-08,1.3915782304252389e-08
1838,9.594486272135327e-08,8.2058102535143e-09
1839,5.872839281551023e-08,8.38977065598101e-09
1840,9.108654808187566e-08,2.4841785517537573e-08
1841,1.0786521897898638e-07,1.3483152372373297e-08
1842,7.915753030829364e-08,1.0733224087289273e-08
1843,8.151537400635789e-08,1.6539351221922516e-08
1844,8.671926821079978e-08,2.030767731753258e-08
1845,6.02664584903323e-08,4.464182357111213e-09
1846,4.625055893825447e-08,2.3418005312692003e-08
1847,5.3932236454556914e-08,1.9954928376364478e-08
1848,5.309846429213394e-08,7.24069959545659e-09
1849,7.457679629396807e-08,2.6814127807028854e-08
1850,5.295417082606946e-08,2.2403686017469226e-08
1851,6.320450296470881e-08,1.9993260380601896e-08
1852,3.450589147746541e-08,2.2135854038651814e-08
1853,5.4344578614973216e-08,1.3138249599364826e-08
1854,6.806320129726373e-08,1.8704392701351935e-08
1855,3.290301009428731e-08,2.0166361025530932e-08
1856,7.196292983735475e-08,6.73034605824796e-09
1857,5.760180599168052e-08,2.0502337605421417e-08
1858,5.4809170535463636e-08,1.6149130033227266e-08
1859,1.1762920593128001e-07,1.0693564256314403e-08
1860,8.650877703075821e-08,3.661747127736703e-09
1861,6.838147470489275e-08,2.6880993431177558e-08
1862,5.2860439581081664e-08,1.7168348520613108e-08
1863,7.641769883548477e-08,2.5472566278494924e-08
1864,7.192092255081661e-08,3.835782358407869e-09
1865,6.495444893062086e-08,6.589582213223366e-09
1866,4.330395597662573e-08,8.75810357570117e-09
1867,8.540948215340904e-08,2.135237053835226e-08
1868,5.433861360870651e-08,2.420538258718352e-08
1869,4.981189505315342e-08,1.4650557211837167e-08
1870,6.479475445075877e-08,1.7202147262196377e-08
1871,8.496941461544338e-08,1.0621177271019633e-09
1872,5.744972497723211e-08,1.1489944995446422e-08
1873,8.500126114086015e-08,9.577607151811662e-09
1874,8.722929578652838e-08,2.3300975371398636e-08
1875,6.350894921069994e-08,1.2015206607429718e-08
1876,7.436598536969541e-08,1.1487427897804992e-08
1877,6.49405649255641e-08,2.3502300550148902e-08
1878,6.03908887342186e-08,1.0870359723469392e-08
1879,5.437299321897626e-08,9.774920428640144e-09
1880,5.326812413386506e-08,1.2193908105473383e-08
1881,4.392679642251096e-08,1.9523021421719022e-08
1882,5.923292789589141e-08,2.6621540527571597e-09
1883,4.92908434068795e-08,6.951272890631799e-09
1884,7.327883366770038e-08,1.3203393933736152e-08
1885,6.252266615547342e-08,2.0626034213933053e-08
1886,5.420909587883216e-08,1.613365974151293e-08
1887,8.87933779836203e-08,2.0892558794116667e-08
1888,5.960177773545183e-08,1.521747527988282e-08
1889,4.573549716724301e-08,1.628935564212952e-08
1890,5.309053108248918e-08,1.1142456735058204e-08
1891,2.5496881050912634e-08,9.561330394092238e-09
1892,5.390920776449093e-08,1.6298132621272998e-08
1893,5.7273272346947124e-08,2.4017824173938607e-08
1894,3.465846631911518e-08,8.192000855444803e-09
1895,7.342709551494409e-08,1.8657704714541978e-08
1896,4.1279204054944785e-08,1.2973464080801023e-08
1897,5.477110676110897e-08,1.3401440845939305e-08
1898,5.149102833001962e-08,1.6975064909274806e-08
1899,5.3617512207893014e-08,3.8693048765026106e-09
1900,6.177353384373419e-08,1.142031713641245e-08
1901,4.973977496547377e-08,2.179608138419553e-08
1902,3.2407871941586563e-08,4.419255628107521e-09
1903,5.130209146386733e-08,1.1880484152015924e-08
1904,6.342057901065346e-08,2.1498500757388683e-09
1905,6.347733716438597e-08,1.0321517862621477e-08
1906,4.578324208637241e-08,1.0288369267641428e-08
1907,3.754275823553144e-08,8.742834012309686e-09
1908,4.469363901193901e-08,1.817213934884876e-08
1909,5.666013080940502e-08,1.3752458727367411e-08
1910,4.275320719671072e-08,1.870452770447173e-08
1911,5.3203741856577835e-08,2.553779587799454e-08
1912,5.365703970028335e-08,1.3544495303108306e-08
1913,4.348451554392341e-08,4.772690687104841e-09
1914,6.161004506566314e-08,7.366418142140674e-09
1915,3.416420923940677e-08,2.709575319670421e-08
1916,3.735737053034427e-08,1.3184954461564757e-08
1917,5.263883906536648e-08,1.315970976634162e-08
1918,9.878283435682533e-08,1.378365155346728e-08
1919,5.524708868165362e-08,1.1049418269237776e-08
