year,doivent_VERB emporter_VERB,doivent_VERB remporter_VERB
1800,5.0306631749208464e-08,0.0
1801,5.2386017301842e-08,0.0
1802,1.3427040812530322e-08,4.475680270843441e-09
1803,4.4857802805609026e-08,7.801356893821776e-09
1804,2.9662210465630778e-08,0.0
1805,4.264316544322355e-08,0.0
1806,2.881669125542885e-08,2.0171682990621775e-08
1807,1.4234775136401367e-08,0.0
1808,4.5321478125970316e-08,2.2660739951163578e-09
1809,4.0662548883574345e-08,2.259030518203531e-09
1810,3.042164919975221e-08,0.0
1811,2.757784400841956e-08,0.0
1812,3.200649700829672e-08,5.3344164641089264e-09
1813,1.7254450312975678e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,3.236668177919455e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,4.670620334934483e-09,1.556873407970727e-09
1818,1.5497530370112145e-08,2.384235475716423e-09
1819,1.3456364911235141e-08,3.1053151161586356e-09
1820,3.085285271708926e-08,2.3732962262101864e-09
1821,4.930744257336528e-09,1.97229765852569e-09
1822,9.023054303725075e-09,9.023054303725075e-09
1823,1.1859224713361982e-08,2.3718449426723964e-08
1824,4.210556348027694e-09,0.0
1825,4.6668848341369085e-08,1.7610886082763955e-09
1826,3.170874407487645e-08,1.7615968683770689e-09
1827,2.2121454890111636e-08,0.0
1828,5.961995697134626e-08,9.172301251858528e-10
1829,2.743416338546467e-08,0.0
1830,3.444155893816969e-08,3.1310507520032616e-09
1831,7.016042502527853e-08,0.0
1832,4.058990921151917e-09,0.0
1833,1.853380560135065e-08,0.0
1834,2.8003592333902816e-08,4.667265685043276e-09
1835,2.4958190181223472e-08,4.5378527602224494e-09
1836,3.36037508930076e-08,3.36037508930076e-09
1837,2.435261770017405e-08,1.0436836284100082e-08
1838,1.830527018853445e-08,7.574594285131298e-09
1839,1.7478688718597368e-08,6.9914751765765e-10
1840,1.0828470564661075e-08,4.458782232319436e-09
1841,1.6051371787284552e-08,3.2102742686390684e-09
1842,8.720745015011744e-09,4.024959032733477e-09
1843,1.1813821920725331e-08,5.906910960362666e-09
1844,3.512679214168202e-08,4.9397050894128824e-09
1845,2.1204865419122143e-08,5.580227946389016e-10
1846,1.6392604607062822e-08,0.0
1847,1.1325769655456952e-08,5.393223645455691e-10
