year,petit_ADJ envoi_NOUN,petit_ADJ renvoi_NOUN
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,1.4287095950749062e-08
1802,6.713520406265161e-09,0.0
1803,0.0,7.801356893821776e-09
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,2.1796227045456362e-08,0.0
1818,4.768470951432846e-09,0.0
1819,1.2421260464634543e-08,0.0
1820,0.0,0.0
1821,3.0570614484304315e-08,0.0
1822,1.0025615893027862e-08,6.015369535816717e-09
1823,1.2847492847356534e-08,0.0
1824,1.3473780313688621e-08,0.0
1825,8.805443485471187e-09,0.0
1826,1.0569580766173203e-08,0.0
1827,1.013900075008678e-08,0.0
1828,3.668920500743411e-09,0.0
1829,3.429270423183084e-09,0.0
1830,4.174734336004349e-09,0.0
1831,2.6505050598757407e-08,0.0
1832,3.3824925083081325e-08,0.0
1833,1.6217079235048004e-08,0.0
1834,2.8003592777992026e-09,0.0
1835,6.806779140333674e-09,3.025235173481633e-09
1836,3.36037508930076e-09,0.0
1837,6.957891152126194e-09,0.0
1838,4.418513555037862e-09,0.0
1839,9.788065469251706e-09,0.0
1840,7.64362617644565e-09,0.0
1841,3.852329122366882e-09,0.0
1842,2.683306021822318e-09,2.0124795163667386e-09
1843,5.31621990873532e-09,1.1813822142769936e-09
1844,2.195424508855126e-09,0.0
1845,4.464182357111213e-09,0.0
1846,1.2879903366069811e-08,0.0
1847,2.6966118227278457e-09,1.6179670936367074e-09
1848,8.045221711050488e-10,2.413566457803995e-09
1849,5.865590679832167e-09,5.865590679832167e-09
1850,1.2220192857625989e-08,0.0
1851,9.674158363282004e-09,0.0
1852,2.539112742283578e-08,5.859490670445666e-09
1853,1.3735443005202796e-08,0.0
1854,2.0782657816909023e-09,3.117398783558656e-09
1855,3.1841622671890946e-09,1.5920811335945473e-09
1856,2.1226476576430287e-08,0.0
1857,1.513267733344037e-08,0.0
1858,7.34051397444091e-09,0.0
1859,2.036869339860914e-09,0.0
1860,5.034902272882391e-09,0.0
1861,1.131831339762357e-08,0.0
1862,9.487771457372673e-09,0.0
1863,1.7980635647063536e-08,0.0
1864,1.9178912680217763e-08,0.0
1865,2.9653119071326728e-08,9.41368871743009e-10
1866,2.238181906477621e-08,4.865612912574591e-10
1867,2.426405742994575e-09,9.7056229719783e-10
1868,1.0867722721741302e-08,0.0
1869,1.3185501579471293e-08,3.906815315701806e-09
1870,1.490852596930381e-08,0.0
1871,1.274541272522356e-08,0.0
1872,1.269941218851045e-08,0.0
1873,1.0176207432266438e-08,1.7958012854535355e-09
1874,1.2546679251101978e-08,5.974609140757536e-10
1875,2.0025344937835143e-08,5.149374260327022e-09
1876,1.5719638923883394e-08,0.0
