year,put_VERB emporter_VERB,put_VERB remporter_VERB
1800,3.144164395507687e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,6.042168365638645e-08,0.0
1803,2.145373123596528e-08,3.900678446910888e-09
1804,3.9549615138412264e-08,0.0
1805,7.107194477384837e-08,2.842877711017877e-09
1806,9.509508203109363e-08,0.0
1807,6.547996633798903e-08,0.0
1808,4.985362878073829e-08,2.4926814390369145e-08
1809,5.421673421324158e-08,2.259030518203531e-09
1810,3.510190182964834e-08,2.3401267590372754e-09
1811,6.267691787797958e-08,0.0
1812,9.068507722531649e-08,0.0
1813,3.163315653864629e-08,0.0
1814,9.440030979135372e-09,0.0
1815,6.74305908887618e-08,8.091670444798638e-09
1816,3.244645441213834e-08,0.0
1817,4.514932783195036e-08,0.0
1818,5.48374146092101e-08,1.4305412854298538e-08
1819,6.314140676977331e-08,2.173720581311045e-08
1820,4.390598107306687e-08,1.1866481131050932e-09
1821,6.212737702071536e-08,1.676452932031225e-08
1822,5.714601059025881e-08,0.0
1823,1.5318164514610544e-07,2.4706716672540097e-08
1824,5.052667617633233e-08,2.5263338088166165e-09
1825,9.862095851076447e-08,1.7610886082763955e-09
1826,5.108631029315802e-08,2.642395191543301e-09
1827,8.664236617050847e-08,3.6869092223668076e-09
1828,5.044765671868845e-08,1.1006761724274838e-08
1829,7.801590129474789e-08,8.57317605795771e-10
1830,4.279102583382155e-08,5.218417697960831e-09
1831,3.897801548191637e-08,1.5591206103948707e-09
1832,4.8707889277466165e-08,1.3529969367098715e-09
1833,5.560141858040879e-08,0.0
1834,7.374279675786966e-08,5.600718555598405e-09
1835,6.806779140333674e-08,7.563087933704082e-10
1836,4.704525125021064e-08,9.409050427677812e-09
1837,7.305785487687899e-08,1.3915781860163179e-09
1838,9.910094433962513e-08,1.5149188570262595e-08
1839,4.824117993962318e-08,6.292327547896548e-09
1840,7.38883869644269e-08,1.2102408852854296e-08
1841,5.6500827128047604e-08,1.2841097074556274e-09
1842,4.159124245006751e-08,6.708265054555795e-10
1843,3.7804230856863796e-08,1.7720733769266417e-09
