year,veulent_VERB envoyer_VERB,veulent_VERB renvoyer_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,4.286128785224719e-08,9.524730337773235e-09
1802,3.1329761895904085e-08,0.0
1803,7.801356893821776e-09,3.900678446910888e-09
1804,9.887403784603066e-09,0.0
1805,8.528632911009026e-09,0.0
1806,3.458002950651462e-08,8.645007376628655e-09
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,1.8072244145628247e-08,2.259030518203531e-09
1810,1.1700633351097167e-08,0.0
1811,2.757784400841956e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.5881675469463516e-08,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,7.784366928831332e-09,0.0
1818,1.1921176934492905e-08,2.384235475716423e-09
1819,1.449147024601416e-08,0.0
1820,1.0679833017945839e-08,1.1866481131050932e-09
1821,2.2681422962023134e-08,0.0
1822,5.1130641054442094e-08,1.0025615893027862e-08
1823,9.882686669016039e-09,3.9530747564242574e-09
1824,8.421112696055388e-09,8.421112696055388e-10
1825,2.6416328680056722e-08,0.0
1826,2.7304752237000685e-08,0.0
1827,1.935627302884768e-08,0.0
1828,5.503380862137419e-09,9.172301140836225e-09
1829,3.086343269842473e-08,8.57317605795771e-10
1830,2.922314124020886e-08,0.0
1831,2.0268567268999504e-08,7.795603274018958e-09
1832,1.2176972319366541e-08,1.3529969367098715e-09
1833,1.9692167896323554e-08,6.950177322551099e-09
1834,1.5868701908061666e-08,9.334530925997342e-10
1835,1.2100940693926532e-08,1.5126175867408165e-08
1836,2.755507466645213e-08,0.0
1837,2.6439986200443855e-08,0.0
1838,3.408567295082321e-08,0.0
1839,4.894032734625853e-09,0.0
1840,2.93005673057678e-08,9.554533164646273e-09
1841,3.146068650039524e-08,7.704658244733764e-09
1842,2.4820581145945653e-08,2.0124795163667386e-09
1843,1.1223130869097986e-08,2.3627644285539873e-09
1844,1.5367971784030487e-08,4.9397050894128824e-09
1845,3.9061593959388574e-09,3.9061593959388574e-09
1846,1.4636253098387897e-08,0.0
1847,9.707802561820245e-09,3.775256551818984e-09
1848,1.367687652020777e-08,2.413566457803995e-09
1849,1.6758829879393033e-09,0.0
1850,5.702756666892128e-08,2.7155984128057753e-09
1851,1.0319102017319892e-08,0.0
1852,1.5625309046640723e-08,1.3021090872200602e-09
1853,2.20961471342207e-08,5.971931837933653e-10
1854,2.6497888327980945e-08,3.63696517347023e-09
