year,pouvant_VERB assembler_VERB,pouvant_VERB rassembler_VERB
1800,0.0,0.0
1801,0.0,2.6193008650921e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,0.0
1804,0.0,9.887403784603066e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,6.798221985349073e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,1.1502966579257645e-08
1814,0.0,0.0
1815,0.0,2.4275012222574333e-08
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,8.344824387052086e-09
1819,0.0,9.315945348475907e-09
1820,0.0,1.1866481131050932e-09
1821,0.0,5.9168927535324656e-09
1822,0.0,2.606660132187244e-08
1823,0.0,9.882686891060644e-10
1824,1.7684335773537896e-08,2.5263338088166165e-09
1825,0.0,1.937197424695114e-08
1826,0.0,7.0463874735082754e-09
1827,0.0,2.7651818612639545e-09
1828,0.0,9.172301251858528e-10
1829,0.0,8.57317605795771e-10
1830,0.0,1.0436835840010872e-09
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,5.791814139399776e-09
1834,0.0,9.334530925997342e-10
1835,0.0,4.5378527602224494e-09
1836,8.064899859050456e-09,2.016224964762614e-09
1837,0.0,1.3915782304252389e-08
1838,5.680945491803868e-09,6.943378316748294e-09
1839,0.0,7.690622361167243e-09
1840,0.0,1.9109065441114126e-09
1841,0.0,1.926164561183441e-09
1842,0.0,4.024959032733477e-09
1843,0.0,7.678984559333912e-09
1844,1.097712254427563e-09,0.0
1845,0.0,1.0044410636567136e-08
1846,0.0,0.0
1847,0.0,3.235934187273415e-09
1848,0.0,0.0
1849,0.0,3.3517659758786067e-09
1850,1.3577992064028876e-09,6.788996032014438e-10
1851,6.449438760824933e-10,1.2898877521649865e-09
1852,0.0,0.0
1853,5.971931837933653e-10,4.180352064508952e-09
1854,2.0782657816909023e-09,4.676098175337984e-09
1855,1.5920811335945473e-09,0.0
1856,0.0,4.141751386299575e-09
1857,9.763018171682347e-10,3.905207268672939e-09
1858,0.0,2.936205500958522e-09
1859,0.0,8.656694916453489e-09
1860,4.577183909670879e-10,2.288591982591015e-09
1861,0.0,4.715963730639317e-10
1862,4.517986262886353e-10,8.584174260306554e-09
1863,0.0,4.994620717013731e-09
1864,4.794727948009836e-10,2.8768367688059016e-09
1865,0.0,5.177528628053096e-09
1866,4.865612912574591e-10,2.919367858567057e-09
1867,3.396968040192405e-09,5.338092634588065e-09
1868,1.975949626142892e-09,1.4819622196071691e-09
1869,0.0,5.371870948067681e-09
1870,0.0,2.8670243956696595e-09
1871,0.0,0.0
1872,0.0,1.2094678591978436e-09
1873,0.0,0.0
1874,0.0,1.7923826867161097e-09
1875,5.721527140956084e-10,2.2886108563824337e-09
1876,0.0,1.3301232115736639e-08
1877,0.0,6.184815992682502e-10
1878,6.039088673581716e-10,1.2078177347163432e-09
1879,6.10932526790009e-10,3.665595160740054e-09
1880,0.0,4.492492600149944e-09
1881,0.0,4.183504653809678e-09
1882,0.0,6.655385131892899e-10
1883,0.0,6.319338941018771e-10
1884,3.9610181801208455e-09,1.3203393933736152e-09
1885,0.0,6.445635691854079e-10
1886,0.0,3.872078213618124e-09
1887,0.0,4.570247291724172e-09
1888,0.0,6.974675947901687e-09
1889,0.0,0.0
1890,6.554386478008212e-10,1.3108772956016423e-09
1891,3.824531802365527e-09,3.1871101313640793e-09
1892,0.0,3.761107425503951e-09
1893,6.158416554491453e-10,6.158416554491453e-10
1894,0.0,2.520615716150587e-09
1895,0.0,6.018614495673091e-10
1896,0.0,1.179405795248556e-09
1897,0.0,1.1653427112179315e-09
1898,0.0,0.0
1899,0.0,3.3165470370022376e-09
1900,0.0,1.038210628578895e-09
1901,1.1177477832191585e-09,1.1177477832191585e-09
