year,durent_VERB amener_VERB,durent_VERB ramener_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,1.4831105232815389e-08,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,2.2660739062985158e-08
1809,4.518061036407062e-09,3.162642769893864e-08
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,1.556873407970727e-09
1818,2.1458118837358597e-08,1.1921177378582115e-09
1819,6.210630232317271e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,1.0847637454958203e-08,0.0
1822,6.015369535816717e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,7.57900142644985e-09,2.6105450245950124e-08
1825,7.044354433105582e-09,0.0
1826,7.0463874735082754e-09,0.0
1827,1.6591091167583727e-08,0.0
1828,1.3758452155343548e-08,0.0
1829,2.571952872898464e-09,0.0
1830,5.218417697960831e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,1.8941957335982806e-08,0.0
1833,1.2741991461950875e-08,0.0
1834,2.8937046536725575e-08,0.0
1835,1.2100940693926532e-08,0.0
1836,1.344150035720304e-08,0.0
1837,3.478945487245255e-08,0.0
1838,2.7773513266993177e-08,0.0
1839,6.9914749545318955e-09,6.9914751765765e-10
1840,1.7835128929277744e-08,0.0
1841,2.3113974734201292e-08,0.0
1842,4.561620414733625e-08,0.0
1843,1.7720733325177207e-08,1.7720733769266417e-09
1844,1.920996517412732e-08,0.0
1845,3.124927516751086e-08,1.674068439427856e-09
1846,2.3418005312692003e-08,0.0
1847,3.182001862001016e-08,0.0
1848,1.206783295515379e-08,1.6090443422100975e-09
1849,2.262441967104678e-08,0.0
1850,2.7834882843080777e-08,2.0366988096043315e-09
1851,1.9348316282474798e-09,0.0
1852,1.7578472011337e-08,1.3021090872200602e-08
1853,6.569124799682413e-09,0.0
1854,1.0910895298366086e-08,5.195664454227256e-10
1855,7.960405667972736e-09,0.0
1856,1.2942972915652717e-08,5.177189232874468e-10
1857,2.0990489346672803e-08,0.0
1858,2.300027723833864e-08,9.787352039936081e-10
1859,8.147477359443656e-09,4.582956236731661e-09
1860,1.876645328025006e-08,0.0
1861,1.4619487842537637e-08,0.0
1862,2.3945327498609004e-08,5.421583626485926e-09
1863,3.9457503930862003e-08,4.994620717013731e-09
1864,1.6781548595190543e-08,0.0
1865,1.694463946932956e-08,3.294791106611683e-09
1866,8.75810357570117e-09,1.9462451650298362e-09
1867,8.249779526181555e-09,0.0
1868,1.679557115608077e-08,4.93987406535723e-10
1869,2.0999133099053324e-08,2.9301114867763545e-09
1870,1.0321287824410774e-08,1.7202146374017957e-09
1871,3.186353225714811e-08,0.0
1872,1.3304146229131675e-08,0.0
1873,1.3767810003173508e-08,0.0
1874,1.2546679251101978e-08,0.0
