year,voulut_VERB abaisser_VERB,voulut_VERB rabaisser_VERB
1800,0.0,3.144164484325529e-09
1801,9.524730337773235e-09,0.0
1802,0.0,8.951360541686881e-09
1803,0.0,5.851017448321727e-09
1804,0.0,0.0
1805,1.7057265822018053e-08,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.1700633351097167e-08,2.3401267590372754e-09
1811,0.0,0.0
1812,5.3344164641089264e-09,4.267533171287141e-08
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,2.4275012222574333e-08
1816,0.0,0.0
1817,1.401186100480345e-08,1.401186100480345e-08
1818,0.0,2.384235475716423e-09
1819,8.280840013696888e-09,6.210630232317271e-09
1820,1.1866481131050932e-08,8.306536791735653e-09
1821,5.9168927535324656e-09,1.97229765852569e-09
1822,4.010246357211145e-09,3.0076847679083585e-09
1823,9.882686891060644e-10,3.9530747564242574e-09
1824,0.0,0.0
1825,0.0,5.283265824829186e-09
1826,1.7615968683770689e-09,1.7615968683770689e-09
1827,5.530363722527909e-09,9.217273055917019e-10
1828,3.668920500743411e-09,9.172301251858528e-10
1829,1.8860987438529264e-08,1.714635211591542e-09
1830,1.2524203008013046e-08,1.1480519646056564e-08
1831,1.5591206103948707e-09,0.0
1832,2.705993873419743e-09,4.058990921151917e-09
1833,2.3167257001688313e-09,0.0
1834,2.8003592777992026e-09,9.334530925997342e-10
1835,1.1344631900556124e-08,0.0
1836,6.720750067579218e-10,6.72075017860152e-09
1837,2.0873671680021744e-09,6.957890930081589e-10
1838,6.943378316748294e-09,3.1560809521380406e-09
1839,8.38977065598101e-09,1.3982949909063791e-08
1840,7.0066574764382494e-09,0.0
1841,1.926164561183441e-09,7.704658244733764e-09
1842,2.0124795163667386e-09,2.0124795163667386e-09
1843,2.3627644285539873e-09,5.906910960362666e-09
1844,6.586273748609983e-09,6.037417232818143e-09
1845,2.2320911785556063e-09,1.1160455892778032e-09
1846,6.439951683034906e-09,8.196302303531411e-09
1847,1.1325769655456952e-08,1.6179670936367074e-09
1848,4.02261068899179e-09,5.63165514222419e-09
1849,1.6758829879393033e-09,1.6758829879393033e-09
1850,2.0366988096043315e-09,2.0366988096043315e-09
1851,0.0,6.449438760824933e-09
1852,3.2552727180501506e-09,5.859490670445666e-09
1853,9.555090940693844e-09,2.9859659189668264e-09
1854,0.0,2.0782657816909023e-09
1855,1.0613874223963649e-09,2.1227748447927297e-09
1856,4.141751386299575e-09,2.0708756931497874e-09
1857,1.9526036343364694e-09,0.0
1858,2.4468380654951716e-09,1.9574704079872163e-09
1859,2.5460866748261424e-09,5.092173349652285e-10
1860,2.288591982591015e-09,4.119465657481669e-09
1861,3.3011746669586728e-09,0.0
1862,3.162590411776023e-09,6.325180823552046e-09
1863,4.994620828036034e-10,1.9978483312144135e-09
1864,4.794727948009836e-10,1.9178911792039344e-09
1865,4.23615986733239e-09,3.765475486972036e-09
1866,0.0,3.4059290943133647e-09
1867,5.82337378318698e-09,5.338092634588065e-09
1868,5.433861360870651e-09,2.4699371437009177e-09
1869,1.4650557433881772e-09,9.767038289254515e-10
1870,5.734048791339319e-10,5.734048791339319e-09
1871,4.248470908407853e-09,3.18635318130589e-09
1872,3.0236697590169115e-09,3.628403577593531e-09
1873,4.190203295451056e-09,2.3944017879529156e-09
1874,5.974609140757536e-10,2.3898436563030145e-09
1875,3.432916173551348e-09,3.432916173551348e-09
1876,6.04601479992084e-10,2.418405919968336e-09
1877,1.2369631985365004e-09,2.4739263970730008e-09
1878,7.2469061862534545e-09,1.0870359723469392e-08
1879,4.887460214320072e-09,6.10932526790009e-10
1880,3.8507077526617195e-09,3.8507077526617195e-09
1881,2.7890030285249168e-09,6.972507571312292e-10
1882,1.9966155395678697e-09,1.9966155395678697e-09
1883,1.8958017378167824e-09,2.5277355764075082e-09
1884,0.0,6.601696966868076e-10
1885,4.511945039809007e-09,1.933690763067375e-09
1886,6.4534639854230136e-09,3.872078213618124e-09
1887,1.3057849246322917e-09,0.0
1888,0.0,4.4384300679212174e-09
1889,0.0,6.265136742733546e-10
1890,3.2771931834929546e-09,6.554386478008212e-10
1891,3.824531802365527e-09,0.0
1892,1.2537024751679837e-09,1.2537024751679837e-09
1893,4.926733243593162e-09,1.847525021858587e-09
1894,0.0,1.2603078580752936e-09
1895,1.8055843487019274e-09,7.824199066419624e-09
1896,5.89702897624278e-10,3.5382172747233653e-09
1897,0.0,0.0
1898,3.3950129374460403e-09,2.26334195829736e-09
1899,4.4220627160029835e-09,1.1055156790007459e-09
1900,1.038210628578895e-09,0.0
1901,5.588738916095792e-10,1.676621730339889e-09
1902,0.0,0.0
1903,2.1600881083827517e-09,1.0800440541913758e-09
1904,0.0,0.0
1905,5.160759042333041e-10,2.0643036169332163e-09
1906,4.115347618238729e-09,1.0288369045596824e-09
1907,5.65712765521198e-09,0.0
1908,3.929111258571538e-09,4.911389073214423e-10
1909,2.7504918342913243e-09,3.300590023513905e-09
1910,0.0,1.068830135508847e-09
1911,2.6601871816467337e-09,0.0
1912,0.0,0.0
1913,2.6514948014977335e-09,5.30298971401777e-10
1914,4.68772043404897e-09,0.0
1915,2.3561523843085297e-09,1.1780761921542648e-09
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,5.524709134618888e-09
1920,3.786115865267448e-09,1.514446346106979e-09
1921,7.572747762196741e-09,3.7863738810983705e-09
1922,1.4755870969551665e-09,7.377935484775833e-10
1923,0.0,2.1231896241147297e-09
1924,1.289162443462999e-09,5.156649773851996e-09
1925,0.0,0.0
1926,2.229227691330493e-09,0.0
1927,1.1149224654616319e-08,0.0
1928,4.570416489713125e-09,0.0
1929,4.4561625500705304e-09,1.1140406375176326e-09
1930,0.0,2.100720708497761e-09
1931,0.0,1.1405356659111021e-09
1932,2.1919073223131136e-09,1.0959536611565568e-09
1933,0.0,0.0
1934,1.1981580172459871e-09,0.0
1935,0.0,0.0
1936,2.424942913137329e-09,2.424942913137329e-09
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,2.9515025978810172e-09,0.0
1942,3.034211770724937e-09,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,1.3921104269343232e-09,0.0
1947,4.7683483828109274e-09,0.0
1948,2.174377566888097e-09,1.0871887834440486e-09
1949,0.0,0.0
1950,0.0,0.0
1951,3.1984206394497505e-09,0.0
1952,1.1599284199803606e-08,0.0
1953,1.0773827385790469e-09,3.232148326759443e-09
1954,9.772536113672459e-10,0.0
1955,1.8771215692936494e-09,0.0
1956,1.744228317335228e-09,0.0
1957,1.7670075402875796e-09,3.534015080575159e-09
1958,1.6544486891589827e-09,1.6544486891589827e-09
1959,0.0,0.0
1960,6.920833350854139e-10,0.0
1961,1.3896318540318475e-09,0.0
1962,2.5367825617905737e-09,2.5367825617905737e-09
1963,1.939815863494232e-09,0.0
1964,6.083968329129164e-10,6.083968329129164e-10
1965,1.0944086747954884e-09,0.0
1966,2.215629901769489e-09,3.3234448526542337e-09
1967,4.930335584241163e-10,4.930335584241163e-10
1968,4.940557296606585e-09,0.0
1969,1.8167031212712459e-09,0.0
1970,1.3796175313274261e-09,1.3796175313274261e-09
1971,5.138397485282553e-10,0.0
1972,1.0260293725750103e-09,5.130146862875051e-10
1973,2.205281512956958e-09,5.513203782392395e-10
1974,1.1251143350321513e-09,0.0
1975,5.711480177694739e-10,0.0
1976,5.713526873840635e-10,5.713526873840635e-10
1977,5.876781838942691e-10,5.876781838942691e-10
1978,0.0,0.0
1979,1.1703946700691858e-09,0.0
1980,5.685150683554241e-10,0.0
1981,1.2651099057237047e-09,6.325549528618524e-10
1982,6.207502289967692e-10,0.0
1983,1.89459470334441e-09,0.0
1984,5.799008495621649e-10,5.799008495621649e-10
1985,0.0,1.2031116103372597e-09
1986,5.994485463567401e-10,0.0
1987,0.0,1.2221633705067347e-09
1988,5.996553809062277e-10,0.0
1989,1.6464366536794728e-09,5.488122178931576e-10
1990,5.44865097484859e-10,5.44865097484859e-10
1991,0.0,0.0
1992,0.0,5.509944167592096e-10
1993,1.661762283333701e-09,0.0
1994,1.5824779264761446e-09,2.1099706426497278e-09
1995,2.1689803286761844e-09,0.0
1996,0.0,0.0
1997,0.0,0.0
1998,0.0,0.0
1999,0.0,0.0
2000,8.836062992401139e-10,0.0
2001,1.7524847129024579e-09,4.3812117822561447e-10
2002,8.324320788233308e-09,4.38122149670761e-10
