year,eut_VERB apporté_VERB,eut_VERB rapporté_VERB
1800,4.4018303668735825e-08,6.288328968651058e-09
1801,3.5717739876872656e-08,2.1430643926123594e-08
1802,1.0517848636482086e-07,5.594600338554301e-08
1803,3.510610468993036e-08,4.290746247193056e-08
1804,7.909923027682453e-08,2.9662210465630778e-08
1805,2.55858996212055e-08,6.254330742194725e-08
1806,1.152667650217154e-07,2.881669125542885e-08
1807,1.2811298688575334e-07,1.4234775136401367e-08
1808,5.211970233176544e-08,9.064295980465431e-09
1809,4.51806094758922e-08,4.518061036407062e-09
1810,6.31834211617388e-08,7.020380277111826e-09
1811,4.512738271955641e-08,6.769107585569145e-08
1812,2.1337665856435706e-08,1.600324850414836e-08
1813,8.91479885467561e-08,8.627225156487839e-09
1814,2.5173417128598885e-08,4.72001566720337e-08
1815,5.933891955578474e-08,2.4275012222574333e-08
1816,5.3304887615013286e-08,2.3176038865813098e-09
1817,1.5568733857662664e-08,1.5568733857662664e-08
1818,6.914282835168706e-08,2.6226590676969863e-08
1819,6.314140676977331e-08,2.6912729822470283e-08
1820,8.306536791735653e-09,9.493184904840746e-09
1821,3.4515210245444905e-08,1.8736827200882544e-08
1822,3.408709403629473e-08,7.318699601910339e-08
1823,1.0179167730939298e-07,8.400284201570685e-08
1824,1.364220310051678e-07,1.212640228231976e-07
1825,8.101007864524945e-08,4.842993561737785e-08
1826,2.8185549894033102e-08,7.751026487312629e-08
1827,5.622536392024813e-08,1.935627302884768e-08
1828,6.879226077671774e-08,4.953042775923677e-08
1829,7.630126930280312e-08,2.5719527840806222e-08
1830,5.114049628218709e-08,4.4878394334091354e-08
1831,9.978371906527173e-08,2.9623292263636358e-08
1832,5.276687886635045e-08,3.6530916958099624e-08
1833,5.90765054653275e-08,2.89590715851773e-08
1834,1.1948199585276598e-07,4.1071935186209885e-08
1835,8.470658485748572e-08,2.117664621437143e-08
1836,1.0954822471376247e-07,6.115882911217341e-08
1837,8.210311364109657e-08,6.95789097449051e-08
1838,7.700837301172214e-08,4.986607748946881e-08
1839,5.5232654005976656e-08,2.7266752411492234e-08
1840,6.369688776430849e-08,6.11490094115652e-08
1841,5.264849889385914e-08,5.3290552415319326e-08
1842,8.251166150330391e-08,2.4149754196400863e-08
1843,8.565021403228457e-08,5.729703644874462e-08
1844,6.202074587235984e-08,4.006649589882727e-08
1845,6.41726245476093e-08,3.794555070157912e-08
1846,6.6741314697083e-08,2.4003455223464698e-08
1847,4.7999691332734074e-08,3.883121024728098e-08
1848,3.057184372323718e-08,2.252662056889676e-08
1849,5.1952373070207614e-08,5.1952373070207614e-08
1850,4.616517301769818e-08,2.647708541303473e-08
1851,3.9341575330809064e-08,2.1283147688677673e-08
1852,8.203286938623933e-08,6.250123618656289e-08
1853,5.4941772020811186e-08,3.822036376277538e-08
1854,7.06610379097583e-08,3.3771819119010615e-08
1855,5.466145225341279e-08,3.874064091746732e-08
1856,3.572260709461261e-08,2.485050742961903e-08
1857,6.931743001814539e-08,2.39193944651106e-08
1858,4.502182093801821e-08,2.7893953813418193e-08
1859,4.582955881460293e-08,2.6988518087023294e-08
1860,7.643897248499343e-08,1.373155189554609e-08
1861,5.989274143303192e-08,2.5937801240161207e-08
1862,5.3764036778147783e-08,1.7620147119146168e-08
1863,4.894728533599846e-08,3.296449690992631e-08
1864,3.691940619887646e-08,3.9796240969280916e-08
1865,4.047886292823932e-08,2.447559133145205e-08
1866,5.011581194480641e-08,2.77339928800302e-08
1867,4.804283548764943e-08,3.979305418511103e-08
1868,3.408512938563035e-08,2.0747471296544973e-08
1869,4.5905078849273195e-08,2.8324411260882698e-08
1870,6.192772872282148e-08,1.77755516972411e-08
1871,7.328612383616928e-08,1.5931766128574054e-08
1872,6.652073381019363e-08,1.4513614310374123e-08
1873,4.3697831131339626e-08,2.334541804316359e-08
1874,5.496640298474631e-08,2.1508592240593316e-08
1875,4.4627910256167524e-08,2.345826111138649e-08
1876,4.353130833578689e-08,2.539326260375674e-08
1877,7.8547159887421e-08,4.08197848855707e-08
1878,2.8987624745013818e-08,2.6571990829893366e-08
1879,8.736335388448424e-08,2.6881030734671185e-08
1880,5.134277003548959e-08,2.1820676820993867e-08
1881,4.5321300490286376e-08,4.183504653809678e-09
1882,5.124646662579835e-08,2.1962771157291172e-08
1883,4.802697617378726e-08,8.21514056781325e-09
1884,4.4891539374702916e-08,1.8484751507230612e-08
1885,3.7384687345820566e-08,1.933690718658454e-08
1886,3.549405036551434e-08,2.0651084398082276e-08
1887,4.309090329002174e-08,8.48760173255414e-09
1888,4.057993407968752e-08,1.1413106904001324e-08
1889,2.8193115397812107e-08,1.2530273707511697e-08
1890,2.4251230357208442e-08,3.2771932723107966e-08
1891,2.677172439291553e-08,1.466070642663908e-08
1892,3.2596265242545996e-08,1.5044429702015805e-08
1893,3.633465794905533e-08,2.0322774574310642e-08
1894,2.142523314319078e-08,1.5753848003896564e-08
1895,2.5880042997528108e-08,5.416753268150387e-09
1896,5.6611476395573845e-08,2.5946928161602045e-08
1897,3.612562338162206e-08,6.409385022720926e-09
1898,3.225262190653666e-08,7.921697076085366e-09
1899,3.814029270188257e-08,1.5477219506010442e-08
1900,5.4506056557102056e-08,1.764958135197503e-08
1901,5.253414414596591e-08,2.4031576728589243e-08
1902,4.1246384085980026e-08,2.5042448115186744e-08
1903,2.376096830403185e-08,7.020286574288548e-09
1904,2.6335662539622717e-08,2.042357571951925e-08
1905,3.9221767167418875e-08,1.3934049469810361e-08
1906,4.5268823356536814e-08,6.6874399351490865e-09
1907,3.394276504309346e-08,1.2342823652033985e-08
1908,4.2237946473733246e-08,1.3751889405000384e-08
1909,3.4106097501762633e-08,1.0451868703853506e-08
1910,3.580580809625644e-08,9.085056262847502e-09
1911,4.256299490634774e-08,2.074945903984826e-08
1912,4.844761747335724e-08,1.927485904218429e-08
1913,3.340883480973389e-08,1.590896836489719e-08
1914,3.4823067096567684e-08,1.339348720819089e-08
1915,1.5314990164938536e-08,3.534228465440492e-09
1916,3.625862632361532e-08,6.592477230782379e-09
1917,3.070598708632133e-08,9.869782324756216e-09
1918,2.1824114071478107e-08,1.033773866510046e-08
1919,3.6831394822911534e-08,1.3811772170413406e-08
1920,3.028892692213958e-08,9.086678076641874e-09
1921,3.1048266180278006e-08,1.5145495524393482e-08
1922,5.6072309462251724e-08,7.377935595798135e-09
1923,4.140219900250486e-08,8.492758496458919e-09
