year,puissent_VERB acheter_VERB,puissent_VERB racheter_VERB
1800,2.5153315874604232e-08,6.288328968651058e-09
1801,2.8574191901498125e-08,0.0
1802,6.713520406265161e-09,0.0
1803,1.950339223455444e-09,0.0
1804,1.730295728918918e-08,1.9774807569206132e-08
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,1.1387820464392462e-08
1808,6.798221985349073e-09,9.064295980465431e-09
1809,2.259030518203531e-09,0.0
1810,9.360507036149102e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,6.608021863030444e-08,9.440030979135372e-09
1815,5.394447111228828e-09,0.0
1816,1.622322720606917e-08,1.1588019432906549e-08
1817,2.9580593974287694e-08,1.556873407970727e-09
1818,2.384235475716423e-09,3.5763532135746345e-09
1819,1.1386155129855524e-08,0.0
1820,1.6613073583471305e-08,2.3732962262101864e-09
1821,9.861488514673056e-09,5.9168927535324656e-09
1822,6.015369535816717e-09,0.0
1823,7.906149512848515e-09,0.0
1824,1.1789557774477544e-08,0.0
1825,2.641632912414593e-09,7.924898959288385e-09
1826,1.3211976401805714e-08,6.1655889282974385e-09
1827,2.1199728195142598e-08,1.8434546333878643e-08
1828,4.586150570418113e-09,7.337841001486822e-09
1829,3.943661042171698e-08,6.001223074036943e-09
1830,2.7135772739939057e-08,8.349468672008697e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,1.0823975493678972e-08,6.764984572527055e-09
1833,1.6217079235048004e-08,9.266902800675325e-09
1834,2.333632664885954e-08,1.8669061851994684e-09
1835,2.0420337421001022e-08,1.663879345414898e-08
1836,1.8818100855355624e-08,2.016224964762614e-09
1837,1.1828414692161004e-08,0.0
1838,3.7241754569095065e-08,3.787297142565649e-09
1839,1.8177836125232716e-08,1.3982950353153e-09
1840,2.8663599493938818e-08,1.2739377330817092e-09
1841,3.5955071808757566e-08,2.5682194149112547e-09
1842,2.683306021822318e-09,2.683306021822318e-09
1843,1.2995204023980023e-08,5.906910960362666e-09
1844,3.2931368743049916e-09,4.390849017710252e-09
1845,1.2834524554250493e-08,8.37034175305007e-09
1846,2.5759806732139623e-08,6.439951683034906e-09
1847,3.235934187273415e-08,3.775256551818984e-09
1848,1.850401076808339e-08,8.045221711050488e-10
1849,1.256912263158938e-08,1.6758829879393033e-09
1850,3.055048125588655e-08,7.467895635215882e-09
1851,1.2253933867611977e-08,2.579775504329973e-09
1852,3.059956199535918e-08,0.0
1853,1.851298847554972e-08,5.971931837933653e-10
1854,1.9743524148907454e-08,6.234797567117312e-09
1855,1.1675261646360013e-08,3.1841622671890946e-09
1856,1.7602443946884705e-08,9.836659486950339e-09
1857,1.0251168802710708e-08,1.4644527812635033e-09
1858,6.361778659424999e-09,7.34051397444091e-09
1859,1.7313389832906978e-08,1.018434669930457e-08
1860,7.781213007262977e-09,5.950338888283113e-09
1861,7.545541969022906e-09,4.715963730639317e-10
1862,1.8975542914745347e-08,9.035972858839614e-09
1863,2.5472566278494924e-08,9.989241656072068e-10
1864,1.7740493518658695e-08,5.274200631788517e-09
1865,8.47231973466478e-09,6.118897832863013e-09
1866,7.784980660119345e-09,3.4059290943133647e-09
1867,1.4073153309368536e-08,5.82337378318698e-09
1868,2.222943251695142e-08,4.939874287401835e-09
1869,1.2697149998075474e-08,6.8369265804335555e-09
1870,2.0069171213776826e-08,1.0321287824410774e-08
1871,1.0621176826930423e-08,0.0
1872,9.675742873582749e-09,8.4662747923403e-09
1873,2.334541804316359e-08,0.0
1874,1.4936523129449597e-08,0.0
1875,1.7736734747586524e-08,5.721527140956084e-10
1876,1.5115036333668286e-08,4.232210137899983e-09
1877,2.72131899237138e-08,6.184815992682502e-10
1878,2.1740719446938783e-08,6.6429977074733415e-09
1879,1.2829582729523281e-08,4.887460214320072e-09
1880,1.6044616302224313e-08,1.2835692508872398e-09
1881,1.1156012114099667e-08,0.0
