year,faut_VERB habiller_VERB,faut_VERB rhabiller_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,1.421438877713399e-08,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,3.4508900625951355e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,1.0729059418679299e-08,0.0
1819,0.0,0.0
1820,2.3732962262101864e-09,0.0
1821,1.97229765852569e-09,0.0
1822,0.0,0.0
1823,2.9648061783404955e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,0.0,9.68598712347557e-09
1826,7.927186018719112e-09,0.0
1827,2.7651818612639545e-09,0.0
1828,1.1923991571904935e-08,0.0
1829,1.0287811491593857e-08,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,3.4750886612755494e-09,0.0
1834,0.0,0.0
1835,4.5378527602224494e-09,0.0
1836,2.688300027031687e-09,1.3441500135158435e-09
1837,2.7831563720326358e-09,0.0
1838,7.574594285131298e-09,0.0
1839,3.4957374772659477e-09,0.0
1840,1.6561189752906103e-08,0.0
1841,1.219904177673925e-08,0.0
1842,6.708265054555795e-10,0.0
1843,6.497602011990011e-09,0.0
1844,1.097712254427563e-09,0.0
1845,0.0,0.0
1846,4.6836010625384006e-09,0.0
1847,7.011190739092399e-09,0.0
1848,0.0,0.0
1849,5.02764896381791e-09,8.379414939696517e-10
1850,3.394498016007219e-09,0.0
1851,3.8696632564949596e-09,0.0
1852,1.3021090872200602e-09,0.0
1853,4.180352064508952e-09,0.0
1854,6.754363734984281e-09,0.0
1855,1.0613874223963649e-09,0.0
1856,8.28350277259915e-09,0.0
1857,4.881509085841174e-10,9.763018171682347e-10
1858,1.2234189661342043e-08,0.0
1859,6.619825576592575e-09,0.0
1860,1.1442959468865865e-08,1.373155145145688e-09
1861,5.187560159214399e-09,0.0
1862,1.400575744270327e-08,0.0
1863,5.494082966350788e-09,0.0
1864,4.315255264231155e-09,9.589455896019672e-10
1865,6.118897832863013e-09,0.0
1866,1.0217787504984699e-08,0.0
1867,0.0,2.91168689159349e-09
1868,5.9278488784286765e-09,0.0
1869,9.767038289254515e-10,1.4650557433881772e-09
1870,3.4404292748035914e-09,0.0
1871,8.496941816815706e-09,0.0
1872,4.23313739617015e-09,0.0
1873,1.1373408881354408e-08,1.7958012854535355e-09
1874,1.1949218503559678e-08,0.0
1875,5.149374260327022e-09,0.0
1876,1.209202959984168e-09,0.0
1877,1.5462040536817767e-08,6.184815992682502e-10
1878,7.850815109122777e-09,0.0
1879,7.331190321480108e-09,1.832797580370027e-09
1880,1.4761046607247863e-08,0.0
1881,6.9725074602899895e-09,0.0
1882,9.983077475794744e-09,0.0
1883,6.951272890631799e-09,6.319338941018771e-10
1884,4.621187876807653e-09,1.3203393933736152e-09
1885,9.023890079618013e-09,0.0
1886,1.2906927748801422e-09,0.0
1887,1.2404957061562527e-08,0.0
1888,1.268122939990235e-09,0.0
1889,5.6386229019267375e-09,0.0
1890,1.1797895993481688e-08,0.0
1891,4.461953917456185e-09,0.0
1892,4.387958441043338e-09,0.0
1893,8.005941687372342e-09,0.0
1894,6.301539290376468e-10,0.0
1895,3.0093072478365457e-09,0.0
1896,5.89702897624278e-10,0.0
1897,1.1070755867592652e-08,0.0
1898,3.3950129374460403e-09,0.0
1899,3.3165470370022376e-09,0.0
1900,7.786579381274805e-09,0.0
1901,3.912117296778206e-09,0.0
1902,9.820567692386817e-10,0.0
1903,1.2420506401156217e-08,5.400220270956879e-10
1904,7.524475265086039e-09,0.0
1905,8.257214467732865e-09,0.0
1906,6.173021205313489e-09,0.0
1907,1.0285686968813934e-08,1.5428529565042481e-09
1908,6.875944702500192e-09,0.0
1909,3.850688656825696e-09,0.0
1910,1.2291546447329438e-08,0.0
1911,5.3203743632934675e-09,0.0
1912,6.772247651554153e-09,5.209421227725386e-10
1913,7.42418571064718e-09,5.30298971401777e-10
1914,2.678697486047099e-09,0.0
1915,1.1780761921542648e-09,0.0
1916,2.307367097387214e-08,0.0
1917,8.773139548168274e-09,0.0
1918,2.2972752589112133e-09,0.0
1919,1.8415696745321952e-09,0.0
1920,8.329454459499175e-09,7.572231730534895e-10
1921,4.543648568500203e-09,0.0
1922,4.426761179843197e-09,0.0
1923,4.246379248229459e-09,0.0
1924,1.5469948877466777e-08,0.0
1925,6.598906754362588e-09,0.0
1926,4.458455382660986e-09,3.343841648018042e-09
1927,1.0034302277972529e-08,0.0
1928,1.2568645679778001e-08,0.0
1929,1.7824650200282122e-08,0.0
1930,5.2518016602221e-09,1.0503603542488804e-09
1931,1.1405356659111021e-08,0.0
1932,7.6716757391182e-09,0.0
1933,4.588264879146209e-09,0.0
1934,3.5944740517379614e-09,0.0
