year,doit_VERB appliquer_VERB,doit_VERB rappliquer_VERB
1800,2.3266817095191072e-07,0.0
1801,3.7384566553555487e-07,0.0
1802,2.304975339484372e-07,0.0
1803,2.5354410126965377e-07,0.0
1804,4.523487291407946e-07,0.0
1805,2.6154475563089363e-07,2.842877711017877e-09
1806,2.2765186713513685e-07,0.0
1807,6.747283691765915e-07,0.0
1808,4.917380351798784e-07,0.0
1809,4.6987835844447545e-07,0.0
1810,3.3931837606360205e-07,0.0
1811,4.6882334459041886e-07,0.0
1812,7.228134109027451e-07,0.0
1813,5.693968319064879e-07,0.0
1814,4.688548926878866e-07,0.0
1815,4.962891466675501e-07,0.0
1816,3.6849903040092613e-07,0.0
1817,2.9736281703662826e-07,0.0
1818,3.159111940931325e-07,0.0
1819,4.492355571983353e-07,0.0
1820,3.4175465657426685e-07,0.0
1821,2.9091390274516016e-07,0.0
1822,3.027735999694414e-07,0.0
1823,2.2829006240954186e-07,0.0
1824,3.797921692694217e-07,0.0
1825,3.883200463405956e-07,0.0
1826,4.0516727040085243e-07,2.6423953025656033e-09
1827,5.02341379160498e-07,0.0
1828,5.585931717178028e-07,0.0
1829,4.295161204481701e-07,0.0
1830,4.2269184064025467e-07,0.0
1831,3.4612477861628577e-07,1.5591206103948707e-09
1832,4.451359814083844e-07,1.3529969367098715e-09
1833,6.058237431716407e-07,0.0
1834,3.9485064462496666e-07,0.0
1835,3.9933104289957555e-07,0.0
1836,3.951801090806839e-07,0.0
1837,3.45807166013401e-07,0.0
1838,3.900915999111021e-07,0.0
1839,3.7893795479249093e-07,0.0
1840,3.668940564693912e-07,0.0
1841,3.325844204482564e-07,0.0
1842,3.407798772059323e-07,6.708265054555795e-10
1843,3.101128243088169e-07,0.0
1844,4.308520544782368e-07,0.0
1845,3.705271467424609e-07,0.0
1846,4.238658846134058e-07,0.0
1847,3.7806498198733607e-07,0.0
1848,3.7892993987043155e-07,8.045221711050488e-10
1849,4.75950770351119e-07,8.379414939696517e-10
1850,3.822204632797366e-07,6.788996032014438e-10
1851,3.959955279242422e-07,0.0
1852,4.2969600144715514e-07,0.0
1853,4.801433419743262e-07,0.0
1854,3.439529905335803e-07,0.0
1855,2.998419574851141e-07,0.0
1856,3.3703503277138225e-07,5.177189232874468e-10
1857,2.924024045114493e-07,0.0
1858,2.823651072958455e-07,0.0
1859,3.472862317721592e-07,0.0
1860,2.5449142526667856e-07,0.0
1861,2.3108222535483947e-07,0.0
1862,3.3613818573030585e-07,0.0
1863,2.826955380896834e-07,0.0
1864,2.387774600265402e-07,0.0
1865,2.805279279982642e-07,4.706844358715045e-10
1866,2.9242332288959005e-07,0.0
1867,2.465228305936762e-07,0.0
1868,2.3316205499668285e-07,0.0
1869,2.861742132154177e-07,4.883519144627257e-10
1870,2.712205002808332e-07,0.0
1871,2.156099014882784e-07,0.0
1872,2.2798468535256688e-07,6.047339295989218e-10
1873,3.1187082072392514e-07,0.0
1874,2.927558568899258e-07,5.974609140757536e-10
1875,4.49712047156936e-07,0.0
1876,3.2104338743010885e-07,6.04601479992084e-10
1877,2.554328943915607e-07,6.184815992682502e-10
1878,4.0643067222845275e-07,6.039088673581716e-10
1879,1.9672027917749801e-07,0.0
1880,3.2795193760648544e-07,1.2835692508872398e-09
1881,2.3915700353427383e-07,0.0
1882,3.1080648454917537e-07,0.0
1883,2.7741899089051003e-07,0.0
1884,2.8387296424625674e-07,0.0
1885,3.7384685924735095e-07,0.0
1886,3.459056756582868e-07,6.453463874400711e-10
1887,4.7530571123388654e-07,6.528924623161458e-10
1888,3.683897205064568e-07,0.0
1889,3.8718545170013385e-07,0.0
1890,3.309965279640892e-07,6.554386478008212e-10
1891,4.0795009681460215e-07,6.374220040683554e-10
1892,3.0276913776106085e-07,0.0
1893,4.058396427808475e-07,0.0
1894,2.5143143034256354e-07,0.0
1895,3.412554292481218e-07,0.0
1896,3.0782490512137883e-07,5.89702897624278e-10
1897,3.1347718731922214e-07,0.0
1898,3.225262332762213e-07,0.0
1899,3.299964248526521e-07,0.0
1900,3.088676692186709e-07,0.0
1901,3.4370745538581104e-07,0.0
1902,2.5287963012488035e-07,4.910283846193408e-10
1903,3.747752828076045e-07,0.0
1904,3.015164793396252e-07,0.0
1905,2.7558454007703403e-07,1.0321518084666081e-09
1906,3.153385250698193e-07,0.0
1907,6.454268373090599e-07,5.142843373384665e-10
1908,3.2169597830034036e-07,0.0
1909,2.7009829750568315e-07,0.0
1910,2.9660037625944824e-07,0.0
1911,3.1390206345349725e-07,0.0
1912,2.787040216389869e-07,0.0
1913,3.070431091600767e-07,0.0
1914,3.060411870592361e-07,0.0
1915,2.874506037642277e-07,0.0
1916,2.7358780130271043e-07,0.0
1917,2.522277497973846e-07,0.0
1918,2.871593949294038e-07,0.0
1919,2.3019620698505605e-07,0.0
1920,3.3014930522767827e-07,0.0
1921,3.074535470659612e-07,0.0
1922,2.597033414986072e-07,0.0
1923,2.972465438233485e-07,0.0
1924,2.707241151256312e-07,0.0
1925,3.2884551615097735e-07,0.0
1926,2.909142153839639e-07,0.0
1927,3.155230672291509e-07,0.0
1928,4.364747780982725e-07,1.1426041224282812e-09
1929,4.5564263473352185e-07,0.0
1930,3.8548225234080746e-07,0.0
1931,4.060306935116387e-07,0.0
1932,3.1892250262899324e-07,0.0
1933,3.452669261605479e-07,0.0
1934,3.762216067570989e-07,0.0
1935,3.147658844682155e-07,0.0
1936,2.897806723467511e-07,0.0
1937,3.298872854884394e-07,1.2591118148108649e-09
1938,3.241303545564733e-07,1.2965214457594243e-09
1939,2.8141053576291597e-07,0.0
1940,2.0539842182643042e-07,0.0
1941,3.158107801937149e-07,2.9515025978810172e-09
1942,1.7295006671247393e-07,0.0
1943,1.7129087837020052e-07,0.0
1944,2.0243072640369064e-07,0.0
1945,2.047793827841815e-07,0.0
1946,1.865427918801288e-07,0.0
1947,1.609317621387163e-07,0.0
1948,1.6742707487082953e-07,0.0
1949,2.493520128155069e-07,0.0
1950,2.9672659707102866e-07,0.0
1951,2.676011945368373e-07,0.0
1952,2.7732835405913647e-07,0.0
1953,2.8658379847001925e-07,0.0
1954,2.4138165599651984e-07,0.0
1955,2.224388992999593e-07,0.0
1956,2.3547082150798815e-07,0.0
1957,2.809541967963014e-07,0.0
1958,2.3658616044031078e-07,0.0
1959,2.5887499077725806e-07,0.0
1960,2.1454583531976823e-07,6.920833350854139e-10
1961,2.424907563636225e-07,0.0
1962,2.2640784891336807e-07,0.0
1963,2.2178562630870147e-07,6.466053248388448e-10
1964,2.3788315672845783e-07,0.0
1965,2.4514753249604837e-07,5.472043373977442e-10
1966,3.0741864520678064e-07,0.0
1967,3.0222958002923406e-07,9.860671168482327e-10
1968,2.3579933383643947e-07,4.4914158503495116e-10
1969,1.8802877832513332e-07,0.0
1970,2.460317887198471e-07,0.0
1971,1.8857919314996252e-07,0.0
1972,1.9084146174463967e-07,0.0
1973,1.637421576106135e-07,5.513203782392395e-10
1974,2.002703496373215e-07,5.625571675160757e-10
1975,2.3245723923537298e-07,5.711480177694739e-10
1976,1.4740899700882437e-07,0.0
1977,1.727773906168295e-07,0.0
1978,1.4910884260643797e-07,5.940591352171509e-10
1979,1.8550755953583575e-07,0.0
1980,1.8363036247137643e-07,0.0
1981,1.9672458506647672e-07,0.0
1982,1.9553631602775567e-07,0.0
1983,2.0272165102142026e-07,6.315316047889041e-10
1984,1.8962758474572183e-07,0.0
1985,1.930994102394834e-07,0.0
1986,1.852295952176064e-07,5.994485463567401e-10
1987,2.0532344535695302e-07,0.0
1988,2.0987938853522792e-07,5.996553809062277e-10
1989,1.909866540472649e-07,5.488122178931576e-10
1990,2.3211252653254633e-07,5.44865097484859e-10
