year,devront_VERB enseigner_VERB,devront_VERB renseigner_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,4.010246357211145e-09,0.0
1823,0.0,0.0
1824,3.3684450784221553e-09,0.0
1825,0.0,0.0
1826,8.807984341885344e-10,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,1.714635211591542e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,0.0,1.8669061851994684e-09
1835,4.5378527602224494e-09,7.563087933704082e-10
1836,6.720750067579218e-10,0.0
1837,2.0873671680021744e-09,0.0
1838,1.8936485712828244e-09,0.0
1839,0.0,0.0
1840,2.5478754661634184e-09,0.0
1841,6.420548537278137e-09,0.0
1842,3.3541325272778977e-09,0.0
1843,0.0,0.0
1844,3.2931368743049916e-09,0.0
1845,7.254296274794569e-09,0.0
1846,2.9272506640865004e-09,0.0
1847,6.47186837454683e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,0.0,0.0
1850,2.7155984128057753e-09,0.0
1851,1.2898877521649865e-09,0.0
1852,0.0,0.0
1853,1.7915795513800958e-09,0.0
1854,3.63696517347023e-09,0.0
1855,2.1227748447927297e-09,3.1841622671890946e-09
1856,0.0,0.0
1857,1.9526036343364694e-09,0.0
1858,9.787352039936081e-10,0.0
1859,3.055304009791371e-09,0.0
1860,2.288591982591015e-09,0.0
1861,2.8295783494058924e-09,0.0
1862,2.710791813242963e-09,0.0
1863,1.9978483312144135e-09,0.0
1864,1.4384183844029508e-09,0.0
1865,1.882737743486018e-09,0.0
1866,9.731225825149181e-10,0.0
1867,2.91168689159349e-09,9.7056229719783e-10
1868,5.9278488784286765e-09,6.421836395986702e-09
1869,9.278686263769487e-09,0.0
1870,1.0894693147633916e-08,0.0
1871,3.18635318130589e-09,0.0
1872,1.8142017887967654e-09,0.0
1873,5.9860045809045914e-09,5.986004469882289e-10
1874,1.1949218281515073e-09,0.0
1875,1.1443054281912168e-09,0.0
1876,7.859819461941697e-09,0.0
1877,1.2369631985365004e-09,1.2369631985365004e-09
1878,2.4156354694326865e-09,0.0
1879,1.0385853066452455e-08,3.665595160740054e-09
1880,8.343199908722454e-09,6.417846254436199e-10
1881,6.9725074602899895e-09,0.0
1882,5.324308105514319e-09,1.3310770263785798e-09
1883,1.1374810426900694e-08,0.0
1884,2.6406787867472303e-09,6.601696966868076e-10
1885,3.86738152613475e-09,3.2228177904158883e-09
1886,2.5813855497602844e-09,6.453463874400711e-10
1887,3.9173548849191775e-09,1.3057849246322917e-09
1888,6.340614699951175e-09,1.268122939990235e-09
1889,5.6386229019267375e-09,0.0
1890,4.5880703680722945e-09,6.554386478008212e-10
1891,1.9760081571007504e-08,0.0
1892,1.3790726782758611e-08,2.5074049503359674e-09
1893,3.079208221734575e-09,1.2932674486876294e-08
1894,8.192000855444803e-09,0.0
1895,4.213029924926559e-09,4.213029924926559e-09
1896,1.533227589334274e-08,0.0
1897,1.6897470089816125e-08,8.157399200570126e-09
1898,1.1882545614128048e-08,5.6583548957434e-10
1899,1.3818945987509323e-08,3.3165470370022376e-09
1900,4.15284251431558e-09,5.191053142894475e-10
1901,1.0059729937950124e-08,0.0
1902,6.38336894454028e-09,4.910283846193408e-10
1903,5.400220270956879e-09,3.7801539676252105e-09
1904,1.5048950530172078e-08,1.6123875568041512e-09
1905,5.160758931310738e-09,4.1286072338664326e-09
1906,1.3374879870298173e-08,3.0865106026567446e-09
1907,6.1714118260169926e-09,6.1714118260169926e-09
1908,6.875944702500192e-09,4.4202499438483756e-09
1909,1.3752458727367411e-08,4.950885035270858e-09
1910,1.2291546447329438e-08,1.068830135508847e-09
1911,1.3300935464144459e-08,9.576673676292558e-09
1912,2.7088990606216612e-08,7.814131564032323e-09
1913,8.484783542428431e-09,5.302989602995467e-09
1914,1.1384464038144415e-08,4.018046340092951e-09
1915,5.890381071793627e-09,2.3561523843085297e-09
1916,8.789969641043172e-09,8.789969641043172e-09
1917,7.676496771580332e-09,9.869782324756216e-09
1918,3.44591288836682e-09,4.594550517822427e-09
1919,7.366278698128781e-09,9.207848372660976e-10
1920,4.543339038320937e-09,1.1358347151713133e-08
1921,6.815472630705699e-09,5.300923255902035e-09
1922,1.1066902949607993e-08,5.902348387820666e-09
1923,3.1847844361720945e-09,4.246379248229459e-09
1924,2.578324886925998e-09,5.156649773851996e-09
1925,1.2097995494286806e-08,3.299453377181294e-09
1926,2.229227691330493e-09,1.1146138456652466e-09
1927,4.4596899506643695e-09,2.2298449753321847e-09
1928,0.0,2.2852082448565625e-09
1929,3.342121912552898e-09,2.2280812750352652e-09
1930,5.2518016602221e-09,0.0
1931,9.124285327288817e-09,1.1405356659111021e-09
1932,1.4247397928102146e-08,3.287861094491973e-09
1933,1.1470662641954732e-08,4.588264879146209e-09
1934,3.5944740517379614e-09,4.7926320689839486e-09
1935,3.590485242455088e-09,8.377798899061872e-09
1936,2.424942913137329e-09,0.0
1937,6.295559185076627e-09,5.0364472592434595e-09
1938,1.1668692678767911e-08,2.5930428915188486e-09
1939,4.588215141154706e-09,0.0
1940,0.0,0.0
1941,8.854508237732261e-09,5.9030051957620344e-09
1942,0.0,0.0
1943,2.9032352077962287e-09,2.9032352077962287e-09
1944,0.0,6.4263723231761105e-09
1945,1.089252066321933e-08,4.357008087652048e-09
1946,2.7842208538686464e-09,4.1763312808029696e-09
1947,8.344609447874518e-09,0.0
1948,8.697510267552389e-09,0.0
1949,1.0798709482173763e-08,1.9634016634739737e-09
1950,1.3825969702452312e-08,2.1270722960764488e-09
1951,7.462981344019681e-09,0.0
1952,2.1089607837865287e-09,2.1089607837865287e-09
1953,1.0773827385790469e-09,2.1547654771580937e-09
1954,3.9090144454689835e-09,3.9090144454689835e-09
1955,9.385607846468247e-10,1.8771215692936494e-09
1956,1.3953826538681824e-08,0.0
1957,7.951533653738352e-09,0.0
1958,4.1361216673863055e-09,3.3088973783179654e-09
1959,3.100299128533379e-09,1.5501495642666896e-09
1960,3.460416619915918e-09,2.7683333403416555e-09
1961,6.25334317660986e-09,6.948159270159238e-10
1962,3.170978146727066e-09,1.2683912808952869e-09
1963,7.1126584622049904e-09,0.0
1964,4.258777774879263e-09,0.0
1965,3.830430195250756e-09,2.188817349590977e-09
1966,4.985167390003653e-09,5.539074754423723e-10
1967,5.423369309198733e-09,2.465167847631733e-09
1968,4.940557296606585e-09,0.0
1969,1.2716921737876419e-08,0.0
1970,1.0117195081704722e-08,4.5987250119061684e-10
1971,8.221435976452085e-09,1.0276794970565106e-09
1972,4.104117490300041e-09,0.0
1973,6.064523994098181e-09,1.102640756478479e-09
1974,5.06301445213353e-09,1.1251143350321513e-09
1975,5.140332159925265e-09,0.0
1976,4.570821499072508e-09,0.0
1977,8.815172591880582e-09,0.0
1978,7.128709622605811e-09,5.940591352171509e-10
1979,2.3407893401383717e-09,0.0
1980,4.548120546843393e-09,0.0
1981,4.427884725544118e-09,6.325549528618524e-10
1982,3.7245013739806154e-09,0.0
1983,2.5261264191556165e-09,0.0
1984,0.0,5.799008495621649e-10
1985,4.210890747202711e-09,0.0
1986,1.1988970927134801e-09,0.0
1987,3.0554083707556856e-09,0.0
1988,6.596209356501959e-09,0.0
1989,4.939309850016116e-09,0.0
1990,5.993515905799995e-09,0.0
1991,5.861465202094962e-10,0.0
1992,2.7549720282848966e-09,0.0
1993,2.2156829704300662e-09,0.0
1994,6.857404422078162e-09,5.274926606624319e-10
1995,5.964695848348356e-09,1.626735190995987e-09
1996,0.0,0.0
1997,8.630809844589749e-09,4.79489448146353e-10
1998,6.198567881199324e-09,4.768129224785866e-10
1999,1.8280804647829996e-09,0.0
2000,1.7672125984802278e-09,0.0
2001,3.5049694258049158e-09,0.0
2002,3.504977197366088e-09,0.0
2003,5.416999737661854e-09,4.1669229178253886e-10
2004,8.369103632333008e-09,0.0
2005,4.503749373441224e-09,0.0
2006,4.941467679486777e-09,0.0
2007,4.7933754743212376e-09,0.0
2008,6.3861596011349775e-09,0.0
2009,4.76819250749827e-09,0.0
2010,6.140930874920514e-09,0.0
2011,3.059177577924288e-09,3.82397197240536e-10
2012,2.7234021704458655e-09,3.404252713057332e-10
2013,1.6734750252211938e-09,8.367375126105969e-10
2014,3.031623174720721e-09,4.330890368553497e-10
2015,1.329945265027277e-09,4.433150790905671e-10
2016,1.86420612280358e-09,2.0713400439298368e-10
2017,2.264050280587071e-09,1.0062445321423752e-09
2018,1.5488800242380307e-09,0.0
2019,7.65296326310505e-10,2.55098775436835e-10
