year,pourraient_VERB acheter_VERB,pourraient_VERB racheter_VERB
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,8.503792514602537e-08,0.0
1803,9.751696339321825e-09,5.851017448321727e-09
1804,6.426812149129546e-08,1.730295728918918e-08
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,2.4926814390369145e-08,0.0
1809,9.036122072814123e-09,2.259030518203531e-09
1810,9.360507036149102e-09,9.360507036149102e-09
1811,5.0141535368197765e-09,0.0
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,1.4378708002027452e-08,0.0
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,1.556873407970727e-09,1.556873407970727e-09
1818,5.960588467246453e-09,2.384235475716423e-09
1819,1.449147024601416e-08,1.035105001712111e-09
1820,4.746592452420373e-08,4.746592452420373e-09
1821,2.9584463767662328e-09,9.86148829262845e-10
1822,2.105379337535851e-08,6.015369535816717e-09
1823,1.581229902569703e-08,9.882686891060644e-10
1824,2.7789671008804362e-08,1.0105335235266466e-08
1825,2.641632912414593e-09,8.805443485471187e-09
1826,2.7304752237000685e-08,0.0
1827,1.8434546333878643e-08,1.8434546111834038e-09
1828,1.0089530988466322e-08,1.8344602503717056e-09
1829,1.7146351893870815e-08,1.714635211591542e-09
1830,5.218417697960831e-09,6.262101504006523e-09
1831,9.354723218280014e-09,4.677361609140007e-09
1832,1.0823975493678972e-08,8.117981842303834e-09
1833,4.170106393530659e-08,1.1583628500844156e-09
1834,1.120143711119681e-08,9.334531370086552e-09
1835,1.0588323107185715e-08,3.781543966852041e-09
1836,1.4785650037651976e-08,1.5457725766054864e-08
1837,9.045257876039159e-09,6.957891152126194e-09
1838,2.019891809368346e-08,6.312161904276081e-09
1839,2.0974425751774106e-08,8.38977065598101e-09
1840,2.356784811752277e-08,1.46502836528839e-08
1841,2.247191943638427e-08,1.2841097074556274e-08
1842,1.7441490030023488e-08,1.341653010911159e-09
1843,3.18973185642335e-08,1.063243981747064e-08
1844,2.030767731753258e-08,1.866110821424627e-08
1845,2.399498022498392e-08,5.580227835366713e-09
1846,3.0443406018321184e-08,1.0538101946622191e-08
1847,4.58424018745518e-08,9.707802561820245e-09
1848,5.390298696283935e-08,0.0
1849,3.4355601030711114e-08,1.6758829879393033e-09
1850,2.7155984128057753e-08,6.1100964288129944e-09
1851,7.739326512989919e-09,1.0319102017319892e-08
1852,5.859490670445666e-09,3.2552727180501506e-09
1853,9.555090940693844e-09,0.0
1854,1.558699302961486e-08,3.63696517347023e-09
1855,4.5108965451845506e-08,6.8990182455763716e-09
1856,2.2261913201759853e-08,7.248064815001953e-09
1857,1.5620829074691756e-08,8.78671624349181e-09
1858,9.787352261980686e-09,9.787352261980686e-09
1859,2.5460867192350634e-08,1.0693564256314403e-08
1860,2.5174511364411956e-08,2.746310290291376e-09
1861,1.6034276129062164e-08,1.0375120318428799e-08
1862,2.2589931703009825e-08,0.0
1863,9.489779628779615e-09,1.9978483312144135e-09
1864,1.6302074357099627e-08,9.589455896019672e-10
1865,2.3063536858103362e-08,6.589582213223366e-09
1866,2.1895258939252926e-08,2.919367858567057e-09
1867,2.038180824115443e-08,6.308654931785895e-09
1868,1.778354707937524e-08,2.9639244392143382e-09
1869,6.8369265804335555e-09,3.906815315701806e-09
1870,1.0321287824410774e-08,5.734048791339319e-10
1871,7.434824311758348e-09,2.1242354542039266e-09
1872,2.7817760539505798e-08,7.861540751719076e-09
1873,1.1972008939764578e-09,1.1972008939764578e-09
