year,devaient_VERB amener_VERB,devaient_VERB ramener_VERB
1800,3.772997558826319e-08,0.0
1801,5.714838380299625e-08,4.7623650800687756e-08
1802,2.0140561218795483e-08,2.0140561218795483e-08
1803,2.145373123596528e-08,0.0
1804,1.2112069214254007e-07,1.4831105232815389e-08
1805,3.980028751016107e-08,8.528632911009026e-09
1806,3.7461699520235925e-08,2.881669125542885e-09
1807,8.256169792275614e-08,6.832692633906845e-08
1808,4.985362878073829e-08,0.0
1809,6.777091243748146e-08,0.0
1810,3.7442028144596406e-08,1.1700633351097167e-08
1811,7.019814773912003e-08,2.5070767684098882e-09
1812,4.000812481308458e-08,0.0
1813,8.627225156487839e-08,0.0
1814,1.3845379953636439e-07,3.1466771410748606e-09
1815,8.361393355471591e-08,5.664169577812572e-08
1816,1.5527946573001827e-07,4.6352077731626196e-09
1817,7.005930058312515e-08,1.401186100480345e-08
1818,9.894576891156248e-08,2.026600220972341e-08
1819,1.0454560595007933e-07,8.280840013696888e-09
1820,1.8393045309039735e-07,3.085285271708926e-08
1821,1.893405681130389e-07,1.676452932031225e-08
1822,1.7544827812798758e-07,1.2030739071633434e-08
1823,1.5318164514610544e-07,1.581229902569703e-08
1824,1.4484314192486636e-07,2.863178316658832e-08
1825,1.831532188134588e-07,2.0252519661312363e-08
1826,1.7704049071198824e-07,2.8185549894033102e-08
1827,2.0646692178161175e-07,2.7651818612639545e-09
1828,1.6785311629519128e-07,1.4675682002973645e-08
1829,1.6717693540613254e-07,1.2002446148073886e-08
1830,1.5029043254344288e-07,9.39315203396518e-09
1831,2.229542417353514e-07,2.182768810143898e-08
1832,1.7318360789886356e-07,1.6235963684607668e-08
1833,2.3051420328101813e-07,2.4325620628928846e-08
1834,1.5588666713028942e-07,2.14694217959277e-08
1835,8.773182003096736e-08,4.5378527602224494e-08
1836,1.518889547469371e-07,1.9490174807401672e-08
1837,1.426367646217841e-07,4.453050195252217e-08
1838,2.3165634388533363e-07,2.1461350030449466e-08
1839,2.1813401929193788e-07,3.216078425793967e-08
1840,2.586093614809215e-07,3.567025785855549e-08
1841,2.2279303379946214e-07,2.760835826620678e-08
1842,2.408267221198912e-07,2.884553929050071e-08
1843,2.2564400126157125e-07,1.8311423488626133e-08
1844,2.563158147950162e-07,2.030767731753258e-08
1845,2.723151339978358e-07,4.2409730838244286e-08
1846,2.2305650304588198e-07,2.6930706553685013e-08
1847,2.5671744197097723e-07,2.588747349818732e-08
1848,2.3813856842025416e-07,1.126331028444838e-08
1849,2.2792008280703158e-07,1.508294644736452e-08
1850,2.0027538027989067e-07,2.2403686017469226e-08
1851,2.4894833927646687e-07,2.192809134271556e-08
1852,2.246138137707021e-07,2.539112742283578e-08
1853,1.6542250591555785e-07,2.8665272822081533e-08
1854,2.2497226837003836e-07,1.6626126253527218e-08
1855,1.783130869625893e-07,1.539011762474729e-08
1856,2.598949038201681e-07,1.346069211649592e-08
1857,2.1966791052818735e-07,2.5871997877402464e-08
1858,2.7159902060702734e-07,1.0766087576996597e-08
1859,2.316938889634912e-07,1.9350258284589472e-08
1860,2.503719542801264e-07,2.7920821210614122e-08
1861,2.419289444333117e-07,2.1221836732365773e-08
1862,2.502964377981698e-07,6.776979422085105e-09
1863,2.5672352421679534e-07,2.0477944673302773e-08
1864,1.879533328974503e-07,3.16452037907311e-08
1865,1.9721677801953774e-07,1.6003271596787272e-08
1866,1.9413795371292508e-07,2.578774882522339e-08
1867,2.0381807530611695e-07,1.6984840200962026e-08
1868,2.193304027287013e-07,1.432563490055827e-08
1869,1.9827088237889257e-07,2.9789466893248573e-08
1870,2.104395946389559e-07,1.8922360567330543e-08
1871,2.421628551019239e-07,2.6552942955504477e-08
1872,2.443125026729831e-07,2.1770421909650395e-08
1873,1.8915774546712782e-07,2.8732820567256567e-08
1874,2.0612401385733392e-07,2.0313670745508716e-08
1875,2.317218559255707e-07,3.547346949517305e-08
1876,2.1886573620122363e-07,3.204387866162506e-08
1877,2.183240042086254e-07,1.9172929910382663e-08
1878,1.9808210538485582e-07,2.536417298415472e-08
1879,2.1077171652450488e-07,2.871382953628654e-08
1880,1.906100379756026e-07,2.2462462112571302e-08
1881,1.7152368059214496e-07,2.719277958362909e-08
1882,1.7437109534057527e-07,1.3976308999019693e-08
1883,1.7694148368718743e-07,1.3902545781263598e-08
1884,1.6570258765113977e-07,1.7824582698722224e-08
1885,1.9981470700258797e-07,1.4824961702686323e-08
1886,1.4842966322703433e-07,1.4842966855610484e-08
1887,1.749751845636638e-07,3.4603299781110763e-08
1888,1.775372169277034e-07,2.7264643875923866e-08
1889,1.7166475174690277e-07,2.5687061366852504e-08
1890,1.527172059923032e-07,2.4906668727453507e-08
1891,1.6190519147585292e-07,2.103492668936724e-08
1892,1.6862298934938735e-07,1.6924984080901595e-08
1893,1.6381387979436113e-07,1.2932674486876294e-08
1894,2.073206388786275e-07,1.3233232287745977e-08
1895,1.9139194762374245e-07,1.5648398132839247e-08
1896,1.757314578298974e-07,1.6511680911435178e-08
1897,1.2643968716474774e-07,2.6220211779559577e-08
1898,1.4711723395066656e-07,1.867257104493092e-08
1899,1.691439024398278e-07,3.15071986278781e-08
1900,1.728620731000774e-07,9.34389543516545e-09
1901,1.4307171625205228e-07,5.029864968975062e-09
1902,1.7824329745508294e-07,1.178468167495339e-08
1903,1.5228620497964585e-07,2.214090244478939e-08
1904,1.7521277584364725e-07,1.7198800605910947e-08
1905,1.6875682717909513e-07,6.192911072844254e-09
1906,1.4455159202952927e-07,1.388929860013377e-08
1907,1.6354242404759134e-07,5.65712765521198e-09
1908,1.7926569739756815e-07,9.822778146428846e-09
1909,1.3367390749863262e-07,1.3752458727367411e-08
1910,1.42154405580186e-07,1.870452770447173e-08
1911,1.4205399168076838e-07,9.044636151145369e-09
1912,1.2971459284472076e-07,2.3963337980603683e-08
1913,1.3999893155869358e-07,1.856046338843953e-08
1914,1.3527422026982094e-07,1.4063162190325329e-08
1915,1.9320449951010232e-07,4.712304768617059e-09
1916,1.4173825491070602e-07,5.493730803607377e-09
1917,1.6559300775043084e-07,1.6449636319748606e-08
1918,2.0330885774910712e-07,1.9526840588923733e-08
1919,1.602165582426096e-07,2.025726608678724e-08
1920,1.2418459505170176e-07,1.1358347151713133e-08
1921,1.2267851445812994e-07,2.9533714140939082e-08
1922,1.0181550891275037e-07,2.0658220023506146e-08
1923,1.1252905096625909e-07,3.6094224498128824e-08
1924,1.405187077807568e-07,2.836157442231979e-08
1925,1.0888196300129493e-07,1.3197813508725176e-08
1926,1.1814906741847153e-07,1.7833821530643945e-08
1927,1.3490561912021803e-07,2.1183527820767267e-08
1928,1.3025686484979815e-07,1.82816659588525e-08
1929,1.3145680100024038e-07,1.6710609784809094e-08
1930,1.2184180775420828e-07,1.1553964007759987e-08
1931,1.368642870147596e-07,1.596749932275543e-08
1932,1.2822657424749195e-07,1.2055489939655217e-08
1933,1.5141273479457595e-07,2.064719240024715e-08
1934,1.4258080227591563e-07,2.7557634396657704e-08
1935,1.4122575464625697e-07,2.154291145473053e-08
1936,1.394342206140209e-07,1.2124714565686645e-08
1937,1.1709740022070037e-07,1.3850230295986421e-08
1938,1.1927997434213466e-07,5.186085783037697e-09
1939,1.5294050115244318e-07,1.070583532936098e-08
1940,1.3186071612381056e-07,3.296517903095264e-08
1941,1.269146139293298e-07,1.1806010391524069e-08
1942,1.061974117533282e-07,3.034211770724937e-09
1943,1.2483911859817454e-07,2.0322646676618206e-08
1944,1.6065931163211644e-07,2.2492303131116387e-08
1945,1.7863733603462606e-07,2.832055301382752e-08
1946,1.1693727230976947e-07,1.9489545977080525e-08
1947,1.3112958185956813e-07,8.344609447874518e-09
1948,1.108932536908469e-07,1.4133454406817236e-08
1949,8.4426268642801e-08,2.6505922789965553e-08
1950,1.0848068399127442e-07,1.4889506516624351e-08
1951,1.0021717855579482e-07,3.1984206394497505e-09
1952,1.0966596164507791e-07,7.381362632230548e-09
1953,1.2713115893348004e-07,1.0773827163745864e-08
1954,1.2997473675113724e-07,1.5636057781875934e-08
1955,1.0511880788044436e-07,1.5016972554349195e-08
1956,1.0203735456570939e-07,1.657016923672927e-08
1957,9.01173820011536e-08,7.951533653738352e-09
1958,8.768578396711746e-08,1.3235589513271862e-08
1959,1.0230986902115546e-07,6.200598257066758e-09
1960,8.789458405544792e-08,8.305000243069571e-09
1961,8.546236074380431e-08,1.528595028332802e-08
1962,5.7711801559889864e-08,1.9660065575521912e-08
1963,9.117135135738863e-08,5.819448034571906e-09
1964,9.186792482296369e-08,1.9468698653213323e-08
1965,1.0834645536306198e-07,1.91521518644322e-08
1966,8.640956394856403e-08,7.754704434148607e-09
1967,8.677390894717973e-08,9.860671390526932e-09
1968,9.521801302980748e-08,1.122853987567396e-08
1969,8.356834513278955e-08,1.4533624970169967e-08
1970,9.657322408429536e-08,1.1496812390987543e-08
1971,8.17005201270149e-08,4.624557625731995e-09
1972,7.13090386739168e-08,1.2312352026810913e-08
1973,7.112032562872628e-08,1.268036875501366e-08
1974,8.325846323486985e-08,5.625571564138454e-09
1975,9.423942515240924e-08,9.138368284311582e-09
1976,6.913367656125047e-08,1.085570122683066e-08
1977,7.816120017878347e-08,1.2928920156696222e-08
1978,8.970292952881209e-08,7.128709622605811e-09
1979,6.320131262782525e-08,7.607565244427406e-09
1980,5.230338473438678e-08,8.527726080842513e-09
1981,5.8827609450418095e-08,1.3283654176632353e-08
1982,6.82825245235108e-08,1.738100685599875e-08
1983,4.357568172963511e-08,5.052252838311233e-09
1984,5.219107634957254e-08,5.799008384599347e-09
1985,4.752291005161169e-08,1.4437339324047116e-08
1986,4.495863947795442e-08,8.991728250862252e-09
1987,5.071978037562985e-08,1.4054879038383206e-08
1988,4.8572086797094016e-08,8.395175221664886e-09
1989,4.610022585893603e-08,8.232182935330457e-09
1990,2.669838927715773e-08,9.80757164370516e-09
1991,4.10302547493302e-08,5.8614650910726596e-09
1992,3.691662442406596e-08,1.322386644631024e-08
1993,3.545092752688106e-08,1.3848018731721368e-08
1994,5.274926451193096e-08,1.002236071911966e-08
1995,4.825981392286849e-08,1.3556126887692699e-08
1996,4.217092808289635e-08,4.804283193493575e-09
1997,3.787966562640577e-08,9.58978851883785e-09
1998,3.242328006081152e-08,1.2397135762398648e-08
1999,3.656160885157078e-08,1.4624643718263997e-08
2000,3.7111465900352414e-08,1.4579503826439577e-08
2001,2.760163475556965e-08,1.095302959441824e-08
2002,4.468845915539532e-08,9.63868718173444e-09
2003,4.000246178748057e-08,8.333845613606172e-09
2004,3.0833540165531304e-08,8.369103632333008e-09
2005,3.1075870765562286e-08,7.205999352777326e-09
2006,2.7178073125355695e-08,9.471146533712727e-09
2007,2.1969636776475454e-08,9.18730247434496e-09
2008,2.937633425403874e-08,1.4049550856043425e-08
2009,3.1946889578193804e-08,7.629108011997232e-09
2010,3.542844595472161e-08,4.723792912386671e-09
2011,2.1796640936599943e-08,6.500752380844688e-09
2012,3.7787206252914984e-08,1.2255309655984092e-08
2013,3.2911675162949905e-08,1.3945625099154313e-08
2014,3.13989545475124e-08,1.515811653973742e-08
2015,3.6130177960558285e-08,1.7289288223309995e-08
2016,5.965459592971456e-08,1.8434926474242275e-08
2017,2.3143623906207722e-08,1.0062445099379147e-08
2018,3.3300921131740324e-08,1.884470712809616e-08
2019,2.9081260066732284e-08,1.198964216797549e-08
