year,ait_VERB attrapé_VERB,ait_VERB rattrapé_VERB
1800,0.0,0.0
1801,0.0,1.4287095950749062e-08
1802,1.3427040812530322e-08,0.0
1803,3.900678446910888e-09,1.950339223455444e-09
1804,2.4718509461507665e-09,7.4155526164076946e-09
1805,2.55858996212055e-08,8.528632911009026e-09
1806,2.5935023018064385e-08,8.645007376628655e-09
1807,3.9857372513552036e-08,0.0
1808,0.0,0.0
1809,3.162642769893864e-08,0.0
1810,2.3401266702194334e-08,0.0
1811,7.521229861140455e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,0.0
1818,8.344824387052086e-09,0.0
1819,8.280840013696888e-09,0.0
1820,1.0679833017945839e-08,1.1866481131050932e-09
1821,0.0,0.0
1822,1.0025615893027862e-09,2.0051231786055723e-09
1823,8.894418535021487e-09,0.0
1824,3.3684450784221553e-09,0.0
1825,3.522177216552791e-09,0.0
1826,6.1655889282974385e-09,8.807984341885344e-10
1827,1.1982455028203276e-08,0.0
1828,3.668920500743411e-09,0.0
1829,9.430493719264632e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,1.4935249481595747e-08,0.0
1835,3.781543966852041e-09,0.0
1836,5.376600054063374e-09,0.0
1837,2.7831563720326358e-09,0.0
1838,3.1560809521380406e-09,0.0
1839,1.2584655095793096e-08,0.0
1840,0.0,1.2739377330817092e-09
1841,3.2102742686390684e-09,0.0
1842,1.341653010911159e-09,2.0124795163667386e-09
1843,3.5441467538532834e-09,1.1813822142769936e-09
1844,2.7442805805577564e-09,2.195424508855126e-09
1845,2.7901139176833567e-09,5.580227946389016e-10
1846,4.6836010625384006e-09,0.0
1847,3.235934187273415e-09,0.0
1848,0.0,0.0
1849,3.3517659758786067e-09,0.0
1850,3.394498016007219e-09,0.0
1851,1.2898877521649865e-09,0.0
1852,1.3021090872200602e-09,6.510545436100301e-10
1853,1.7915795513800958e-09,5.971931837933653e-10
1854,2.0782657816909023e-09,1.0391328908454511e-09
1855,1.0613874223963649e-09,1.5920811335945473e-09
1856,4.141751386299575e-09,0.0
1857,2.9289055625270066e-09,0.0
1858,1.468102750479261e-09,0.0
1859,1.018434669930457e-09,0.0
1860,3.204028820036342e-09,0.0
1861,2.8295783494058924e-09,0.0
1862,9.035972525772706e-10,6.776979422085105e-09
1863,3.496234635136375e-09,1.9978483312144135e-09
1864,1.9178911792039344e-09,0.0
1865,9.41368871743009e-10,0.0
1866,1.4596839292835284e-09,0.0
1867,9.7056229719783e-10,4.85281148598915e-10
1868,3.457911734727759e-09,0.0
1869,4.395167341186834e-09,0.0
1870,2.8670243956696595e-09,5.734048791339319e-10
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,1.8142017887967654e-09,0.0
1873,4.190203295451056e-09,0.0
1874,2.9873046258899194e-09,0.0
1875,6.293679799540541e-09,0.0
1876,1.813804439976252e-09,1.209202959984168e-09
1877,9.895705588292003e-09,0.0
1878,9.662541877730746e-09,6.039088673581716e-10
1879,7.331190321480108e-09,1.832797580370027e-09
1880,3.2089231272180996e-09,0.0
1881,6.972507571312292e-10,0.0
1882,1.5307385581309063e-08,6.655385131892899e-10
1883,3.791603475633565e-09,6.319338941018771e-10
1884,7.2618666635548834e-09,6.601696966868076e-10
