year,as_VERB hérité_VERB,as_VERB mérité_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,1.950339223455444e-09
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,0.0,5.685755422035754e-09
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,2.574139479349924e-08
1811,0.0,1.0028307073639553e-08
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,3.1053151161586356e-09,1.035105001712111e-09
1820,9.493184904840746e-09,1.1866481131050932e-09
1821,8.875339574387908e-09,3.94459531705138e-09
1822,2.0051231786055723e-09,8.02049271442229e-09
1823,9.882686891060644e-10,1.581229902569703e-08
1824,3.3684450784221553e-09,1.0947446504872005e-08
1825,2.641632912414593e-09,3.522177216552791e-09
1826,1.7615968683770689e-09,1.7615968683770689e-09
1827,5.530363722527909e-09,1.8434546111834038e-09
1828,9.172301251858528e-10,4.586150570418113e-09
1829,0.0,2.571952872898464e-09
1830,0.0,1.878630406793036e-08
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,1.1583628500844156e-09,2.3167257001688313e-09
1834,1.4001796166951408e-08,3.733812370398937e-09
1835,3.781543966852041e-09,3.781543966852041e-09
1836,6.72075017860152e-09,1.3441500135158435e-09
1837,0.0,4.174734336004349e-09
1838,1.8936485712828244e-09,4.418513555037862e-09
1839,7.690622361167243e-09,5.5931801412612e-09
1840,1.7835128929277744e-08,5.095750932326837e-09
1841,8.988767952189392e-09,9.630822361827995e-09
1842,9.391571076378114e-09,1.0062397137744483e-08
1843,1.1223130869097986e-08,1.7720733769266417e-09
1844,9.330554107123135e-09,3.841992946007622e-09
1845,3.9061593959388574e-09,3.348136878855712e-09
1846,5.854501328173001e-10,3.5127007969038004e-09
1847,1.6179670936367074e-09,2.1572894581822766e-09
1848,1.6090443422100975e-09,1.6090443422100975e-09
1849,8.379414939696517e-10,2.513824481908955e-09
1850,4.752297222410107e-09,0.0
1851,3.2247193804124663e-09,0.0
1852,3.2552727180501506e-09,1.9531636308300904e-09
1853,3.5831591027601917e-09,4.180352064508952e-09
1854,3.117398783558656e-09,1.0391328908454511e-09
1855,9.021793090369101e-09,5.306937111981824e-10
1856,8.801221973442352e-09,4.659470143053568e-09
1857,3.905207268672939e-09,9.763018171682347e-10
1858,7.34051397444091e-09,1.9574704079872163e-09
1859,5.092173349652285e-09,2.5460866748261424e-09
1860,5.950338888283113e-09,1.1900677776566226e-08
1861,8.017138064531082e-09,2.357981809808507e-09
1862,2.2589932147099034e-09,2.710791813242963e-09
1863,4.495158911765884e-09,1.4983863039219614e-09
1864,1.9178911792039344e-09,4.794727948009836e-10
1865,4.706844247692743e-09,4.706844358715045e-10
1866,5.352174259343201e-09,1.4596839292835284e-09
1867,6.308654931785895e-09,0.0
1868,3.457911734727759e-09,9.87974813071446e-10
1869,4.883519366671862e-09,4.883519144627257e-10
1870,8.601073631098188e-09,1.1468097582678638e-09
1871,8.496941816815706e-09,5.3105884134652115e-09
1872,9.071008832961525e-09,6.047339295989218e-10
1873,6.584604861359367e-09,6.584604861359367e-09
1874,5.377148060148329e-09,5.974609140757536e-10
1875,5.721527251978387e-09,1.716458086775674e-09
1876,1.3301232115736639e-08,6.04601479992084e-10
1877,4.9478527941460015e-09,6.184815992682502e-10
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,3.0546627449723474e-09,1.221865053580018e-09
1880,6.417846254436199e-09,1.2835692508872398e-09
1881,6.9725074602899895e-09,6.972507571312292e-10
1882,7.320923423037584e-09,1.3310770263785798e-09
1883,5.687405213450347e-09,6.319338941018771e-10
1884,4.621187876807653e-09,6.601696966868076e-10
1885,1.2891271383708158e-09,6.445635691854079e-10
1886,5.808117542471791e-09,6.453463874400711e-10
1887,3.9173548849191775e-09,6.528924623161458e-10
1888,5.07249175996094e-09,1.268122939990235e-09
1889,5.6386229019267375e-09,0.0
1890,5.898947996740844e-09,6.554386478008212e-10
1891,2.5496880162734215e-09,0.0
1892,1.1283322720601063e-08,0.0
1893,6.158416554491453e-10,0.0
1894,3.150769645188234e-09,0.0
1895,3.611168697403855e-09,0.0
1896,2.948514543632541e-09,0.0
1897,8.157399200570126e-09,5.826713556089658e-10
1898,1.6975064687230201e-09,5.6583548957434e-10
1899,7.185851913504848e-09,5.527578395003729e-09
1900,5.191053142894475e-10,0.0
1901,1.2295225282343836e-08,1.1177477832191585e-09
1902,4.419255628107521e-09,3.437198747846537e-09
1903,1.0260418292773466e-08,3.2401321625741275e-09
1904,1.0749250378694342e-08,2.6873125946735854e-09
1905,1.0321517862621477e-08,0.0
1906,3.0865106026567446e-09,0.0
1907,3.0857059130084963e-09,0.0
1908,9.822778146428846e-09,9.822778146428846e-10
1909,3.850688656825696e-09,5.500983557560346e-10
1910,2.137660271017694e-09,0.0
1911,6.916486494645824e-09,0.0
1912,8.856016364688912e-09,0.0
1913,1.6439267724877027e-08,5.30298971401777e-10
1914,6.696743604095445e-09,0.0
1915,3.534228465440492e-09,0.0
1916,3.2962386153911893e-09,0.0
1917,2.1932848870420685e-09,3.289927441585405e-09
1918,2.2972752589112133e-09,4.594550517822427e-09
1919,1.1970202606903513e-08,0.0
1920,6.815008557481406e-09,0.0
1921,6.058197943303867e-09,7.572747762196741e-09
1922,2.951174193910333e-09,0.0
1923,1.1677542488541803e-08,0.0
1924,1.289162443462999e-09,2.578324886925998e-09
1925,6.598906754362588e-09,0.0
1926,1.2260752413340015e-08,0.0
1927,1.1149224654616319e-08,2.2298449753321847e-09
1928,5.713020723163709e-09,1.1426041224282812e-09
1929,7.798284684668033e-09,2.2280812750352652e-09
1930,1.1553964007759987e-08,2.100720708497761e-09
1931,3.4216069977333063e-09,0.0
1932,1.4247397928102146e-08,0.0
1933,1.0323596200123575e-08,0.0
1934,7.188948103475923e-09,7.188948103475923e-09
1935,1.3165112555668657e-08,0.0
1936,7.274828739411987e-09,0.0
1937,1.510934133364117e-08,0.0
1938,9.075650453382877e-09,0.0
1939,1.6823456405745674e-08,0.0
1940,2.5357829169792012e-09,2.5357829169792012e-09
1941,2.9515025978810172e-09,0.0
1942,1.2136847082899749e-08,0.0
1943,5.806470415592457e-09,0.0
1944,6.4263723231761105e-09,0.0
1945,1.9606536838523425e-08,0.0
1946,8.352662561605939e-09,0.0
1947,2.3841741914054637e-09,0.0
1948,9.784699273041042e-09,1.0871887834440486e-09
1949,7.853606653895895e-09,3.9268033269479474e-09
1950,1.0635361036293034e-08,1.0635361480382244e-09
1951,9.595261474260042e-09,0.0
1952,2.1089607837865287e-09,1.0544803918932644e-09
1953,1.0773827163745864e-08,0.0
1954,8.795282724349818e-09,9.772536113672459e-10
1955,7.508486277174597e-09,0.0
1956,1.3953826538681824e-08,1.744228317335228e-09
1957,7.068030161150318e-09,0.0
1958,1.3235589513271862e-08,0.0
1959,3.100299128533379e-09,1.5501495642666896e-09
1960,8.997083078554624e-09,0.0
1961,6.94815938118154e-09,6.948159270159238e-10
1962,1.1415521861124489e-08,6.341956404476434e-10
1963,8.405868889838075e-09,1.2932106496776896e-09
1964,5.475571551727398e-09,0.0
1965,1.6963333848707407e-08,5.472043373977442e-10
1966,5.539074976468328e-09,3.3234448526542337e-09
1967,4.437302081328198e-09,1.4791006197611978e-09
1968,4.940557296606585e-09,4.4914158503495116e-10
1969,1.0446043141598693e-08,4.5417578031781147e-10
1970,5.058597540852361e-09,9.197450023812337e-10
1971,1.284599360218408e-08,0.0
1972,5.130146973897354e-09,5.130146862875051e-10
1973,8.821126051827832e-09,1.102640756478479e-09
1974,3.937900228123681e-09,1.6876715580593782e-09
1975,6.282628195464213e-09,0.0
1976,3.9994687561772935e-09,2.856763492431469e-09
1977,2.3507127355770763e-09,1.1753563677885381e-09
1978,1.3663360221016774e-08,0.0
1979,1.0533551808578068e-08,1.1703946700691858e-09
1980,7.390696055153967e-09,5.685150683554241e-10
1981,1.0120879245789638e-08,6.325549528618524e-10
1982,8.069752865935698e-09,6.207502289967692e-10
1983,1.136756910824488e-08,0.0
1984,1.8556827185989277e-08,0.0
1985,1.3835783185811579e-08,1.2031116103372597e-09
1986,1.1389522214244607e-08,0.0
1987,1.2832715334809564e-08,1.8332451112712533e-09
1988,1.2592763276586538e-08,0.0
1989,1.2622680678475717e-08,0.0
1990,1.5801088437683575e-08,0.0
1991,1.1136783939491579e-08,5.861465202094962e-10
1992,1.2121876835635703e-08,5.509944167592096e-10
1993,7.754890063438324e-09,1.1078414852150331e-09
1994,6.857404422078162e-09,3.6924485691258724e-09
1995,1.3556126887692699e-08,0.0
1996,1.1209993822092201e-08,5.338092190498855e-10
1997,1.3425704992187093e-08,1.438468344439059e-09
1998,1.2397135762398648e-08,4.768129224785866e-10
1999,7.312321859131998e-09,4.570201161957499e-10
2000,7.95245647111642e-09,1.7672125984802278e-09
2001,1.1829271784336015e-08,4.3812117822561447e-10
2002,1.6648641576466616e-08,1.3143663935011318e-09
2003,1.0000615446870142e-08,4.1669229178253886e-10
2004,2.2023955992267474e-08,4.404791253964646e-10
2005,1.7564623533417034e-08,0.0
2006,1.976587071794711e-08,8.235779835885637e-10
2007,2.7961355897332396e-08,3.994479469415779e-10
2008,3.405951787271988e-08,1.2772318758180745e-09
2009,3.4807804638603557e-08,4.76819250749827e-10
2010,6.613310432612707e-08,1.8895172093635892e-09
2011,5.888916732033067e-08,1.1471915639660324e-09
2012,7.795738810045805e-08,3.404252713057332e-10
2013,7.586420025518237e-08,1.3945624655065103e-09
2014,8.791707273303473e-08,2.165445156521173e-09
2015,8.578146548643417e-08,3.768178213903184e-09
2016,8.326787082069131e-08,1.86420612280358e-09
2017,7.421053282996581e-08,1.509366853724714e-09
2018,9.809573242591796e-08,2.8396134332808742e-09
2019,7.882552210958238e-08,1.53059265262101e-09
