year,leurs_DET eaux_NOUN,leurs_DET mots_NOUN
1800,2.37384421630793e-06,4.590480049415646e-07
1801,2.4002320841987057e-06,3.1431610603149807e-07
1802,2.9673759058823634e-06,3.4686522099036665e-07
1803,2.1278201174368405e-06,2.242890082548854e-07
1804,3.220821721328093e-06,2.447132398941676e-07
1805,2.1748014358280443e-06,1.194008623084386e-07
1806,1.948008243601862e-06,1.0085842205853623e-07
1807,2.334503134804322e-06,1.4804167314252936e-07
1808,2.0893201906346803e-06,2.583324314464619e-07
1809,2.069272007076961e-06,1.2876473931555665e-07
1810,2.2114197371081445e-06,1.0998595945110878e-07
1811,1.9028712952007254e-06,1.8803075363393873e-07
1812,2.02974537266698e-06,1.8403736135041981e-07
1813,1.9785103546610117e-06,1.5241430162404868e-07
1814,1.9540865867639923e-06,2.045340217193825e-07
1815,1.801745327156823e-06,2.1847510378592006e-07
1816,1.5921939109375671e-06,2.1090195190254235e-07
1817,1.3046598770216633e-06,1.7748357095115352e-07
1818,1.6534673044077408e-06,1.5378318818370929e-07
1819,1.3715141626846616e-06,1.811433776310878e-07
1820,1.664867284034699e-06,2.3376967828170336e-07
1821,1.3411623509540505e-06,2.031466550533878e-07
1822,1.7695212051194176e-06,1.4236374568099563e-07
1823,1.4280482449890997e-06,2.421258390450376e-07
1824,1.7524335866880847e-06,1.8442237514904036e-07
1825,1.8350543555811782e-06,1.9636138093304112e-07
1826,1.8408687090243347e-06,2.7568989935389254e-07
1827,1.3263655525008744e-06,1.4286773275529185e-07
1828,1.5528705574752166e-06,1.5501188954658573e-07
1829,1.8449474730175552e-06,1.5774643263855026e-07
1830,1.7147720896559804e-06,1.4924675473260152e-07
1831,1.8849768714801485e-06,1.1693404644574912e-07
1832,1.4341768022063661e-06,1.3665269293916538e-07
1833,2.2703911355392847e-06,1.9344658908071466e-07
1834,1.9247802338639985e-06,1.558866706830031e-07
1835,1.8537128951834347e-06,1.1722786297241328e-07
1836,1.6707784595837438e-06,1.3441500668065487e-07
1837,1.6810264291677868e-06,1.8020937808671533e-07
1838,1.8191650958954142e-06,1.7105959404517534e-07
1839,1.5234424424193094e-06,1.6150308113083156e-07
1840,1.603250655790589e-06,1.3567436524253296e-07
1841,1.357303966997847e-06,1.8748001417989713e-07
1842,1.4758182649288187e-06,1.6368166022573405e-07
1843,1.3916682206627229e-06,1.3999379433471404e-07
1844,1.4314167691154012e-06,7.903528143060612e-08
1845,1.4346766352701934e-06,1.5010813836369152e-07
1846,1.3178481932385466e-06,1.346535296598006e-07
1847,1.2911377176294536e-06,9.977463832910871e-08
1848,1.242986698457571e-06,7.803864882083289e-08
1849,1.4136072472581418e-06,1.131220983552339e-07
1850,1.3306432302684357e-06,1.466423116269766e-07
1851,1.3118157955460674e-06,9.093708719376536e-08
1852,1.3424744675916145e-06,1.3932567344276947e-07
1853,1.461928928137013e-06,1.8035234461422078e-07
1854,1.3550292843333978e-06,1.1690245105278052e-07
1855,1.4100531942062844e-06,1.363882802252192e-07
1856,1.3900753312867664e-06,1.501384845337128e-07
1857,1.4498081668534724e-06,1.6450685258462272e-07
1858,1.3071008506670978e-06,1.8987462979680458e-07
1859,1.2455456204207849e-06,1.7007859209883236e-07
1860,1.2436208720600916e-06,1.2633027424158172e-07
1861,1.342634897483208e-06,1.315753936914632e-07
1862,1.3874736257690756e-06,1.228892263505088e-07
1863,1.2971030667330297e-06,1.4584293461794573e-07
1864,1.458556289080093e-06,2.1959854645814403e-07
1865,1.2684945289720417e-06,1.2002453786408296e-07
1866,1.2431641103205493e-06,1.5180712287232723e-07
1867,1.1714686873887104e-06,1.882890927618064e-07
1868,1.3061026660210473e-06,1.659797668196461e-07
1869,1.3317356568620653e-06,1.3576183732766367e-07
1870,1.406562120109811e-06,1.1238735320162618e-07
1871,1.1173478124959502e-06,9.771483022724681e-08
1872,1.1465755296313773e-06,1.7658230722084056e-07
1873,1.2187505653571407e-06,1.233116939669543e-07
1874,1.3251683341763965e-06,1.2666171755881805e-07
1875,1.2764727213010474e-06,1.430381786349244e-07
1876,1.4395560707924915e-06,1.227341073217758e-07
1877,1.478171014923646e-06,1.187484652831472e-07
1878,1.2029865033014175e-06,1.7573747340682289e-07
1879,1.3183924245652179e-06,1.3073956650622165e-07
1880,1.2457039346713827e-06,9.241698251116759e-08
