year,six_DET airs_NOUN,six_DET mères_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,2.2378401354217203e-08
1803,1.1702034896643454e-08,1.950339223455444e-09
1804,4.943701892301533e-09,0.0
1805,5.685755422035754e-09,0.0
1806,2.305335211616466e-08,8.645007376628655e-09
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0
1810,2.574139479349924e-08,0.0
1811,1.0028306629550343e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,4.026038280535715e-08,5.751483289628823e-09
1814,5.349350962191579e-08,0.0
1815,0.0,5.394447111228828e-09
1816,6.952811659743929e-09,0.0
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,0.0
1819,2.070210003424222e-09,0.0
1820,2.4919611263385377e-08,3.5599443393152796e-09
1821,9.86148829262845e-10,0.0
1822,3.107940926838637e-08,4.010246357211145e-09
1823,1.9765373782121287e-09,0.0
1824,0.0,0.0
1825,3.522177216552791e-09,1.7610886082763955e-09
1826,1.7615968683770689e-09,0.0
1827,6.452091305675367e-09,0.0
1828,3.6689205562545624e-09,1.8344602503717056e-09
1829,1.714635211591542e-09,1.714635211591542e-09
1830,1.5655253093882493e-08,2.0873671680021744e-09
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,1.663879345414898e-08,7.563087933704082e-10
1836,5.376600054063374e-09,0.0
1837,1.1132625932219753e-08,1.3915782304252389e-08
1838,1.2624323808552163e-09,0.0
1839,2.7266753299670654e-08,0.0
1840,3.184844388215424e-08,6.369688665408546e-10
1841,3.2102742686390684e-09,0.0
1842,8.720744570922534e-09,0.0
1843,4.7255288571079745e-09,5.906911071384968e-10
1844,9.879410178825765e-09,5.488561272137815e-10
1845,0.0,6.138250796539069e-09
1846,5.854501328173001e-10,2.3418005312692003e-09
1847,4.853901280910122e-09,2.1572894581822766e-09
1848,0.0,8.045221711050488e-10
1849,5.02764896381791e-09,0.0
1850,2.0366988096043315e-09,0.0
1851,1.2898877521649865e-09,0.0
1852,7.161599979710331e-09,0.0
1853,5.3747388761848924e-09,6.569124799682413e-09
1854,3.63696517347023e-09,8.832629738719788e-09
1855,2.1227748447927297e-09,1.1675261646360013e-08
1856,1.0354378465748937e-09,3.6240324075009767e-09
1857,1.025116930231107e-08,1.9526036343364694e-09
1858,8.319249067412215e-09,4.893676019968041e-10
1859,1.5276520048956854e-09,3.055304009791371e-09
1860,6.408057418028079e-09,1.373155145145688e-09
1861,5.6591566433006335e-09,4.715963730639317e-10
1862,4.51798634615308e-09,0.0
1863,1.598278676073761e-08,1.4983863039219614e-09
1864,9.589456118064277e-09,6.712619016191468e-09
1865,2.3534221793575227e-09,9.41368871743009e-10
1866,3.8924903300596725e-09,0.0
1867,6.308654931785895e-09,0.0
1868,1.4819622196071691e-09,9.87974813071446e-10
1869,2.4417595723136287e-09,7.813630631403612e-09
1870,1.0894693147633916e-08,1.1468097582678638e-09
1871,0.0,0.0
1872,3.628403577593531e-09,6.047339295989218e-10
1873,2.3944017879529156e-09,5.986004469882289e-10
1874,5.974609140757536e-10,3.5847653734322193e-09
1875,1.888104017577774e-08,5.149374260327022e-09
1876,3.627608879952504e-09,6.04601479992084e-10
1877,8.658742389755503e-09,1.2369631985365004e-09
1878,1.9325083977506097e-08,6.039088673581716e-10
1879,6.10932526790009e-10,4.887460214320072e-09
1880,6.417846254436199e-09,1.9253538763308597e-09
1881,5.5780060570498335e-09,6.2752569807145164e-09
1882,1.3310770263785798e-09,3.3276925659464496e-09
1883,1.0742876255243061e-08,1.2638677882037541e-09
1884,1.386356363042296e-08,3.300848483434038e-09
1885,6.445635691854079e-10,3.2228177904158883e-09
1886,5.162771099520569e-09,3.872078213618124e-09
