year,voulons_VERB être_VERB,voulons_VERB etre_VERB,voulons_VERB mettre_VERB
1800,2.986956246786576e-07,0.0,9.432493897065797e-09
1801,3.119349116786907e-07,0.0,1.1905912700171939e-08
1802,2.394488944901241e-07,0.0,1.7902721083373763e-08
1803,2.7694815685208596e-07,0.0,3.90067853572873e-08
1804,4.572924297008285e-07,0.0,4.943701892301533e-09
1805,2.7291625315228885e-07,2.842877711017877e-09,8.528632911009026e-09
1806,3.313919592073944e-07,0.0,5.76333825108577e-09
1807,2.3345032218458073e-07,2.8469551160981155e-09,2.8469551160981155e-09
1808,2.22075257738652e-07,2.2660739951163578e-09,2.2660739951163578e-09
1809,3.162642769893864e-07,0.0,1.3554183553310395e-08
1810,3.6739990605383355e-07,0.0,2.574139479349924e-08
1811,1.7549537290051376e-07,0.0,2.5070768572277302e-08
1812,3.7340916492212273e-07,0.0,2.6672083208723052e-08
1813,2.6169249167651287e-07,0.0,1.7254450312975678e-08
1814,2.73760917934851e-07,0.0,0.0
1815,3.317584855722089e-07,0.0,5.394447111228828e-09
1816,4.472975376756949e-07,0.0,6.952811659743929e-09
1817,3.7832023735973053e-07,0.0,2.6466848268569265e-08
1818,4.875761305811466e-07,0.0,5.960588467246453e-09
1819,3.6539205439112266e-07,2.070210003424222e-09,1.1386155129855524e-08
1820,2.586892833278398e-07,0.0,4.865257352548724e-08
1821,4.713791383892385e-07,0.0,4.536284592404627e-08
1822,5.032859462517081e-07,0.0,5.714601059025881e-08
1823,3.6763594835065305e-07,0.0,1.4824030003524058e-08
1824,4.6231909323068976e-07,0.0,3.705289586264371e-08
1825,3.8479785757772333e-07,0.0,5.547429182684027e-08
1826,5.416910653366358e-07,0.0,5.989429041619587e-08
1827,4.866720360041654e-07,1.8434546111834038e-09,4.885154680778214e-08
1828,4.366015389223321e-07,4.586150570418113e-09,2.935136400594729e-08
1829,8.213102660192817e-07,4.286587973467704e-09,3.0006116702452346e-08
1830,6.366469733620761e-07,1.0436835840010872e-09,4.0703660886265425e-08
1831,3.1650148457629257e-07,0.0,1.4032085715598441e-08
1832,2.8683535902018775e-07,0.0,3.5177919244233635e-08
1833,3.8573483607251546e-07,0.0,1.9692167896323554e-08
1834,4.3312223851899034e-07,0.0,2.14694217959277e-08
1835,4.900880981040245e-07,6.050470346963266e-09,5.218530674255817e-08
1836,4.6910835749258695e-07,6.720750067579218e-10,3.293167694096155e-08
1837,3.360661366968998e-07,0.0,4.1051556820548285e-08
1838,3.5853079793923825e-07,6.312161904276081e-10,2.4617431648721322e-08
1839,3.3978568581005675e-07,6.9914751765765e-10,2.7266752411492234e-08
1840,4.2422126966812357e-07,6.369688665408546e-10,3.821813265858509e-08
1841,4.0000017520469555e-07,1.2841097074556274e-09,6.22793194793303e-08
1842,4.4140384147794975e-07,6.708265054555795e-10,4.762868144325694e-08
1843,4.459717786176043e-07,1.1813822142769936e-09,4.430183153658618e-08
1844,6.421616944862762e-07,0.0,6.147188713612195e-08
1845,4.475342905152502e-07,5.580227946389016e-10,4.910600637231255e-08
1846,4.824108827961027e-07,5.854501328173001e-10,3.6297908678761814e-08
1847,4.56806048987346e-07,1.6179670936367074e-09,6.741529290366088e-08
1848,4.666228505811887e-07,1.045878850192139e-08,3.781254065415851e-08
1849,4.985751616004563e-07,0.0,1.0306680309213334e-07
1850,3.5166999623470474e-07,6.788996032014438e-10,8.62202469420481e-08
1851,2.6571686362331093e-07,0.0,4.837079004005318e-08
1852,3.9844539401201473e-07,0.0,6.445439737490233e-08
1853,3.6428784255804203e-07,1.7915795513800958e-09,4.240071760364117e-08
1854,4.463075811145245e-07,3.63696517347023e-09,8.832629561084104e-08
1855,4.77093635709025e-07,7.960405667972736e-09,5.413075854221461e-08
1856,4.354016027718899e-07,1.5531567143511893e-09,4.555926480520611e-08
1857,3.8807996816103696e-07,0.0,7.273448687783457e-08
1858,4.1106878256869095e-07,4.893676130990343e-09,3.425573069648635e-08
1859,4.0177246773964725e-07,1.018434669930457e-09,4.83756465996521e-08
1860,4.622955884769908e-07,1.8308735638683515e-09,5.950339243554481e-08
1861,4.1641959569460596e-07,4.715963730639317e-10,6.508030025997869e-08
