year,dix_DET arbres_NOUN
1800,5.345079756580162e-08
1801,9.524730337773235e-09
1802,4.475680270843441e-09
1803,3.510610468993036e-08
1804,0.0
1805,8.528633421711618e-08
1806,2.881669125542885e-09
1807,1.9928686256776018e-08
1808,6.118399653587403e-08
1809,2.710836710662079e-08
1810,0.0
1811,1.2535383397960231e-08
1812,4.000812481308458e-08
1813,8.627225156487839e-09
1814,6.293354282149721e-09
1815,1.0788894222457657e-08
1816,3.9399267848239106e-08
1817,2.6466848268569265e-08
1818,5.960588467246453e-09
1819,1.2421260464634543e-08
1820,8.306536791735653e-09
1821,3.155676253641104e-08
1822,1.4035862250239006e-08
1823,6.917880934764753e-09
1824,3.3684450784221553e-09
1825,1.7610886970942374e-08
1826,1.4092774947016551e-08
1827,2.2121456111356963e-08
1828,1.8344602503717056e-08
1829,5.744027831156018e-08
1830,4.279102583382155e-08
1831,3.741889287312006e-08
1832,1.6235963684607668e-08
1833,2.3167256557599103e-08
1834,1.0267983796552471e-08
1835,4.235329242874286e-08
1836,1.0753200108126748e-08
1837,3.061472142462662e-08
1838,1.7674054220151447e-08
1839,6.292327547896548e-09
1840,1.0828470564661075e-08
1841,2.3756030032018316e-08
1842,1.542900918138912e-08
1843,1.5357969118667825e-08
1844,4.390849017710252e-09
1845,1.0602432709561072e-08
1846,9.367202125076801e-09
1847,1.7258315665458213e-08
1848,6.194820656446609e-08
1849,5.9493846293889874e-08
1850,2.7155984128057753e-08
1851,1.6768540334055615e-08
1852,3.7761164861649377e-08
1853,1.1346670270029335e-08
1854,5.715230788627679e-09
1855,1.6982198758341838e-08
1856,1.3460691838940164e-08
1857,9.763018171682347e-09
1858,9.787352039936081e-10
1859,8.656694694408884e-09
1860,2.4259074749011234e-08
1861,8.960331143725853e-09
1862,6.776979422085105e-09
1863,3.496234635136375e-09
1864,5.274200631788517e-09
1865,1.1296426905005319e-08
1866,8.271541673821048e-09
1867,6.79393608038481e-09
1868,1.6795571489147676e-08
1869,2.1975836927978776e-08
1870,2.8670243956696595e-09
1871,1.274541272522356e-08
1872,9.071008832961525e-09
1873,1.0176207432266438e-08
1874,3.5847653734322193e-09
1875,1.4303817685856757e-08
1876,2.1765654167893445e-08
1877,4.329371083855449e-09
1878,1.8117265909722846e-08
1879,1.7717043832021773e-08
1880,3.8507077526617195e-09
1881,9.064259565150223e-09
1882,6.655385131892899e-09
1883,1.074287619973191e-08
1884,1.3203393933736152e-08
1885,9.023890079618013e-09
1886,5.808117542471791e-09
1887,1.4363633837888301e-08
1888,6.340614699951175e-09
1889,6.265136853755848e-09
1890,1.3764211992395303e-08
1891,1.0836174402228949e-08
1892,1.2537024751679837e-08
1893,4.310891643655168e-09
1894,9.452309379653911e-09
1895,1.384281334004811e-08
1896,4.717623180994224e-09
1897,4.661370844871726e-09
1898,1.4145887128336199e-08
1899,9.39688327150634e-09
1900,1.453494924419374e-08
1901,8.38310842965484e-09
1902,6.874397495693074e-09
1903,1.0260418292773466e-08
1904,4.837162670412454e-09
1905,5.676834835544042e-09
1906,7.201858220895474e-09
1907,1.6971383132169393e-08
1908,9.331639461152008e-09
1909,1.1001967337165297e-08
1910,1.068830179917768e-08
1911,2.074945903984826e-08
1912,1.0939784800267915e-08
1913,6.893886461689647e-09
1914,9.375441090142544e-09
1915,1.1780762143587253e-08
1916,1.538244731591476e-08
1917,9.869781991689308e-09
1918,1.9526839700745313e-08
1919,1.1970202606903513e-08
1920,1.3630017114962811e-08
1921,1.0601846123226011e-08
1922,1.2542490379630067e-08
1923,5.307974060286824e-09
1924,1.675911143195208e-08
1925,6.598906976407193e-09
1926,2.5636119005412183e-08
1927,1.449399278374841e-08
1928,1.1426041224282812e-08
1929,1.6710609784809094e-08
1930,1.4705044848462023e-08
1931,1.710803587684495e-08
1932,8.767629400274757e-09
1933,1.1470662419910127e-08
1934,2.036868629318178e-08
1935,1.0771455727365264e-08
1936,3.6374143697059935e-09
1937,2.7700460591972842e-08
1938,4.926781471681352e-08
1939,1.8352860564618823e-08
1940,7.607348528892999e-09
1941,5.9030051957620344e-09
1942,1.2136847082899749e-08
1943,1.4516175816936538e-08
1944,6.4263723231761105e-09
1945,1.089252021913012e-08
1946,8.352662561605939e-09
1947,1.0728783861324587e-08
1948,1.4133454406817236e-08
