year,cents_ADJ êtres_NOUN,cents_ADJ maîtres_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,9.28661236798689e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,1.950339223455444e-09
1804,9.887403784603066e-09,2.4718509461507665e-09
1805,0.0,1.1371510844071508e-08
1806,0.0,6.339671898558663e-08
1807,0.0,1.1387820464392462e-08
1808,0.0,0.0
1809,0.0,3.162642769893864e-08
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,0.0,3.738464116054274e-08
1814,0.0,3.776012391654149e-08
1815,0.0,1.6183340889597275e-08
1816,0.0,1.8540831092650478e-08
1817,0.0,1.556873407970727e-09
1818,0.0,4.172412104708201e-08
1819,0.0,6.210630232317271e-09
1820,0.0,1.779972080839798e-08
1821,0.0,3.648750634965836e-08
1822,0.0,5.3135764233047666e-08
1823,0.0,3.854247765389118e-08
1824,0.0,5.894778887238772e-09
1825,0.0,1.6730341556581152e-08
1826,0.0,7.222546827279075e-08
1827,0.0,1.1982455028203276e-08
1828,0.0,8.255071293206129e-09
1829,0.0,8.57317605795771e-10
1830,0.0,1.3567886369969528e-08
1831,0.0,3.1182412207897414e-09
1832,2.705993873419743e-09,1.352996914505411e-08
1833,0.0,1.9692167896323554e-08
1834,0.0,1.0267983796552471e-08
1835,0.0,1.2100940693926532e-08
1836,0.0,2.083432448785061e-08
1837,0.0,2.5744196108234974e-08
1838,0.0,4.292270006089893e-08
1839,0.0,2.0974425751774106e-08
1840,0.0,4.0766007458614695e-08
1841,0.0,2.760835826620678e-08
1842,0.0,2.817471411731276e-08
1843,0.0,2.8353174030826267e-08
1844,0.0,2.4698525891153622e-08
1845,5.580227946389016e-10,2.8459162138005922e-08
1846,0.0,3.454155717008689e-08
1847,0.0,1.5640349459999925e-08
1848,0.0,1.930853166243196e-08
1849,5.02764896381791e-09,1.256912263158938e-08
1850,0.0,5.974316508172706e-08
1851,7.094382858952031e-09,1.2898877521649865e-08
1852,6.510545436100301e-09,1.5625309046640723e-08
1853,0.0,1.970737528722566e-08
1854,7.27393034694046e-09,4.312401458150816e-08
1855,0.0,9.552486801567284e-09
1856,0.0,6.212626857404757e-09
1857,0.0,1.3180074809326925e-08
1858,0.0,1.565976326389773e-08
1859,2.5460866748261424e-09,1.5785737161877478e-08
1860,9.154367819341758e-10,2.0139609091529564e-08
