year,quelques_DET airs_NOUN,quelques_DET mers_NOUN
1800,3.4585809238762977e-07,4.7162465932615305e-08
1801,2.809795489611133e-07,7.143547975374531e-09
1802,2.0140561218795483e-07,1.1189200677108602e-08
1803,1.8918289867997373e-07,4.290746247193056e-08
1804,4.202146612897195e-07,4.943701892301533e-09
1805,3.041879172993589e-07,1.7057265822018053e-08
1806,3.429186392622796e-07,0.0
1807,1.992868590150465e-07,5.693910232196231e-09
1808,1.450287356874469e-07,4.5321479902327155e-09
1809,1.8524050737767084e-07,9.036122072814123e-09
1810,2.948559623128233e-07,1.4040760554223652e-08
1811,1.5293167621166504e-07,0.0
1812,5.521121124729689e-07,3.200649700829672e-08
1813,5.665210984773239e-07,4.888760685162197e-08
1814,2.6117418938653714e-07,0.0
1815,1.8071397800412115e-07,0.0
1816,1.2515060632267705e-07,4.4034472068688046e-08
1817,2.6933909857973504e-07,0.0
1818,2.0266001610202977e-07,4.530047448270125e-08
1819,1.9977527188075328e-07,0.0
1820,2.254631459308598e-07,3.20394981656591e-08
1821,2.1004970562898961e-07,9.86148829262845e-10
1822,1.9148926355683216e-07,2.0051231786055723e-09
1823,1.8381797417532653e-07,8.894418535021487e-09
1824,1.1957980028398651e-07,5.052667617633233e-09
1825,2.932212508355292e-07,1.1447076175841175e-08
1826,1.1186140369545683e-07,6.1655889282974385e-09
1827,1.4931982822430356e-07,0.0
1828,1.6051527040872315e-07,3.668920500743411e-09
1829,1.8603791507310063e-07,1.2002446148073886e-08
1830,3.1832348135196753e-07,0.0
1831,1.38761739654214e-07,2.182768810143898e-08
1832,1.4882965615470312e-07,1.352996914505411e-08
1833,3.104412300558579e-07,3.1275797063301525e-08
1834,2.2962945855908856e-07,7.467624518753269e-09
1835,2.1101014624491654e-07,1.5126175867408165e-08
1836,1.8885307717653177e-07,6.72075017860152e-09
1837,2.0456199401053254e-07,1.461157062010443e-08
1838,1.6979716122023092e-07,1.0730675015224733e-08
1839,1.7059198764712846e-07,8.38977065598101e-09
1840,1.7389249640231697e-07,7.0066574764382494e-09
1841,1.489567313939233e-07,1.0914932957462042e-08
1842,1.2678621041928295e-07,8.049918065466954e-09
1843,1.5417037246834298e-07,2.126487963494128e-08
1844,1.1306436009661525e-07,6.037417232818143e-09
1845,6.807878349945895e-08,2.6785094864312242e-08
1846,8.313391930414582e-08,9.952652479938706e-09
1847,8.41342897572872e-08,1.3483059113639229e-08
