year,jolis_ADJ effets_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,1.8072244145628247e-08
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,1.035105001712111e-09
1820,0.0
1821,0.0
1822,0.0
1823,2.9648061783404955e-09
1824,5.052667617633233e-09
1825,8.805443041381977e-10
1826,0.0
1827,0.0
1828,7.337841001486822e-09
1829,2.571952872898464e-09
1830,1.1480519646056564e-08
1831,4.677361609140007e-09
1832,1.8941957335982806e-08
1833,1.2741991461950875e-08
1834,1.8669061851994684e-09
1835,1.5126175867408165e-08
1836,2.688300027031687e-09
1837,3.478945576063097e-09
1838,4.418513555037862e-09
1839,5.5931801412612e-09
1840,1.9109065441114126e-09
1841,5.778493683550323e-09
1842,4.024959032733477e-09
1843,1.2404512972352677e-08
1844,3.841992946007622e-09
1845,1.2276501593078137e-08
1846,2.1076203893244383e-08
1847,8.089835468183537e-09
1848,1.045878850192139e-08
1849,4.1897072478036534e-09
1850,6.1100964288129944e-09
1851,1.0319102017319892e-08
1852,1.9531636308300904e-09
1853,7.763511611358354e-09
1854,8.832629738719788e-09
1855,1.326734277995456e-08
1856,4.141751386299575e-09
1857,8.298565390418844e-09
1858,3.4255731584664773e-09
1859,7.638259802433822e-09
1860,1.373155189554609e-08
1861,1.0375120318428799e-08
1862,1.1294965851504912e-08
1863,4.495158911765884e-09
1864,9.589456340108882e-09
1865,1.6473954644879996e-08
1866,1.4596838404656864e-08
1867,2.232293283555009e-08
1868,3.754304245262574e-08
1869,1.1720445947105418e-08
1870,1.834895613228582e-08
1871,4.248470908407853e-09
1872,1.2094679036067646e-08
1873,1.616221290134945e-08
1874,1.3144139998644278e-08
1875,1.4303817685856757e-08
1876,8.464420275799966e-09
1877,1.4225077116236662e-08
1878,1.9928991790152395e-08
1879,4.948553566919145e-08
1880,1.4761046607247863e-08
1881,2.1614773970668466e-08
1882,1.5307385581309063e-08
1883,1.3270612164717477e-08
1884,2.442627788923346e-08
1885,5.80107206715752e-09
1886,2.2587123282846733e-08
1887,1.5016526688782506e-08
1888,2.4728397107764977e-08
1889,3.069916942877171e-08
1890,3.6704562944578356e-08
1891,2.4859458491732767e-08
1892,3.57305189879753e-08
1893,2.894455697344256e-08
1894,5.923446977362801e-08
1895,3.250051960890232e-08
1896,4.776593343081004e-08
1897,5.5936450138460714e-08
1898,4.130599151608294e-08
1899,3.2612710754165164e-08
1900,3.945200433008722e-08
1901,5.085752263767063e-08
1902,4.0264328760031276e-08
1903,2.754112315983548e-08
1904,1.7198800605910947e-08
1905,3.973784501454247e-08
1906,3.652370850204534e-08
1907,2.5714216533856415e-08
1908,2.504808449543816e-08
1909,2.640472018811124e-08
1910,2.8323999146095957e-08
1911,3.6710581241550244e-08
1912,3.5945006970905524e-08
