year,devions_VERB être_VERB,devions_VERB etre_VERB,devions_VERB mettre_VERB
1800,2.0751485863002017e-07,0.0,1.5720821977538435e-08
1801,1.7620750725200196e-07,0.0,2.8574191901498125e-08
1802,1.096541666356643e-07,0.0,1.5664880947952042e-08
1803,1.1311967540450496e-07,0.0,1.950339223455444e-09
1804,1.7550141251376772e-07,0.0,4.943701892301533e-09
1805,1.8762992226584174e-07,0.0,0.0
1806,2.0748018414451508e-07,0.0,0.0
1807,1.1672516109229036e-07,0.0,0.0
1808,1.6315732409566408e-07,0.0,0.0
1809,1.1069249694628525e-07,0.0,0.0
1810,1.6848912309797015e-07,0.0,9.360507036149102e-09
1811,1.1031137603367824e-07,0.0,2.5070767684098882e-09
1812,1.2002436733382638e-07,0.0,2.6672082320544632e-09
1813,1.6966875193702435e-07,0.0,0.0
1814,1.5733385794192145e-07,0.0,1.2586708564299443e-08
1815,1.6992508733437717e-07,0.0,2.697223555614414e-09
1816,2.8274766350477876e-07,2.3176038865813098e-09,3.244645441213834e-08
1817,1.5257359109455138e-07,0.0,5.60474440192138e-08
1818,2.419999134417594e-07,0.0,4.053200441944682e-08
1819,1.676870056144253e-07,0.0,4.140420006848444e-09
1820,1.6494408328071586e-07,2.3732962262101864e-09,2.3732962262101864e-09
1821,2.889416066409467e-07,0.0,3.254291058851777e-08
1822,2.0652768739637395e-07,0.0,1.303330066093622e-08
1823,3.9530746676064155e-07,0.0,4.15072847204101e-08
1824,2.517912776056619e-07,0.0,1.7684335773537896e-08
1825,2.3158315798355034e-07,0.0,8.805443485471187e-09
1826,2.7216671583119023e-07,1.7615968683770689e-09,1.4973572604048968e-08
1827,2.774399092686508e-07,0.0,1.7512819638909605e-08
1828,1.6877034170192928e-07,0.0,1.1006761724274838e-08
1829,2.0575622272644978e-07,0.0,0.0
1830,2.066493465235908e-07,0.0,2.7135772739939057e-08
1831,1.855353559676587e-07,0.0,1.5591206103948707e-09
1832,1.4477066656581883e-07,0.0,1.3529969367098715e-09
1833,2.3630602186131e-07,0.0,3.4750886612755494e-08
1834,2.1656111925949517e-07,0.0,1.120143711119681e-08
1835,1.9058981592934288e-07,0.0,1.2100940693926532e-08
1836,2.2984964687111642e-07,0.0,1.8146025126952736e-08
1837,2.470051185810007e-07,6.957890930081589e-10,1.3915781860163179e-09
1838,1.8305269122720347e-07,0.0,5.049729523420865e-09
1839,1.8876983176596696e-07,0.0,1.2584655095793096e-08
1840,1.9300156850476924e-07,0.0,1.2102408852854296e-08
1841,1.842697372467228e-07,0.0,1.6051371787284552e-08
1842,1.9990629596122744e-07,1.341653010911159e-09,1.8783142152756227e-08
1843,1.9670014239636657e-07,0.0,6.497602011990011e-09
1844,2.2228672946766892e-07,5.488561272137815e-10,7.1351298203126134e-09
1845,1.964240254892502e-07,5.580227946389016e-10,1.0602432709561072e-08
1846,2.0080939577837853e-07,0.0,2.3418005312692003e-08
1847,1.7420111930732673e-07,1.0786447290911383e-09,1.6179670936367074e-08
1848,1.946943655184441e-07,0.0,6.43617736884039e-09
1849,1.8267124346493802e-07,0.0,6.703531951757213e-09
1850,1.792294881397538e-07,0.0,1.425689166723032e-08
1851,1.65750577707513e-07,6.449438760824933e-10,1.4188765717904062e-08
1852,1.7513367822630244e-07,0.0,1.4974254725075298e-08
1853,1.6781127953890973e-07,0.0,1.1346670270029335e-08
1854,2.047091811618884e-07,5.195664454227256e-10,1.4028294081924741e-08
1855,1.8892696118655294e-07,0.0,7.429711956774554e-09
1856,2.4384561925216985e-07,5.177189232874468e-10,2.7956822634678247e-08
1857,1.903788557910957e-07,0.0,1.9526035899275485e-08
1858,1.8106601373801823e-07,9.787352039936081e-10,4.404308473482388e-09
1859,1.3290572553614766e-07,0.0,1.5785737161877478e-08
1860,2.0643099674089171e-07,9.154367819341758e-10,1.4646988510946812e-08
1861,2.216502963392486e-07,4.715963730639317e-10,2.6880993431177558e-08
1862,1.9698420317126875e-07,4.517986262886353e-10,8.584174260306554e-09
1863,1.6881818964975537e-07,0.0,5.494082966350788e-09
1864,1.4384184510163323e-07,4.794727948009836e-10,1.1507347075223606e-08
