year,meilleurs_ADJ arbres_NOUN,meilleurs_ADJ marbres_NOUN
1800,1.8864987794131594e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,7.384872446891677e-08,0.0
1803,3.315576790896557e-08,0.0
1804,3.9549615138412264e-08,0.0
1805,3.695740957709859e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,2.562259560079383e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,2.4849335034105025e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,4.011322829455821e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,1.5733386149463513e-08,0.0
1815,2.697223555614414e-09,0.0
1816,1.3905623319487859e-08,0.0
1817,2.490997452753163e-08,0.0
1818,5.960588467246453e-09,0.0
1819,1.9666995143552413e-08,0.0
1820,1.779972080839798e-08,0.0
1821,2.9584463767662328e-09,0.0
1822,9.023054303725075e-09,0.0
1823,2.9648061783404955e-09,9.882686891060644e-10
1824,1.1789557774477544e-08,8.421112696055388e-10
1825,1.0566531649658373e-08,0.0
1826,2.025836387531399e-08,0.0
1827,4.608636583469661e-09,1.8434546111834038e-09
1828,9.172301140836225e-09,0.0
1829,2.4004892296147773e-08,0.0
1830,9.39315203396518e-09,0.0
1831,1.2472964883158966e-08,0.0
1832,9.470978667991403e-09,0.0
1833,2.548398292390175e-08,0.0
1834,1.120143711119681e-08,0.0
1835,7.563087933704082e-09,0.0
1836,1.344150035720304e-08,4.032449929525228e-09
1837,1.0436836284100082e-08,1.3915781860163179e-09
1838,6.943378316748294e-09,1.2624323808552163e-09
1839,6.9914749545318955e-09,0.0
1840,7.0066574764382494e-09,6.369688665408546e-10
1841,3.2102742686390684e-09,3.2102742686390684e-09
1842,4.024959032733477e-09,0.0
1843,1.2404512972352677e-08,0.0
1844,1.5367971784030487e-08,0.0
1845,1.2276501593078137e-08,2.2320911785556063e-09
1846,8.196302303531411e-09,0.0
1847,3.235934187273415e-09,0.0
1848,1.448139919091318e-08,0.0
1849,1.005529792763582e-08,0.0
1850,9.504594444820214e-09,0.0
1851,9.674158363282004e-09,6.449438760824933e-10
1852,5.859490670445666e-09,6.510545436100301e-10
1853,1.1346670270029335e-08,0.0
1854,8.313063126763609e-09,0.0
1855,7.960405667972736e-09,1.0613874223963649e-09
1856,1.9673318973900678e-08,4.141751386299575e-09
1857,2.4407544874094356e-09,0.0
1858,1.468102750479261e-09,0.0
1859,6.110608019582742e-09,0.0
1860,7.781213007262977e-09,0.0
1861,1.0375120318428799e-08,0.0
1862,8.132375661773494e-09,0.0
1863,1.2486552236623538e-08,0.0
1864,4.315255264231155e-09,1.4384183844029508e-09
1865,6.118897832863013e-09,0.0
1866,2.919367858567057e-09,0.0
1867,1.455843445796745e-09,0.0
1868,3.951899252285784e-09,2.9639244392143382e-09
1869,2.9301114867763545e-09,0.0
1870,1.7202146374017957e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,1.9956219787786722e-08,0.0
1873,7.183205141814142e-09,0.0
1874,2.3898436563030145e-09,0.0
1875,2.8607636259891933e-09,0.0
1876,6.650616057868319e-09,0.0
1877,4.9478527941460015e-09,0.0
