year,plusieurs_DET êtres_NOUN,plusieurs_DET etres_NOUN,plusieurs_DET mètres_NOUN
1800,1.2262241000371432e-07,3.144164484325529e-09,1.8236154630812962e-07
1801,8.810375828893768e-08,0.0,2.1192525423430197e-07
1802,2.0588129245879827e-07,0.0,6.265952379180817e-08
1803,1.014176405078615e-07,1.755305234496518e-08,9.361627917314763e-08
1804,7.168367943677367e-08,2.4718509461507665e-09,2.867347177470947e-07
1805,1.336152555264647e-07,0.0,1.6772978028711805e-07
1806,6.339671898558663e-08,8.06867319624871e-08,1.498467980809437e-07
1807,4.555128185756985e-08,3.9857372513552036e-08,1.9359295322374237e-07
1808,1.3596443837471384e-07,0.0,2.311395519427606e-07
1809,1.4457795316502597e-07,2.259030518203531e-09,1.4457795316502597e-07
1810,1.6146874770583963e-07,7.020380277111826e-09,1.427477371862551e-07
1811,5.264861258069686e-08,1.504245972228091e-08,2.6825722443390987e-07
1812,8.268345208506389e-08,0.0,1.2535878113340004e-07
1813,7.476928232108548e-08,0.0,2.5881675469463516e-07
1814,3.1466771410748606e-09,0.0,2.108273662315696e-07
1815,5.933891955578474e-08,0.0,1.5104451733805035e-07
1816,1.9467873357825738e-07,2.3176038865813098e-09,2.3871319854151807e-07
1817,1.2454987086130132e-07,0.0,1.8838167648027593e-07
1818,2.491526061021432e-07,4.768470951432846e-09,6.318224166079744e-08
1819,9.522965882524659e-08,0.0,1.8631889986409078e-07
1820,2.2427649071232736e-07,8.306536791735653e-09,1.0086508694939766e-07
1821,6.508582195419166e-08,0.0,1.2129630988511053e-07
1822,9.223566621585633e-08,1.0025615893027862e-09,1.6542266223495972e-07
1823,7.609668983832307e-08,0.0,1.4725203811849497e-07
1824,6.315834699677225e-08,8.421112696055388e-10,1.8189604134022375e-07
1825,6.604082325445404e-08,0.0,1.4881199206229212e-07
1826,1.1714619119196357e-07,0.0,2.3164999163327593e-07
1827,7.92685455053288e-08,0.0,1.0692036767068203e-07
1828,1.0456423638061096e-07,0.0,1.6510142586412258e-07
1829,7.54439470895818e-08,0.0,1.6374765721138829e-07
1830,1.0436836106464398e-07,4.174734336004349e-09,1.356788601469816e-07
1831,5.456921980950824e-08,0.0,1.9644919291295082e-07
1832,1.0418076179519176e-07,0.0,1.93478555843285e-07
1833,8.571885246055899e-08,0.0,2.57156557381677e-07
1834,1.101474680353931e-07,0.0,2.977715496399469e-07
1835,1.368918916000439e-07,0.0,2.7680903258442413e-07
1836,1.1290860157942006e-07,2.016224964762614e-09,1.6600252195075882e-07
1837,9.46273162050204e-08,6.957890930081589e-10,1.6907675615129847e-07
1838,8.205810475558906e-08,0.0,2.0009552770261507e-07
1839,9.0190031665216e-08,0.0,3.013325908796105e-07
1840,1.840840013755951e-07,3.1848443882154243e-09,2.344045384461424e-07
1841,8.025685360735224e-08,1.926164561183441e-09,3.974319611188548e-07
1842,1.81123161802077e-07,0.0,3.555380487796356e-07
1843,2.421833533716722e-07,1.7720733769266417e-09,4.016699506337318e-07
1844,1.3172547591588923e-07,0.0,3.9188327605188533e-07
1845,1.7912532257469138e-07,0.0,3.9340608282145695e-07
1846,1.3055537984030252e-07,4.0981509297211005e-09,4.0161879155675706e-07
1847,1.2835871743277494e-07,1.0786447290911383e-09,6.520407396237715e-07
1848,1.0861049393184885e-07,0.0,5.213303779783018e-07
1849,1.0222886004385145e-07,0.0,4.2483634388190694e-07
1850,2.0299097513998277e-07,0.0,4.1412874907109654e-07
1851,1.051258518014464e-07,0.0,4.256629608789808e-07
1852,1.1979403713446857e-07,6.510545436100301e-10,4.388107583963574e-07
1853,1.3496565620663148e-07,0.0,4.6521350327566324e-07
1854,1.241763737391821e-07,1.454786069388092e-08,4.598163059199578e-07
1855,1.5124771124419567e-07,0.0,4.362302377103333e-07
1856,1.0509694065019559e-07,5.177189343896771e-09,4.71641925514632e-07
1857,1.0983395526409367e-07,9.763018171682347e-10,6.292265197771485e-07
1858,8.074565277516044e-08,1.957470352476065e-09,5.926241897213913e-07
1859,1.1762920415492317e-07,0.0,4.934315711579984e-07
