year,quels_DET effets_NOUN,quels_DET méfaits_NOUN
1800,3.898763907272951e-07,0.0
1801,3.738456797464096e-07,0.0
1802,2.416867346255458e-07,0.0
1803,2.359910453719749e-07,0.0
1804,4.943701910065101e-07,0.0
1805,4.150601569108403e-07,0.0
1806,2.42060210098316e-07,0.0
1807,4.3273718119962723e-07,0.0
1808,4.645451667784073e-07,0.0
1809,4.043664745267961e-07,0.0
1810,3.0655660054890177e-07,0.0
1811,2.958350577841884e-07,0.0
1812,3.173977773940351e-07,0.0
1813,2.588167475892078e-07,0.0
1814,4.122147032603607e-07,0.0
1815,2.8590569911557395e-07,0.0
1816,2.0858435689774524e-07,0.0
1817,2.771234619558527e-07,0.0
1818,3.337929825875108e-07,0.0
1819,2.805134649008778e-07,0.0
1820,3.6667426073222487e-07,1.1866481131050932e-09
1821,3.234568204391053e-07,0.0
1822,3.2884020129131386e-07,0.0
1823,3.093280938060161e-07,0.0
1824,2.9894949449271735e-07,0.0
1825,2.351053289828542e-07,0.0
1826,3.170874194324824e-07,0.0
1827,2.7651818612639545e-07,0.0
1828,2.7516904310687096e-07,0.0
1829,2.3233306833958522e-07,0.0
1830,2.515277515158232e-07,0.0
1831,2.3230897738812928e-07,0.0
1832,2.2189149362361604e-07,0.0
1833,2.0387185983850031e-07,0.0
1834,2.1189385535080874e-07,9.334530925997342e-10
1835,2.465566666387531e-07,0.0
1836,2.3589832665038557e-07,1.3441500135158435e-09
1837,1.9134200357484588e-07,8.349468672008697e-09
1838,1.7863418122487928e-07,8.2058102535143e-09
1839,2.2232890728446364e-07,2.0974426639952526e-09
1840,1.8981672056384014e-07,0.0
1841,1.8105946253399452e-07,0.0
1842,2.7436804117542124e-07,0.0
1843,1.54170383126484e-07,0.0
1844,1.8715994443141426e-07,3.841993001518773e-09
1845,2.0200425865368743e-07,1.1160455892778032e-09
1846,1.9085674551888587e-07,8.781752214304106e-09
1847,1.9739198364732147e-07,1.0786447290911383e-09
1848,1.930853166243196e-07,0.0
1849,1.6591241092100972e-07,8.379414939696517e-10
1850,2.0231207997767342e-07,0.0
1851,2.1734608424139878e-07,0.0
1852,2.682344764082245e-07,8.463708844885787e-09
1853,1.785607608439932e-07,0.0
1854,1.9639611537058954e-07,2.0782657816909023e-09
