year,tes_DET yeux_NOUN
1800,2.1034460431224034e-06
1801,3.2741260014290674e-06
1802,1.7746071989677148e-06
1803,2.369662169598996e-06
1804,2.911840383035269e-06
1805,2.430660359209469e-06
1806,2.0373401241613465e-06
1807,1.984327695936372e-06
1808,2.3499187165043622e-06
1809,1.5700262423479217e-06
1810,2.6420031247198494e-06
1811,3.7581081642201752e-06
1812,1.62966418315591e-06
1813,2.8901204416342807e-06
1814,1.5638984933730171e-06
1815,1.3863729009244707e-06
1816,1.068415379279486e-06
1817,2.1765090849612534e-06
1818,1.605782642855047e-06
1819,2.169580014310668e-06
1820,3.0330725877547593e-06
1821,2.770092109471989e-06
1822,2.8432647667386846e-06
1823,2.4222465242473845e-06
1824,2.584439556585494e-06
1825,2.04374336476576e-06
1826,1.8435111428516393e-06
1827,1.4535639252244437e-06
1828,1.7464061983218926e-06
1829,1.4197179680763838e-06
1830,2.147900886484422e-06
1831,1.941105139735555e-06
1832,2.231091976057087e-06
1833,2.186989135566364e-06
1834,2.021859430101358e-06
1835,1.7939645147180272e-06
1836,1.98194927492068e-06
1837,1.4722896750640757e-06
1838,1.5079754476232665e-06
1839,1.4640148791045249e-06
1840,1.4484671453374176e-06
1841,1.727769614490171e-06
1842,1.7267074241544833e-06
1843,1.5930938630503988e-06
1844,1.4522733238209184e-06
1845,1.3732941113175912e-06
1846,1.3652697390398316e-06
1847,1.2587784326001383e-06
1848,1.0032391557501796e-06
1849,1.198256327938907e-06
1850,1.1527715031434127e-06
1851,1.0622225588008405e-06
1852,1.2168209622132053e-06
1853,1.2630636234689518e-06
1854,1.3628228074935578e-06
1855,1.934378531132097e-06
1856,1.5821490819689643e-06
1857,1.8012768876474183e-06
1858,1.6707010175309733e-06
1859,1.6468088261945013e-06
1860,1.9718508639243737e-06
1861,2.1429339511769285e-06
1862,1.9219513234247643e-06
1863,1.675695322944648e-06
1864,1.8790538618418395e-06
1865,1.613506277919896e-06
1866,1.5331545739627472e-06
1867,1.3364642796886983e-06
1868,1.3080786409602752e-06
1869,1.584213599414852e-06
1870,1.1892417148828827e-06
1871,1.235242944375159e-06
1872,1.2342618944671813e-06
1873,1.0307899529493625e-06
1874,1.0879763649995766e-06
1875,1.3542854233605794e-06
1876,1.3264956137959416e-06
1877,1.5672323385729214e-06
1878,1.169771493891858e-06
1879,1.2884567226478794e-06
1880,1.3644341620988598e-06
1881,1.1232710050990136e-06
1882,1.1547092952923776e-06
1883,1.1438003824082443e-06
1884,1.2747876994012586e-06
1885,1.0557951455325565e-06
1886,1.182919916686842e-06
1887,1.0896775037849693e-06
1888,1.2795360859740867e-06
1889,1.1715805641188126e-06
1890,1.1293207862195231e-06
1891,1.1199504328374132e-06
1892,1.2085691381003016e-06
1893,1.1639407446750738e-06
1894,1.1676752649236732e-06
1895,1.1971024491685966e-06
1896,1.243683428242548e-06
1897,1.211956451641072e-06
1898,1.105642489562797e-06
1899,1.2940061395738667e-06
1900,1.3475973332788271e-06
1901,1.1160711750335395e-06
1902,1.0159377410445813e-06
1903,1.3052332832330649e-06
1904,1.143182764451467e-06
1905,1.3159935008388857e-06
1906,1.3282284214710671e-06
1907,1.5675386748625897e-06
1908,1.4699786987648622e-06
1909,1.725108404571074e-06
1910,1.786549532312165e-06
1911,1.5482288517887355e-06
1912,1.7055644860874963e-06
1913,1.5834727662422665e-06
1914,1.4297547323849358e-06
1915,9.153652058557782e-07
1916,1.230595771062326e-06
1917,1.49911026881e-06
1918,1.6804568048200963e-06
1919,1.729233972014299e-06
1920,1.6143998209372512e-06
1921,1.968157050669106e-06
1922,1.8644043393578613e-06
1923,2.4565303533563565e-06
1924,2.4661677002768556e-06
1925,2.1501436719972844e-06
1926,1.985127255466068e-06
1927,1.925471096342335e-06
1928,1.6876263089216081e-06
1929,1.7267630028072745e-06
1930,1.521972194495902e-06
1931,1.3492536368175934e-06
1932,1.2044530990351632e-06
1933,1.15280157331199e-06
1934,1.3539186056732433e-06
1935,1.3560065923456932e-06
1936,1.3228063977521742e-06
1937,1.2679256116143733e-06
1938,1.702332710351584e-06
1939,1.2005830001271534e-06
1940,1.1334949761021562e-06
1941,1.9037191805182374e-06
1942,2.0389903596651493e-06
1943,2.5780728378776985e-06
1944,2.339199596690378e-06
1945,2.1654329316334042e-06
1946,2.241297778482476e-06
1947,2.2292027921366753e-06
1948,1.9699860303035166e-06
1949,1.4588074179755495e-06
1950,2.323826507222293e-06
1951,1.6034747716275888e-06
1952,1.7198575221755164e-06
1953,1.6613242053153954e-06
1954,1.7522157236271596e-06
1955,1.4885574586287476e-06
1956,1.6230044508347419e-06
1957,1.5620346829336995e-06
1958,1.7156633447257263e-06
1959,1.6695111355602421e-06
1960,2.0181150119924496e-06
1961,1.852379227784695e-06
1962,2.083966847976626e-06
1963,2.093061368668714e-06
1964,2.0156187048314678e-06
1965,1.934367304556872e-06
1966,1.889378410169229e-06
1967,2.326625292425888e-06
1968,2.7038324503791955e-06
1969,1.8117071931555984e-06
1970,1.8183358463375043e-06
1971,2.4967473564174725e-06
1972,1.6308737400549944e-06
1973,1.714055002821624e-06
1974,1.4874011782239904e-06
1975,1.5917895694883555e-06
1976,1.466662361337967e-06
1977,1.4292333787579992e-06
1978,1.9134644162477343e-06
1979,1.5800327588522123e-06
1980,1.5622794222736047e-06
1981,1.6788008849744074e-06
1982,1.7256856637004603e-06
1983,1.8428092545264008e-06
1984,1.7576794704154963e-06
1985,1.514115993472842e-06
1986,1.7276106802910363e-06
1987,1.5032609681497888e-06
1988,1.3264377471955413e-06
1989,1.5092335701183401e-06
1990,1.515269843821443e-06
1991,1.4301975284070068e-06
1992,1.4215656420901723e-06
1993,1.5487624267507272e-06
1994,1.4595722035437575e-06
1995,1.705360773485154e-06
1996,1.5822104870721887e-06
1997,1.5434765572308606e-06
1998,1.595416080135692e-06
1999,1.5817466305634298e-06
2000,1.6019782549392403e-06
2001,1.6022091529066529e-06
2002,1.7678228942941132e-06
2003,1.5300940674478625e-06
2004,1.4861765151863437e-06
2005,1.5682056186960835e-06
2006,1.638508408063899e-06
2007,1.966482216175791e-06
2008,2.152987221393232e-06
2009,2.262984068579499e-06
2010,2.793651106003381e-06
2011,2.7345223259089835e-06
2012,3.5662952484472044e-06
2013,3.7904210046235676e-06
2014,4.074501617878923e-06
2015,4.217034529574448e-06
2016,4.481965788727393e-06
2017,6.119224508438492e-06
2018,4.946606509292906e-06
2019,4.526217708189506e-06
