year,les_DET êtres_NOUN,les_DET etres_NOUN,les_DET maîtres_NOUN
1800,1.4126731457508868e-05,4.307505259149025e-07,1.149506559272595e-05
1801,1.327033018583279e-05,3.809892135109294e-08,1.3184608228300476e-05
1802,1.2243223096675138e-05,5.370816325012129e-08,1.0506659407383268e-05
1803,1.451052389711549e-05,4.680814025270763e-08,1.1945827807835485e-05
1804,1.1973645797525023e-05,7.909923160909216e-08,1.2099710168911315e-05
1805,1.0396403951062894e-05,1.2792949255491237e-07,1.1593255379693801e-05
1806,8.852487951571675e-06,1.0229925599958278e-06,1.1497859375708686e-05
1807,8.873958989852326e-06,1.9843277669906456e-06,1.2737277444330175e-05
1808,9.592290780346957e-06,4.192236753297607e-07,1.2744400137876255e-05
1809,7.411879053620396e-06,5.647576206690985e-08,1.1227381946810056e-05
1810,7.476705164322084e-06,6.552354925304371e-08,1.1522783722739405e-05
1811,5.515569000635878e-06,1.8301659832076211e-07,1.218690032089853e-05
1812,7.148118100985812e-06,4.5342539056747455e-08,1.1783725966552083e-05
1813,7.474052409861542e-06,1.207811497483391e-07,1.0312409642665443e-05
1814,5.236070578007457e-06,1.510405018834149e-07,1.3042977045074622e-05
1815,9.869140995988346e-06,1.672278608921829e-07,1.1072102793718841e-05
1816,1.448038904072746e-05,1.946787211437595e-07,1.0375912161464385e-05
1817,1.3753419580098125e-05,8.251429184369385e-08,1.2425406308302911e-05
1818,1.2320537280174904e-05,3.337929688207453e-08,1.3543649753700038e-05
1819,1.0180257987713048e-05,4.0369095288816936e-08,1.4686069846447936e-05
1820,1.0625246872564276e-05,8.06920743556816e-08,1.2975997047526278e-05
1821,1.0406828579334615e-05,3.155676209232183e-08,1.2743014977445455e-05
1822,1.0692318937799428e-05,2.8071724500478012e-08,1.2187138992203472e-05
1823,7.888360642027692e-06,2.174191093828881e-08,1.1736678551699242e-05
1824,8.536481743703916e-06,2.0547515333646516e-07,1.222408755019444e-05
1825,8.948971640165837e-06,6.163810128967384e-08,1.2031757123054376e-05
1826,8.12448486442463e-06,2.730475112677766e-08,1.3193480114637168e-05
1827,7.447556640727271e-06,1.6591091223094878e-08,1.623991382615486e-05
1828,8.995275948109338e-06,1.008953137704438e-08,1.1741463134207208e-05
1829,9.02669711422277e-06,6.001223185059246e-09,1.4582972646781656e-05
1830,9.380627858490698e-06,5.218417786778673e-08,1.2186049982432223e-05
1831,9.103705480129065e-06,1.4032085049464627e-08,1.1510987693696961e-05
1832,1.0355838156783648e-05,2.5706941686465257e-08,1.2324449322420605e-05
1833,1.2485993067912204e-05,5.444305539725747e-08,1.3391833242337725e-05
1834,9.970212914822696e-06,4.293884225958777e-08,1.2368253491601422e-05
1835,1.001655351728914e-05,6.050470346963266e-08,1.283456072798117e-05
1836,9.186593587173775e-06,3.6292049532260506e-08,1.1343281956843754e-05
1837,9.61302180257917e-06,2.574419588619037e-08,1.3042566607168737e-05
1838,8.590852019096928e-06,3.092959377504201e-08,1.2766978786160621e-05
1839,8.2079914420774e-06,4.8241176497931804e-08,1.1971503156793517e-05
1840,1.3048307152985217e-05,8.280595159559923e-08,1.2420255618650344e-05
1841,1.1605783129198244e-05,5.7142881093597e-08,1.2815415249889384e-05
1842,1.178440922444679e-05,2.95163662400455e-08,1.2113784823242213e-05
1843,1.3266921826016187e-05,3.2488010059950057e-08,1.4523322281689843e-05
1844,1.1903591314421647e-05,9.879410539648248e-08,1.4464554023874143e-05
1845,1.1642029647873642e-05,2.0088819940866642e-08,1.4989608073889826e-05
1846,1.1435597315312407e-05,8.371937143536456e-08,1.4283812106441474e-05
1847,9.876610675974007e-06,7.172987626091754e-08,1.6922857543733016e-05
1848,1.1229520396227599e-05,9.332457440169861e-08,1.3362308745712426e-05
1849,8.984408651713238e-06,4.441089829221312e-08,1.2994796746212955e-05
1850,1.0053145047095313e-05,2.987158254086353e-08,1.5205314682020799e-05
1851,1.0720901627792045e-05,3.418202476623833e-08,1.3269720450459488e-05
1852,1.1742419474103372e-05,5.338647346420089e-08,1.5197566259672612e-05
1853,1.1875783400228102e-05,5.315019380169872e-08,1.4590026808036782e-05
1854,1.1212763411094784e-05,4.504641128999509e-07,1.3910352098633894e-05
1855,1.1183839518480454e-05,1.2736649068756378e-08,1.369879652202144e-05
1856,1.0905231278002248e-05,1.3926638997574514e-07,1.4664905879868684e-05
1857,1.086721533738455e-05,4.295727928926851e-08,1.258599497155899e-05
1858,1.00687383053355e-05,9.836288816789107e-08,1.1585288864246479e-05
1859,1.0854985987407417e-05,2.8006953423087566e-08,1.3419913660328575e-05
1860,1.0153567274073794e-05,3.4786597991054435e-08,1.3385974287238867e-05
1861,1.2724141384978793e-05,3.72561133610283e-08,1.3366455910102104e-05
1862,9.782344079667382e-06,2.4848925306297787e-08,1.2236965627465679e-05
1863,1.0167050163545355e-05,2.14768697270884e-08,1.3024972583153271e-05
1864,1.2087029347185307e-05,3.020678618348427e-08,1.317687176083382e-05
1865,1.1535534270024073e-05,2.1180799947284612e-08,1.3259650991415128e-05
