year,tels_ADJ marchés_NOUN
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,2.178504132643866e-08
1946,9.744772988540262e-09
1947,4.7683483828109274e-09
1948,1.848220954059343e-08
1949,1.3743811422273211e-08
1950,1.3825969702452312e-08
1951,8.529121409139861e-09
1952,1.8980646387944944e-08
1953,4.3095308654983455e-08
1954,1.5636057781875934e-08
1955,2.3464020060259827e-08
1956,1.9186511934776718e-08
1957,3.180613461495341e-08
1958,2.0680609225109947e-08
1959,2.6352543258667538e-08
1960,2.145458388724819e-08
1961,2.153929301584867e-08
1962,3.99543260698465e-08
1963,5.108181966306802e-08
1964,3.285342842218597e-08
1965,3.6662690661160013e-08
1966,2.437192847537517e-08
1967,3.451235031093347e-08
1968,2.6050212653672133e-08
1969,2.4525492747784483e-08
1970,3.081145649730388e-08
1971,2.5178147566862208e-08
1972,2.4624704053621826e-08
1973,2.6463379043661917e-08
1974,3.31908722728258e-08
1975,2.513051278185685e-08
1976,4.513686135965145e-08
1977,2.6445517775641747e-08
1978,2.1386128423728223e-08
1979,3.2185852205657284e-08
1980,3.411090432337005e-08
1981,3.352541355639005e-08
1982,3.1037512115972277e-08
1983,3.915495838668903e-08
1984,3.421414973558967e-08
1985,2.3460676956688076e-08
1986,2.3378493807513223e-08
1987,4.949761489569937e-08
1988,2.5185526553173077e-08
1989,2.798942233539492e-08
1990,2.5063794595325817e-08
1991,3.04796188288492e-08
1992,3.0855687782604946e-08
1993,3.268132431344384e-08
1994,3.797947201178431e-08
1995,4.554858534788764e-08
1996,3.84342655479486e-08
1997,2.3974472185273044e-08
1998,3.766822231909828e-08
1999,3.427650696607998e-08
2000,2.87172046142814e-08
2001,4.600272518473503e-08
2002,3.2859162502063555e-08
2003,3.1251921939201566e-08
2004,3.4357370282123156e-08
2005,2.7022498017004182e-08
2006,1.93540827808647e-08
2007,2.3167981311189578e-08
2008,2.6396126173722223e-08
2009,2.5271420511785436e-08
2010,2.8815136943194375e-08
2011,1.6825476123472072e-08
2012,1.3957436095779485e-08
2013,1.8966050063795592e-08
2014,1.7107016248019136e-08
2015,1.9505863591007255e-08
2016,1.4085112631789798e-08
2017,1.9370206771895937e-08
2018,1.755397427416483e-08
2019,1.6836519733942623e-08
